ohne,T,steigung,se
DataUSAResearchHelperMay24,600.0,0.5576243169393813,0.22095435874309582
OpenAIResearchJul11X,300.0,0.5455687480560872,0.21345978308273422
OpenAIHelperMay15,63.0,0.44937081928454664,0.23629740573806537
OpenAIJul27Runner,300.0,0.5466853053805655,0.2135283874876938
CashierSequenceAgentMay28,576.0,0.4790682677899874,0.1995385067679817
OpenAIFPResearchSep05,300.0,0.5490500675979327,0.21119256522513719
May01PovertyStateScout,300.0,0.5517133704860413,0.20437789798538203
OpenAISep04RunnerX,307.0,0.5470256928623801,0.21352785064473337
OpenAIJul27Runner,60.0,0.4312349109292733,0.23600039173153275
ChatGPTAug11,1648.0,0.649127612704582,0.26229262572712364
Sep13OECDScout,120.0,0.6938293430476046,0.12043903371240194
