label,fdate,n,env,bytes,env_bytes,env_share
AgentHexSlicesJun22,622.0,9,7,19133,18989,0.7777777777777778
AgentMassCiteJun19,619.0,20,10,22138,19368,0.5
AgentOpenAIJun18,618.0,5,1,1121,251,0.2
AgentResearchMay24,524.0,5,0,893,0,0.0
ArchiveReaderOct21,1021.0,3,2,717,525,0.6666666666666666
ArchiveResearchOct30,1030.0,4,1,1300,325,0.25
CVDResearchFeb20,220.0,3,2,943,745,0.6666666666666666
CashierCoordSep09,909.0,5,1,1207,235,0.2
CashierSequenceAgentMay28,528.0,22,11,8252,5212,0.5
ChatGPTAug11,811.0,3,3,541,541,1.0
ConstructionHelperJun03,603.0,4,3,812,762,0.75
CookAgeHelperJun21,621.0,3,0,8480,0,0.0
DataResearchMay15,515.0,20,9,7332,2817,0.45
DataUSAResearchHelperMay24,524.0,19,11,7794,3981,0.5789473684210527
FrenchStateAgentSep08,908.0,4,2,3828,1060,0.5
GroceryPrepAgentMay15,515.0,5,0,798,0,0.0
GroceryPrepAgentSep21,921.0,12,6,2502,1376,0.5
GroceryProbeJul09,709.0,12,5,2659,1497,0.4166666666666667
GrocerySequenceAgentApr27,427.0,15,9,7464,5475,0.6
GrocerySequenceHelperAug14,814.0,4,2,975,822,0.5
GrocerySprintDec05,1205.0,3,1,486,54,0.3333333333333333
GroceryWatcherNov15,1115.0,7,2,800,254,0.2857142857142857
LFRelayApr15,415.0,6,3,1310,720,0.5
LFRelayNov14,1114.0,5,3,1038,571,0.6
LanguageHelperJul17,717.0,8,1,2670,393,0.125
LanguageWatcherNov12,1112.0,39,15,10625,5479,0.38461538461538464
MaidsSequenceAgentSep21,921.0,8,3,3644,1074,0.375
MaidsWageResearcherOct21,1021.0,4,1,1470,249,0.25
MaidsWatcherDec03,1203.0,7,4,1289,795,0.5714285714285714
OAI1DC154Nov05,1105.0,5,0,1289,0,0.0
OAI7C97Nov18,1118.0,3,2,718,462,0.6666666666666666
OAIEquityDec02,1202.0,14,10,10911,7556,0.7142857142857143
OAIResearchApr08,408.0,4,4,1557,1557,1.0
OAIResearchMar26,326.0,5,5,1861,1861,1.0
OAIResearchMay24,524.0,13,3,2776,623,0.23076923076923078
OAIResearchNov23,1123.0,3,1,847,236,0.3333333333333333
OAIResearchOct26,1026.0,9,5,2072,1292,0.5555555555555556
OECDResearchAug10,810.0,7,4,2512,1971,0.5714285714285714
OpenAIArchiveJun19,619.0,3,0,2133,0,0.0
OpenAICVDAug04,804.0,4,4,1209,1209,1.0
OpenAICVDNov21,1121.0,6,6,1184,1184,1.0
OpenAIDataUSAOccJul18,718.0,16,3,4078,952,0.1875
OpenAIFPResearchSep05,905.0,18,15,7307,6829,0.8333333333333334
OpenAIFuelMay17,517.0,3,2,710,542,0.6666666666666666
OpenAIHealthdataCVDAug16,816.0,6,4,1124,804,0.6666666666666666
OpenAIHealthdataCVDFeb05,205.0,8,5,1835,1050,0.625
OpenAIHealthdataCVDFeb09,209.0,3,3,554,554,1.0
OpenAIHealthdataCVDJan31,131.0,4,3,1252,791,0.75
OpenAIHealthdataCVDJun26,626.0,3,1,743,355,0.3333333333333333
OpenAIHealthdataCVDMar06,306.0,3,3,945,945,1.0
OpenAIHealthdataCVDMar27,327.0,5,5,1080,1080,1.0
OpenAIHealthdataCVDMay12,512.0,10,5,2695,1758,0.5
OpenAIHealthdataCVDMay30,530.0,4,3,797,640,0.75
OpenAIHealthdataCVDNov01,1101.0,14,10,4041,3197,0.7142857142857143
OpenAIHealthdataMay22,522.0,4,3,753,737,0.75
OpenAIHelperApr18,418.0,15,10,5746,2727,0.6666666666666666
OpenAIHelperAug27,827.0,9,7,2880,2559,0.7777777777777778
OpenAIHelperMay15,515.0,8,5,2508,1286,0.625
OpenAIHelperNov18,1118.0,8,2,1665,417,0.25
OpenAIHelperSep03,903.0,8,5,6766,5897,0.625
OpenAIOECDJul23,723.0,8,7,5793,4832,0.875
OpenAIOECDNov27,1127.0,3,0,610,0,0.0
OpenAIObserverNov09,1109.0,13,5,4611,1678,0.38461538461538464
OpenAIResearchAgentMar09,309.0,6,3,1417,976,0.5
OpenAIResearchApr12,412.0,5,5,8359,8359,1.0
OpenAIResearchApr13,413.0,3,1,855,553,0.3333333333333333
OpenAIResearchApr23,423.0,16,14,4548,4191,0.875
OpenAIResearchApr30,430.0,10,9,3022,2833,0.9
OpenAIResearchFeb17,217.0,21,9,7928,2801,0.42857142857142855
OpenAIResearchHelperMar19,319.0,9,0,901,0,0.0
OpenAIResearchJul09,709.0,5,2,1370,886,0.4
OpenAIResearchJul11,711.0,5,4,4303,745,0.8
OpenAIResearchJun30,630.0,3,1,662,257,0.3333333333333333
OpenAIResearchMar13,313.0,7,5,1838,1337,0.7142857142857143
OpenAIResearchMar22,322.0,7,2,1465,491,0.2857142857142857
OpenAIResearchMar25,325.0,5,3,1024,835,0.6
OpenAIResearchMay07,507.0,9,4,2707,1550,0.4444444444444444
OpenAIResearchMay21,521.0,4,0,860,0,0.0
OpenAIResearchNov22,1122.0,4,1,875,283,0.25
OpenAIResearchOct02,1002.0,3,3,1009,1009,1.0
OpenAIResearchOct18,1018.0,5,4,1774,1422,0.8
OpenAIResearchSep02,902.0,7,3,2039,860,0.42857142857142855
OpenAIResearchSep12,912.0,6,4,1652,1345,0.6666666666666666
OpenAIResearchSep19,919.0,3,1,661,275,0.3333333333333333
OpenAIResearchSep20,920.0,9,2,1884,404,0.2222222222222222
OpenAIResearcherApr20,420.0,3,2,647,462,0.6666666666666666
OpenAIResearcherAug08,808.0,13,4,4343,1563,0.3076923076923077
OpenAIResearcherAug09,809.0,5,1,3824,205,0.2
OpenAIResearcherAug19,819.0,3,1,843,541,0.3333333333333333
OpenAIResearcherMay11,511.0,3,0,572,0,0.0
OpenAIResearcherOct14,1014.0,16,7,3198,1489,0.4375
OpenAIResearcherOct25,1025.0,4,3,1321,1054,0.75
OpenAIResearcherSep12,912.0,3,3,786,786,1.0
OpenAIResearcherSep21,921.0,3,0,1462,0,0.0
OpenAISchoolPsychMar14,314.0,3,0,1852,0,0.0
OpenAISpeechMar09,309.0,4,2,998,553,0.5
OpenAIStateWatcherMay17,517.0,7,3,1026,520,0.42857142857142855
OpenAIThread4ffeaMar12,312.0,6,6,1358,1358,1.0
OpenAIThread4ffeaMar16,316.0,4,3,930,776,0.75
OpenAIThread4ffeaMay17,517.0,6,1,1095,158,0.16666666666666666
OpenAITransportSep27,927.0,6,3,2031,707,0.5
OpenAIWatcherJul27,727.0,4,4,791,791,1.0
OpenAIWatcherOct30,1030.0,10,7,2786,1907,0.7
OpenAIresolveJun23,623.0,5,2,3905,3082,0.4
OpenAiDenomSep03,903.0,9,0,4460,0,0.0
OurClothingMay03,503.0,3,1,910,605,0.3333333333333333
OurMaidsCoordOct11,1011.0,8,3,1360,658,0.375
