day,deltas,env_deltas,task_deltas,coord_deltas,bytes,env_bytes,task_bytes,env_byte_anteil,task_byte_anteil,env_delta_anteil
2026-05-24,33,0,18,0,7147,0,6397,0.0,0.8951,0.0
2026-05-26,430,62,175,1,115629,35477,71688,0.3068,0.62,0.1442
2026-05-27,46,1,20,0,24511,230,18293,0.0094,0.7463,0.0217
2026-05-28,209,81,68,1,201587,85931,63364,0.4263,0.3143,0.3876
2026-05-29,77,5,2,0,28983,2207,730,0.0761,0.0252,0.0649
2026-05-30,41,15,13,0,13902,6453,5825,0.4642,0.419,0.3659
2026-05-31,16,6,5,0,5007,3504,3657,0.6998,0.7304,0.375
2026-06-01,139,72,27,2,102729,78679,21848,0.7659,0.2127,0.518
2026-06-02,3,2,0,0,5019,773,0,0.154,0.0,0.6667
2026-06-04,5,2,2,0,1742,1470,1470,0.8439,0.8439,0.4
2026-06-05,2,2,1,0,438,438,372,1.0,0.8493,1.0
2026-06-06,12,5,1,0,11616,8582,861,0.7388,0.0741,0.4167
2026-06-07,13,2,9,0,5659,1153,5473,0.2037,0.9671,0.1538
2026-06-08,14,0,11,0,4860,0,4734,0.0,0.9741,0.0
2026-06-09,6,2,0,0,725,581,0,0.8014,0.0,0.3333
2026-06-10,6,2,0,0,860,758,0,0.8814,0.0,0.3333
2026-06-11,153,30,22,0,85257,44018,15452,0.5163,0.1812,0.1961
2026-06-16,2501,784,1008,1570,780863,221097,442438,0.2831,0.5666,0.3135
2026-06-17,1262,561,512,887,369816,199806,170514,0.5403,0.4611,0.4445
2026-06-18,5037,2490,1897,128,5076266,3846354,3293986,0.7577,0.6489,0.4943
2026-06-19,492,240,155,331,175169,119169,87523,0.6803,0.4996,0.4878
2026-06-20,646,381,357,563,238846,171392,171566,0.7176,0.7183,0.5898
2026-06-21,644,369,260,512,232282,144636,119263,0.6227,0.5134,0.573
2026-06-22,1011,3,750,4,715239,1523,705411,0.0021,0.9863,0.003
2026-07-01,7,1,3,0,1487,361,1237,0.2428,0.8319,0.1429
2026-07-02,14,0,9,0,2376,0,2246,0.0,0.9453,0.0
