ip16,n_revisions,pct,n_labels,rdap_name,is_microsoft,range,anbieter
20.165,603,4.133,430,MSFT,True,20.160.0.0-20.175.255.255,Microsoft
20.69,587,4.023,401,MSFT,True,20.33.0.0-20.128.255.255,Microsoft
57.154,458,3.139,344,cloud,True,57.154.0.0-57.154.255.255,Microsoft
20.171,455,3.118,340,MSFT,True,20.160.0.0-20.175.255.255,Microsoft
20.97,417,2.858,308,MSFT,True,20.33.0.0-20.128.255.255,Microsoft
20.225,414,2.837,306,MSFT,True,20.192.0.0-20.255.255.255,Microsoft
20.168,405,2.776,304,MSFT,True,20.160.0.0-20.175.255.255,Microsoft
20.9,404,2.769,303,MSFT,True,20.0.0.0-20.31.255.255,Microsoft
4.255,356,2.44,273,MSFT,True,4.240.0.0-4.255.255.255,Microsoft
20.114,334,2.289,257,MSFT,True,20.33.0.0-20.128.255.255,Microsoft
20.245,300,2.056,234,MSFT,True,20.192.0.0-20.255.255.255,Microsoft
20.8,289,1.981,225,MSFT,True,20.33.0.0-20.128.255.255,Microsoft
20.29,275,1.885,225,MSFT,True,20.0.0.0-20.31.255.255,Microsoft
20.12,263,1.802,200,MSFT,True,20.0.0.0-20.31.255.255,Microsoft
20.172,259,1.775,192,MSFT,True,20.160.0.0-20.175.255.255,Microsoft
135.232,247,1.693,202,cloud,True,135.232.0.0-135.232.255.255,Microsoft
20.23,239,1.638,198,MSFT,True,20.192.0.0-20.255.255.255,Microsoft
20.65,235,1.611,193,MSFT,True,20.33.0.0-20.128.255.255,Microsoft
64.236,234,1.604,197,cloud,True,64.236.0.0-64.236.127.255,Microsoft
20.98,224,1.535,181,MSFT,True,20.33.0.0-20.128.255.255,Microsoft
52.159,220,1.508,161,MSFT,True,52.145.0.0-52.191.255.255,Microsoft
20.45,209,1.432,166,MSFT,True,20.33.0.0-20.128.255.255,Microsoft
20.11,197,1.35,160,MSFT,True,20.33.0.0-20.128.255.255,Microsoft
52.162,182,1.247,152,MSFT,True,52.145.0.0-52.191.255.255,Microsoft
4.227,182,1.247,144,MSFT,True,4.224.0.0-4.239.255.255,Microsoft
130.131,176,1.206,145,cloud,True,130.131.0.0-130.131.127.255,Microsoft
172.184,169,1.158,143,cloud,True,172.184.0.0-172.184.255.255,Microsoft
20.94,167,1.145,140,MSFT,True,20.33.0.0-20.128.255.255,Microsoft
20.237,167,1.145,133,MSFT,True,20.192.0.0-20.255.255.255,Microsoft
20.83,157,1.076,146,MSFT,True,20.33.0.0-20.128.255.255,Microsoft
20.163,157,1.076,124,MSFT,True,20.160.0.0-20.175.255.255,Microsoft
4.154,155,1.062,130,MSFT,True,4.144.0.0-4.159.255.255,Microsoft
23.1,152,1.042,122,MSFT,True,23.96.0.0-23.103.255.255,Microsoft
4.151,148,1.014,120,MSFT,True,4.144.0.0-4.159.255.255,Microsoft
172.212,147,1.007,120,cloud,True,172.212.0.0-172.212.255.255,Microsoft
104.42,141,0.966,116,MSFT,True,104.40.0.0-104.47.255.255,Microsoft
20.66,137,0.939,117,MSFT,True,20.33.0.0-20.128.255.255,Microsoft
74.249,137,0.939,119,BLS-74-249-0-0-1003020949,True,74.249.0.0-74.249.31.255,Microsoft
20.59,129,0.884,110,MSFT,True,20.33.0.0-20.128.255.255,Microsoft
172.173,129,0.884,114,cloud,True,172.173.0.0-172.173.255.255,Microsoft
