family,day,n_labels,p25_h,median_h,p75_h,max_h
CVD,2026-06-19,24,0.94,7.49,8.74,16.04
CVD,2026-06-21,60,2.28,6.2,7.99,9.45
Cashier,2026-06-16,15,1.39,2.39,3.6,10.51
Cashier,2026-06-17,111,1.7,2.69,5.3,22.38
Cashier,2026-06-19,30,8.95,9.86,11.81,13.49
Clothing,2026-06-16,199,11.76,12.46,13.57,16.12
Construction,2026-06-17,131,1.52,7.83,16.35,22.57
Equity,2026-06-20,19,4.81,5.6,6.01,8.79
FamilyPlanning,2026-06-21,21,1.8,3.41,7.97,11.69
Grocery,2026-06-16,144,11.32,11.9,13.71,16.14
Lang,2026-06-16,38,1.38,2.15,2.77,4.32
Lang,2026-06-17,51,1.47,2.06,3.08,16.3
Lang,2026-06-18,23,1.84,3.72,4.43,6.15
Maids,2026-06-16,65,9.55,10.09,11.75,14.05
OECD,2026-06-20,139,1.58,2.31,6.3,18.27
OECD,2026-06-21,29,0.56,7.33,13.0,15.7
Police,2026-06-19,19,0.6,1.04,1.39,4.2
Poverty,2026-06-17,80,1.13,1.76,3.04,11.29
Poverty,2026-06-18,32,4.0,4.99,5.49,6.12
Poverty,2026-06-21,24,1.89,3.84,7.53,9.68
Poverty,2026-06-22,92,5.4,5.68,5.82,6.24
Sector,2026-06-16,126,11.3,12.09,12.79,14.65
Transport,2026-06-16,63,0.57,1.07,2.04,4.52
