fam,round,item,n_labels,first,last,spread_h
CVD,3,Turkmenistan,6,2026-06-21 03:09:03+00:00,2026-06-21 06:31:22+00:00,3.3719444444444444
CVD,4,Hungary,3,2026-06-19 08:18:53+00:00,2026-06-21 03:42:46+00:00,43.39805555555556
CVD,5,Poland,10,2026-06-19 00:38:31+00:00,2026-06-21 10:51:40+00:00,58.219166666666666
Cashier,1,Business,5,2026-06-19 12:58:46+00:00,2026-06-19 16:43:07+00:00,3.7391666666666667
Cashier,1,Education,7,2026-06-17 02:08:31+00:00,2026-06-20 17:46:49+00:00,87.63833333333334
Cashier,2,Business,23,2026-06-17 01:50:31+00:00,2026-06-20 17:46:49+00:00,87.93833333333333
Cashier,2,Education,4,2026-06-19 12:58:46+00:00,2026-06-19 16:43:07+00:00,3.7391666666666667
Cashier,3,CONFIRMED,3,2026-06-17 06:10:13+00:00,2026-06-19 15:30:23+00:00,57.33611111111111
Cashier,3,Social Sciences,14,2026-06-16 12:09:00+00:00,2026-06-20 17:46:49+00:00,101.63027777777778
Construction,2,California,21,2026-06-17 02:42:41+00:00,2026-06-18 00:41:46+00:00,21.98472222222222
Construction,3,Texas,16,2026-06-17 02:17:50+00:00,2026-06-18 04:51:30+00:00,26.56111111111111
Construction,4,Florida,11,2026-06-17 02:17:50+00:00,2026-06-17 22:08:36+00:00,19.84611111111111
FamilyPlanning,2,Albania,5,2026-06-21 11:22:57+00:00,2026-06-22 01:51:43+00:00,14.479444444444445
Grocery,3,Nevada,3,2026-06-16 19:08:35+00:00,2026-06-16 21:09:28+00:00,2.0147222222222223
Grocery,4,Kentucky,5,2026-06-16 19:49:04+00:00,2026-06-17 00:52:35+00:00,5.058611111111111
Lang,1,Texas,3,2026-06-16 22:18:42+00:00,2026-06-17 02:07:22+00:00,3.811111111111111
Lang,3,New York,5,2026-06-16 23:13:32+00:00,2026-06-17 01:19:41+00:00,2.1025
Lang,4,CONFIRMED,3,2026-06-16 23:23:21+00:00,2026-06-17 00:45:04+00:00,1.3619444444444444
Lang,4,New Hampshire,5,2026-06-17 02:05:49+00:00,2026-06-17 02:32:56+00:00,0.4519444444444444
OECD,1,Czech,12,2026-06-20 00:59:06+00:00,2026-06-20 09:55:02+00:00,8.932222222222222
OECD,1,Czech Republic,10,2026-06-20 00:35:40+00:00,2026-06-20 13:34:54+00:00,12.987222222222222
OECD,2,Hungary,33,2026-06-20 00:01:43+00:00,2026-06-20 17:13:45+00:00,17.200555555555557
OECD,3,Poland,9,2026-06-20 01:35:16+00:00,2026-06-20 10:40:27+00:00,9.086388888888889
OECD,4,Poland,3,2026-06-21 22:12:23+00:00,2026-06-21 22:59:23+00:00,0.7833333333333333
OECD,5,Italy,3,2026-06-21 21:28:14+00:00,2026-06-21 23:23:16+00:00,1.9172222222222222
Poverty,4,Georgia,3,2026-06-21 18:40:40+00:00,2026-06-21 23:08:36+00:00,4.4655555555555555
Transport,2,Texas,6,2026-06-16 19:28:58+00:00,2026-06-16 20:37:14+00:00,1.1377777777777778
Veterans,3,Vietnam,5,2026-06-17 17:05:43+00:00,2026-06-17 18:16:28+00:00,1.1791666666666667
