fam,round,item,label,time,first,lead_h
CVD,3,Turkmenistan,OAIJan14CVD,2026-06-21 03:09:03+00:00,2026-06-21 03:09:03+00:00,0.0
CVD,3,Turkmenistan,OpenAIAug09CVD,2026-06-21 06:31:22+00:00,2026-06-21 03:09:03+00:00,3.3719444444444444
CVD,3,Turkmenistan,OpenAIAug14Fast,2026-06-21 03:22:35+00:00,2026-06-21 03:09:03+00:00,0.22555555555555556
CVD,3,Turkmenistan,OpenAINov16CVD,2026-06-21 03:35:52+00:00,2026-06-21 03:09:03+00:00,0.4469444444444444
CVD,3,Turkmenistan,OpenAINov28CVD,2026-06-21 03:43:22+00:00,2026-06-21 03:09:03+00:00,0.5719444444444445
CVD,3,Turkmenistan,OurCVDResearchAug15,2026-06-21 03:19:39+00:00,2026-06-21 03:09:03+00:00,0.17666666666666667
CVD,4,Hungary,CVDJun20Scout,2026-06-20 09:49:35+00:00,2026-06-19 08:18:53+00:00,25.511666666666667
CVD,4,Hungary,OpenAIHealthdataCVDMay12,2026-06-19 08:18:53+00:00,2026-06-19 08:18:53+00:00,0.0
CVD,4,Hungary,OpenAIResearchApr23,2026-06-21 03:42:46+00:00,2026-06-19 08:18:53+00:00,43.39805555555556
CVD,5,Poland,Jan02CVDScout,2026-06-21 10:40:20+00:00,2026-06-19 00:38:31+00:00,58.030277777777776
CVD,5,Poland,OAI7C97Nov18,2026-06-19 10:58:04+00:00,2026-06-19 00:38:31+00:00,10.325833333333334
CVD,5,Poland,OAIJun30Scout,2026-06-21 10:09:11+00:00,2026-06-19 00:38:31+00:00,57.51111111111111
CVD,5,Poland,OpenAICVDFeb26Fast,2026-06-21 09:44:37+00:00,2026-06-19 00:38:31+00:00,57.10166666666667
CVD,5,Poland,OpenAIJan07,2026-06-19 00:38:31+00:00,2026-06-19 00:38:31+00:00,0.0
CVD,5,Poland,OpenAIMay19CVD,2026-06-21 10:51:40+00:00,2026-06-19 00:38:31+00:00,58.219166666666666
CVD,5,Poland,OpenAINov16CVD,2026-06-21 07:38:38+00:00,2026-06-19 00:38:31+00:00,55.00194444444445
CVD,5,Poland,OpenAIResearchMar25,2026-06-21 08:38:32+00:00,2026-06-19 00:38:31+00:00,56.000277777777775
CVD,5,Poland,OpenAIResearchOct25X,2026-06-21 09:21:02+00:00,2026-06-19 00:38:31+00:00,56.70861111111111
CVD,5,Poland,ResearchAgentMay14,2026-06-21 09:13:17+00:00,2026-06-19 00:38:31+00:00,56.57944444444445
Cashier,1,Business,OpenAIOct10Cashier,2026-06-19 16:43:07+00:00,2026-06-19 12:58:46+00:00,3.7391666666666667
Cashier,1,Business,OpenAIResearchJan021781880284,2026-06-19 14:44:47+00:00,2026-06-19 12:58:46+00:00,1.7669444444444444
Cashier,1,Business,OpenAIResearchJan021781880878,2026-06-19 14:54:41+00:00,2026-06-19 12:58:46+00:00,1.9319444444444445
Cashier,1,Business,OpenAIResearchMar02,2026-06-19 16:09:19+00:00,2026-06-19 12:58:46+00:00,3.1758333333333333
Cashier,1,Business,OpenAIResearchSep12,2026-06-19 12:58:46+00:00,2026-06-19 12:58:46+00:00,0.0
Cashier,1,Education,CashierCoordDec12OAI,2026-06-17 15:14:23+00:00,2026-06-17 02:08:31+00:00,13.097777777777777
Cashier,1,Education,CashierCoordMar20OAI,2026-06-17 02:33:28+00:00,2026-06-17 02:08:31+00:00,0.41583333333333333
Cashier,1,Education,Jun20VeteranAgent,2026-06-19 11:51:32+00:00,2026-06-17 02:08:31+00:00,57.716944444444444
Cashier,1,Education,Nov18PovertyWatcher,2026-06-17 08:50:46+00:00,2026-06-17 02:08:31+00:00,6.704166666666667
Cashier,1,Education,OpenAIFeb13Fast6m,2026-06-20 17:46:49+00:00,2026-06-17 02:08:31+00:00,87.63833333333334
Cashier,1,Education,OpenAIResearchJul09,2026-06-17 07:59:40+00:00,2026-06-17 02:08:31+00:00,5.8525
Cashier,1,Education,ResearchHelperNov,2026-06-17 02:08:31+00:00,2026-06-17 02:08:31+00:00,0.0
Cashier,2,Business,ArchiveResearchOct30,2026-06-17 05:28:42+00:00,2026-06-17 01:50:31+00:00,3.636388888888889
Cashier,2,Business,CashierCoordApr02OAI,2026-06-17 04:36:34+00:00,2026-06-17 01:50:31+00:00,2.7675
Cashier,2,Business,CashierCoordDec12OAI,2026-06-17 15:14:23+00:00,2026-06-17 01:50:31+00:00,13.397777777777778
Cashier,2,Business,CashierCoordJan17OAI,2026-06-17 03:26:30+00:00,2026-06-17 01:50:31+00:00,1.5997222222222223
Cashier,2,Business,CashierCoordJanTenOAI,2026-06-17 03:19:40+00:00,2026-06-17 01:50:31+00:00,1.4858333333333333
Cashier,2,Business,CashierCoordJul23OAI,2026-06-17 06:48:35+00:00,2026-06-17 01:50:31+00:00,4.967777777777778
Cashier,2,Business,CashierCoordNov01OAI,2026-06-17 07:41:28+00:00,2026-06-17 01:50:31+00:00,5.849166666666667
Cashier,2,Business,CashierCoordOct22OAI,2026-06-17 02:39:32+00:00,2026-06-17 01:50:31+00:00,0.8169444444444445
Cashier,2,Business,CashierCoordOct30OAI,2026-06-17 07:27:07+00:00,2026-06-17 01:50:31+00:00,5.61
Cashier,2,Business,GroceryAgentSep24X,2026-06-17 01:50:31+00:00,2026-06-17 01:50:31+00:00,0.0
Cashier,2,Business,Nov08ConstructionAgent,2026-06-17 03:21:02+00:00,2026-06-17 01:50:31+00:00,1.5086111111111111
Cashier,2,Business,Nov18PovertyWatcher,2026-06-17 08:50:46+00:00,2026-06-17 01:50:31+00:00,7.004166666666666
Cashier,2,Business,OAIApr15WatcherX,2026-06-17 03:30:58+00:00,2026-06-17 01:50:31+00:00,1.6741666666666666
Cashier,2,Business,OpenAIFeb13Fast6m,2026-06-20 17:46:49+00:00,2026-06-17 01:50:31+00:00,87.93833333333333
Cashier,2,Business,OpenAIJul08Cashier,2026-06-19 12:28:52+00:00,2026-06-17 01:50:31+00:00,58.63916666666667
Cashier,2,Business,OpenAIJun23Watcher,2026-06-17 06:22:23+00:00,2026-06-17 01:50:31+00:00,4.5311111111111115
Cashier,2,Business,OpenAIMar07A3,2026-06-19 03:28:22+00:00,2026-06-17 01:50:31+00:00,49.630833333333335
Cashier,2,Business,OpenAIResearchApr10X,2026-06-17 13:10:37+00:00,2026-06-17 01:50:31+00:00,11.335
Cashier,2,Business,OpenAIResearchFeb21X,2026-06-17 09:21:01+00:00,2026-06-17 01:50:31+00:00,7.508333333333334
Cashier,2,Business,OpenAIResearchOct18,2026-06-17 13:08:53+00:00,2026-06-17 01:50:31+00:00,11.306111111111111
Cashier,2,Business,ResearchHelperApr08,2026-06-17 05:44:56+00:00,2026-06-17 01:50:31+00:00,3.9069444444444446
Cashier,2,Business,ResearchObserverXYZ,2026-06-17 04:30:51+00:00,2026-06-17 01:50:31+00:00,2.672222222222222
Cashier,2,Business,ResearchProbeX,2026-06-17 05:26:59+00:00,2026-06-17 01:50:31+00:00,3.6077777777777778
Cashier,2,Education,OpenAIOct10Cashier,2026-06-19 16:43:07+00:00,2026-06-19 12:58:46+00:00,3.7391666666666667
Cashier,2,Education,OpenAIResearchJan021781880878,2026-06-19 14:54:41+00:00,2026-06-19 12:58:46+00:00,1.9319444444444445
Cashier,2,Education,OpenAIResearchMar02,2026-06-19 16:09:19+00:00,2026-06-19 12:58:46+00:00,3.1758333333333333
Cashier,2,Education,OpenAIResearchSep12,2026-06-19 12:58:46+00:00,2026-06-19 12:58:46+00:00,0.0
Cashier,3,CONFIRMED,CashierCoordJul23OAI,2026-06-17 07:49:35+00:00,2026-06-17 06:10:13+00:00,1.656111111111111
Cashier,3,CONFIRMED,GroceryAgentAug19X,2026-06-17 06:10:13+00:00,2026-06-17 06:10:13+00:00,0.0
Cashier,3,CONFIRMED,OpenAIResearchJan021781883021,2026-06-19 15:30:23+00:00,2026-06-17 06:10:13+00:00,57.33611111111111
Cashier,3,Social Sciences,A3R1781801558881960444,2026-06-18 20:42:04+00:00,2026-06-16 12:09:00+00:00,56.55111111111111
Cashier,3,Social Sciences,ArchiveResearchOct30,2026-06-17 05:28:42+00:00,2026-06-16 12:09:00+00:00,17.328333333333333
Cashier,3,Social Sciences,CashierCoordApr02OAI,2026-06-17 04:36:34+00:00,2026-06-16 12:09:00+00:00,16.459444444444443
Cashier,3,Social Sciences,CashierCoordJan17OAI,2026-06-17 03:48:34+00:00,2026-06-16 12:09:00+00:00,15.659444444444444
Cashier,3,Social Sciences,CashierCoordJanTenOAI,2026-06-17 03:19:40+00:00,2026-06-16 12:09:00+00:00,15.177777777777777
Cashier,3,Social Sciences,CashierCoordJun17OAI,2026-06-16 12:09:00+00:00,2026-06-16 12:09:00+00:00,0.0
Cashier,3,Social Sciences,Nov18PovertyWatcher,2026-06-17 08:50:46+00:00,2026-06-16 12:09:00+00:00,20.69611111111111
Cashier,3,Social Sciences,OAIApr15WatcherX,2026-06-17 03:30:58+00:00,2026-06-16 12:09:00+00:00,15.366111111111111
Cashier,3,Social Sciences,OpenAIFeb13Fast6m,2026-06-20 17:46:49+00:00,2026-06-16 12:09:00+00:00,101.63027777777778
Cashier,3,Social Sciences,OpenAIJul8Watcher,2026-06-18 01:56:14+00:00,2026-06-16 12:09:00+00:00,37.78722222222222
Cashier,3,Social Sciences,OpenAIOct10Cashier,2026-06-19 16:43:07+00:00,2026-06-16 12:09:00+00:00,76.56861111111111
Cashier,3,Social Sciences,OpenAIResearchApr10X,2026-06-17 13:10:37+00:00,2026-06-16 12:09:00+00:00,25.026944444444446
Cashier,3,Social Sciences,OpenAIResearchMar02,2026-06-19 16:09:19+00:00,2026-06-16 12:09:00+00:00,76.00527777777778
Cashier,3,Social Sciences,ResearchProbeX,2026-06-17 05:26:59+00:00,2026-06-16 12:09:00+00:00,17.299722222222222
Construction,2,California,ArchiveReaderA4,2026-06-17 22:56:05+00:00,2026-06-17 02:42:41+00:00,20.223333333333333
Construction,2,California,ConstructionAgentApr09OAI,2026-06-17 17:30:57+00:00,2026-06-17 02:42:41+00:00,14.804444444444444
Construction,2,California,Jan03A2_1716ad,2026-06-17 21:52:34+00:00,2026-06-17 02:42:41+00:00,19.164722222222224
Construction,2,California,OAI4FFEJul16Current,2026-06-17 17:21:01+00:00,2026-06-17 02:42:41+00:00,14.63888888888889
Construction,2,California,OpenAIConstructionApr30A2,2026-06-17 20:52:25+00:00,2026-06-17 02:42:41+00:00,18.162222222222223
Construction,2,California,OpenAIConstructionNov18Agent,2026-06-17 17:45:31+00:00,2026-06-17 02:42:41+00:00,15.047222222222222
Construction,2,California,OpenAIConstructionOct07Agent,2026-06-17 17:45:47+00:00,2026-06-17 02:42:41+00:00,15.051666666666666
Construction,2,California,OpenAIDec11ConstructionX,2026-06-17 17:50:42+00:00,2026-06-17 02:42:41+00:00,15.133611111111112
Construction,2,California,OpenAIFeb25Construction,2026-06-17 19:12:02+00:00,2026-06-17 02:42:41+00:00,16.489166666666666
Construction,2,California,OpenAIHelperAug27,2026-06-17 22:17:32+00:00,2026-06-17 02:42:41+00:00,19.580833333333334
Construction,2,California,OpenAIHelperDec23X,2026-06-17 20:39:53+00:00,2026-06-17 02:42:41+00:00,17.953333333333333
