fam,round,item,n_labels,n_pages,first,last,spread_h
CVD,2,Kazakhstan,3,3,2026-06-21 01:16:10+00:00,2026-06-21 02:25:52+00:00,1.1616666666666666
CVD,3,Turkmenistan,14,8,2026-06-21 02:23:09+00:00,2026-06-21 09:43:45+00:00,7.343333333333334
CVD,4,Hungary,16,15,2026-06-19 08:18:53+00:00,2026-06-21 09:48:53+00:00,49.5
CVD,5,ND,10,10,2026-06-20 10:27:55+00:00,2026-06-21 10:32:07+00:00,24.07
CVD,5,Poland,40,25,2026-06-19 00:05:48+00:00,2026-06-21 10:51:40+00:00,58.76444444444444
Cashier,1,Business,5,4,2026-06-19 12:58:46+00:00,2026-06-19 16:43:07+00:00,3.7391666666666667
Cashier,1,Education,21,19,2026-06-17 01:55:59+00:00,2026-06-20 17:46:49+00:00,87.84722222222223
Cashier,2,Business,33,29,2026-06-16 12:00:21+00:00,2026-06-20 17:46:49+00:00,101.77444444444444
Cashier,2,Education,4,5,2026-06-19 12:58:46+00:00,2026-06-19 16:43:07+00:00,3.7391666666666667
Cashier,3,Sciences,28,26,2026-06-16 11:40:50+00:00,2026-06-21 01:48:15+00:00,110.12361111111112
Clothing,2,York,4,4,2026-06-16 21:28:16+00:00,2026-06-16 23:04:49+00:00,1.6091666666666666
Construction,2,California,23,20,2026-06-17 02:42:41+00:00,2026-06-18 00:41:46+00:00,21.98472222222222
Construction,3,Colorado,6,2,2026-06-17 09:33:36+00:00,2026-06-17 13:29:23+00:00,3.9297222222222223
Construction,3,Texas,23,20,2026-06-17 02:17:50+00:00,2026-06-18 04:51:30+00:00,26.56111111111111
Construction,4,Florida,14,16,2026-06-17 02:17:50+00:00,2026-06-18 15:47:40+00:00,37.49722222222222
Construction,4,Mexico,3,2,2026-06-17 13:22:04+00:00,2026-06-18 00:56:10+00:00,11.568333333333333
Enrollment,3,Utah,3,1,2026-06-21 11:40:09+00:00,2026-06-21 18:29:36+00:00,6.824166666666667
FamilyPlanning,2,Albania,7,7,2026-06-21 11:22:57+00:00,2026-06-22 01:51:43+00:00,14.479444444444445
FamilyPlanning,3,Cyprus,4,4,2026-06-21 12:46:26+00:00,2026-06-22 01:51:43+00:00,13.088055555555556
Grocery,2,AR,3,2,2026-06-16 19:26:43+00:00,2026-06-16 20:56:16+00:00,1.4925
Grocery,2,Arkansas,12,5,2026-06-16 19:17:20+00:00,2026-06-16 23:15:41+00:00,3.9725
Grocery,3,NV,6,3,2026-06-16 19:03:03+00:00,2026-06-16 20:02:20+00:00,0.9880555555555556
Grocery,3,Nevada,13,11,2026-06-16 19:08:35+00:00,2026-06-16 22:09:37+00:00,3.0172222222222222
Grocery,4,KY,7,6,2026-06-16 19:10:07+00:00,2026-06-16 22:49:05+00:00,3.6494444444444443
Grocery,4,Kentucky,18,11,2026-06-16 19:13:30+00:00,2026-06-17 00:52:35+00:00,5.651388888888889
Lang,3,York,5,4,2026-06-16 23:13:32+00:00,2026-06-17 01:00:30+00:00,1.7827777777777778
Lang,4,Hampshire,11,7,2026-06-17 00:37:54+00:00,2026-06-17 03:19:46+00:00,2.6977777777777776
OECD,1,Czech,20,20,2026-06-20 00:41:17+00:00,2026-06-20 12:08:22+00:00,11.45138888888889
OECD,1,Republic,34,34,2026-06-19 23:32:45+00:00,2026-06-20 13:34:54+00:00,14.035833333333333
OECD,2,Hungary,47,35,2026-06-20 00:01:43+00:00,2026-06-20 18:17:44+00:00,18.266944444444444
OECD,3,Poland,19,16,2026-06-20 01:35:16+00:00,2026-06-20 10:40:27+00:00,9.086388888888889
OECD,4,Poland,4,1,2026-06-21 21:32:36+00:00,2026-06-21 22:59:23+00:00,1.446388888888889
OECD,5,Italy,4,1,2026-06-21 21:28:14+00:00,2026-06-21 23:48:12+00:00,2.332777777777778
Poverty,4,Georgia,3,2,2026-06-21 18:40:40+00:00,2026-06-21 23:08:36+00:00,4.4655555555555555
Poverty,4,Saginaw,4,2,2026-06-17 02:43:37+00:00,2026-06-17 08:20:06+00:00,5.608055555555556
Transport,2,Texas,7,3,2026-06-16 19:25:58+00:00,2026-06-16 20:27:47+00:00,1.0302777777777778
Veterans,2,Korea,4,1,2026-06-17 16:23:22+00:00,2026-06-17 16:57:39+00:00,0.5713888888888888
Veterans,3,Vietnam,7,1,2026-06-17 17:05:43+00:00,2026-06-17 18:16:28+00:00,1.1791666666666667
Veterans,4,War,5,1,2026-06-17 18:24:59+00:00,2026-06-17 19:36:28+00:00,1.1913888888888888
