fam,round,item,label,time,first,lead_h
CVD,2,Kazakhstan,OpenAICVDDec08Fast2028,2026-06-21 01:16:10+00:00,2026-06-21 01:16:10+00:00,0.0
CVD,2,Kazakhstan,OpenAIFebSevenScout,2026-06-21 02:25:52+00:00,2026-06-21 01:16:10+00:00,1.1616666666666666
CVD,2,Kazakhstan,OpenAIOct30Fast,2026-06-21 02:17:46+00:00,2026-06-21 01:16:10+00:00,1.0266666666666666
CVD,3,Turkmenistan,CVDMar04Scout,2026-06-21 03:04:58+00:00,2026-06-21 02:23:09+00:00,0.6969444444444445
CVD,3,Turkmenistan,DecemberCashier,2026-06-21 03:20:33+00:00,2026-06-21 02:23:09+00:00,0.9566666666666667
CVD,3,Turkmenistan,OAIJan14CVD,2026-06-21 03:09:03+00:00,2026-06-21 02:23:09+00:00,0.765
CVD,3,Turkmenistan,OAIJul30Evening2028,2026-06-21 03:45:34+00:00,2026-06-21 02:23:09+00:00,1.3736111111111111
CVD,3,Turkmenistan,OAIJulThirtyResearch,2026-06-21 03:22:33+00:00,2026-06-21 02:23:09+00:00,0.99
CVD,3,Turkmenistan,OECDReaderJul23,2026-06-21 03:22:35+00:00,2026-06-21 02:23:09+00:00,0.9905555555555555
CVD,3,Turkmenistan,Oct03CVDScout,2026-06-21 08:12:31+00:00,2026-06-21 02:23:09+00:00,5.822777777777778
CVD,3,Turkmenistan,OpenAIAug09CVD,2026-06-21 06:31:22+00:00,2026-06-21 02:23:09+00:00,4.1369444444444445
CVD,3,Turkmenistan,OpenAIAug14Fast,2026-06-21 03:22:35+00:00,2026-06-21 02:23:09+00:00,0.9905555555555555
CVD,3,Turkmenistan,OpenAINov16CVD,2026-06-21 03:35:52+00:00,2026-06-21 02:23:09+00:00,1.2119444444444445
CVD,3,Turkmenistan,OpenAINov28CVD,2026-06-21 03:43:22+00:00,2026-06-21 02:23:09+00:00,1.3369444444444445
CVD,3,Turkmenistan,OpenAIResearchApr23,2026-06-21 02:23:09+00:00,2026-06-21 02:23:09+00:00,0.0
CVD,3,Turkmenistan,OpenAIResearchApr30,2026-06-21 05:58:39+00:00,2026-06-21 02:23:09+00:00,3.591666666666667
CVD,3,Turkmenistan,OurCVDResearchAug15,2026-06-21 03:19:39+00:00,2026-06-21 02:23:09+00:00,0.9416666666666667
CVD,4,Hungary,CVDJun20Scout,2026-06-20 09:49:35+00:00,2026-06-19 08:18:53+00:00,25.511666666666667
CVD,4,Hungary,CashierCoordOct30OAI,2026-06-19 08:50:57+00:00,2026-06-19 08:18:53+00:00,0.5344444444444445
CVD,4,Hungary,May26CVDScout,2026-06-21 07:45:00+00:00,2026-06-19 08:18:53+00:00,47.43527777777778
CVD,4,Hungary,OAIEquityDec30Raw,2026-06-20 08:36:41+00:00,2026-06-19 08:18:53+00:00,24.296666666666667
CVD,4,Hungary,OAIJan14CVD,2026-06-21 06:11:28+00:00,2026-06-19 08:18:53+00:00,45.87638888888889
CVD,4,Hungary,OAIProdDec22Scout,2026-06-21 07:20:29+00:00,2026-06-19 08:18:53+00:00,47.026666666666664
CVD,4,Hungary,OECDEquityMar15Agent,2026-06-21 06:40:09+00:00,2026-06-19 08:18:53+00:00,46.35444444444445
CVD,4,Hungary,Oct03CVDScout,2026-06-21 07:45:06+00:00,2026-06-19 08:18:53+00:00,47.43694444444444
CVD,4,Hungary,OpenAIHealthdataCVDMay12,2026-06-19 08:18:53+00:00,2026-06-19 08:18:53+00:00,0.0
CVD,4,Hungary,OpenAIJan18Scout,2026-06-21 07:26:51+00:00,2026-06-19 08:18:53+00:00,47.132777777777775
CVD,4,Hungary,OpenAIJul09CVD,2026-06-21 07:31:12+00:00,2026-06-19 08:18:53+00:00,47.20527777777778
CVD,4,Hungary,OpenAIMay03CVDScout,2026-06-21 06:50:12+00:00,2026-06-19 08:18:53+00:00,46.52194444444444
CVD,4,Hungary,OpenAIOct22CVD,2026-06-21 07:31:51+00:00,2026-06-19 08:18:53+00:00,47.21611111111111
CVD,4,Hungary,OpenAIResearchApr23,2026-06-21 03:42:46+00:00,2026-06-19 08:18:53+00:00,43.39805555555556
CVD,4,Hungary,OpenAIResearchOct02,2026-06-21 06:54:38+00:00,2026-06-19 08:18:53+00:00,46.59583333333333
CVD,4,Hungary,OpenAIResearchSep06,2026-06-21 08:03:26+00:00,2026-06-19 08:18:53+00:00,47.7425
CVD,5,ND,A4ReadOnly,2026-06-21 10:26:47+00:00,2026-06-20 10:27:55+00:00,23.98111111111111
CVD,5,ND,CVDJun20Scout,2026-06-20 11:57:56+00:00,2026-06-20 10:27:55+00:00,1.5002777777777778
CVD,5,ND,May26CVDScout,2026-06-21 07:45:00+00:00,2026-06-20 10:27:55+00:00,21.28472222222222
CVD,5,ND,OAIEquityDec30Raw,2026-06-20 10:27:55+00:00,2026-06-20 10:27:55+00:00,0.0
CVD,5,ND,OpenAICVDFeb26Fast,2026-06-21 08:26:19+00:00,2026-06-20 10:27:55+00:00,21.973333333333333
CVD,5,ND,OpenAIJan18Scout,2026-06-21 08:41:03+00:00,2026-06-20 10:27:55+00:00,22.218888888888888
CVD,5,ND,OpenAIJul09CVD,2026-06-21 09:03:43+00:00,2026-06-20 10:27:55+00:00,22.596666666666668
CVD,5,ND,OpenAINov28CVD,2026-06-21 08:41:07+00:00,2026-06-20 10:27:55+00:00,22.22
CVD,5,ND,OpenAIOct22CVD,2026-06-21 10:32:07+00:00,2026-06-20 10:27:55+00:00,24.07
CVD,5,ND,OpenAIResearchApr30,2026-06-21 08:20:23+00:00,2026-06-20 10:27:55+00:00,21.874444444444446
CVD,5,Poland,Aug24CVDScout,2026-06-21 06:58:35+00:00,2026-06-19 00:05:48+00:00,54.87972222222222
CVD,5,Poland,CVDJun20Scout,2026-06-20 12:00:31+00:00,2026-06-19 00:05:48+00:00,35.911944444444444
CVD,5,Poland,Jan02CVDScout,2026-06-21 10:40:20+00:00,2026-06-19 00:05:48+00:00,58.57555555555555
CVD,5,Poland,MayResearcher,2026-06-21 10:25:33+00:00,2026-06-19 00:05:48+00:00,58.329166666666666
CVD,5,Poland,OAI7C97,2026-06-19 12:59:09+00:00,2026-06-19 00:05:48+00:00,12.889166666666666
CVD,5,Poland,OAI7C97Dec26,2026-06-19 16:08:17+00:00,2026-06-19 00:05:48+00:00,16.04138888888889
CVD,5,Poland,OAI7C97Nov18,2026-06-19 10:58:04+00:00,2026-06-19 00:05:48+00:00,10.87111111111111
CVD,5,Poland,OAI7C97Oct09,2026-06-19 12:41:03+00:00,2026-06-19 00:05:48+00:00,12.5875
CVD,5,Poland,OAIEquityDec30Raw,2026-06-20 10:36:56+00:00,2026-06-19 00:05:48+00:00,34.51888888888889
CVD,5,Poland,OAIJan14CVD,2026-06-21 06:38:59+00:00,2026-06-19 00:05:48+00:00,54.55305555555555
CVD,5,Poland,OAIJun30Scout,2026-06-21 10:09:11+00:00,2026-06-19 00:05:48+00:00,58.05638888888889
CVD,5,Poland,Oct03CVDScout,2026-06-21 08:12:31+00:00,2026-06-19 00:05:48+00:00,56.11194444444445
CVD,5,Poland,OpenAIAug09CVD,2026-06-21 06:31:22+00:00,2026-06-19 00:05:48+00:00,54.42611111111111
CVD,5,Poland,OpenAIAug27CVD,2026-06-20 13:27:54+00:00,2026-06-19 00:05:48+00:00,37.36833333333333
CVD,5,Poland,OpenAIAugTwoScout,2026-06-21 08:18:52+00:00,2026-06-19 00:05:48+00:00,56.217777777777776
CVD,5,Poland,OpenAICVDApr01,2026-06-19 00:05:48+00:00,2026-06-19 00:05:48+00:00,0.0
CVD,5,Poland,OpenAICVDFeb26Fast,2026-06-21 09:21:30+00:00,2026-06-19 00:05:48+00:00,57.26166666666666
CVD,5,Poland,OpenAIHealthdataCVDFeb05,2026-06-19 09:33:43+00:00,2026-06-19 00:05:48+00:00,9.465277777777779
CVD,5,Poland,OpenAIHealthdataCVDJun26,2026-06-19 09:02:07+00:00,2026-06-19 00:05:48+00:00,8.938611111111111
CVD,5,Poland,OpenAIHealthdataCVDMar06,2026-06-19 08:14:24+00:00,2026-06-19 00:05:48+00:00,8.143333333333333
CVD,5,Poland,OpenAIHealthdataCVDNov01,2026-06-19 09:10:45+00:00,2026-06-19 00:05:48+00:00,9.0825
