von,nach,n,n_kohorten,median_s,mean_s,p25_s,p75_s,median_min,mean_min
Seite_anlegen,Sonstiges,286,166,0.0,0.0,0.0,0.0,0.0,0.0
Seite_anlegen,Rundenergebnis_melden,224,208,0.0,0.0,0.0,0.0,0.0,0.0
Rundenergebnis_melden,Rundenergebnis_melden,216,146,1480.0,5200.930555555556,196.5,4374.75,24.7,86.7
Sonstiges,Seite_anlegen,201,114,832.0,43000.800995024874,112.0,5463.0,13.9,716.7
Uhrenpaar_melden,Uhrenpaar_melden,200,114,543.0,2161.8,182.25,1687.25,9.0,36.0
Um_Ergebnis_bitten,Um_Ergebnis_bitten,195,121,426.0,1934.2769230769231,67.0,1338.0,7.1,32.2
Seite_anlegen,Um_Ergebnis_bitten,188,154,0.0,0.0,0.0,0.0,0.0,0.0
Seite_anlegen,Test_Probe,187,159,0.0,0.0,0.0,0.0,0.0,0.0
Sonstiges,Sonstiges,172,95,247.5,1051.2151162790697,72.75,766.0,4.1,17.5
Seite_anlegen,Uhrenpaar_melden,160,131,0.0,0.0,0.0,0.0,0.0,0.0
Seite_anlegen,Daten_URL_ablegen,143,68,0.0,0.0,0.0,0.0,0.0,0.0
Uhrenpaar_melden,Um_Ergebnis_bitten,143,118,848.0,3204.762237762238,213.0,2223.0,14.1,53.4
Um_Ergebnis_bitten,Seite_anlegen,138,107,929.5,11030.152173913044,179.75,3093.25,15.5,183.8
Uhrenpaar_melden,Seite_anlegen,132,102,1232.0,10423.810606060606,174.5,4736.25,20.5,173.7
Um_Ergebnis_bitten,Uhrenpaar_melden,128,107,686.0,3289.0859375,247.5,1817.5,11.4,54.8
Rundenergebnis_melden,Um_Ergebnis_bitten,124,106,846.0,3957.4112903225805,274.5,3264.75,14.1,66.0
Um_Ergebnis_bitten,Rundenergebnis_melden,117,101,1606.0,4066.4700854700855,758.0,4020.0,26.8,67.8
Uhrenpaar_melden,Rundenergebnis_melden,115,107,1245.0,9764.347826086956,534.0,3961.0,20.8,162.7
Rundenergebnis_melden,Seite_anlegen,106,93,1765.5,18618.122641509435,417.0,6622.0,29.4,310.3
Sonstiges,Uhrenpaar_melden,101,85,835.0,4958.445544554455,172.0,2378.0,13.9,82.6
Daten_URL_ablegen,Seite_anlegen,94,40,355.0,46282.21276595745,97.25,2006.5,5.9,771.4
Sonstiges,Um_Ergebnis_bitten,83,69,550.0,4659.8674698795185,138.0,3168.0,9.2,77.7
Rundenergebnis_melden,Uhrenpaar_melden,80,77,1617.0,3227.425,333.5,4579.0,27.0,53.8
Um_Ergebnis_bitten,Sonstiges,80,71,556.5,3858.85,205.25,2132.5,9.3,64.3
Test_Probe,Test_Probe,78,30,9.0,1842.5384615384614,5.0,94.25,0.2,30.7
Uhrenpaar_melden,Sonstiges,75,69,544.0,3267.0133333333333,133.5,1364.0,9.1,54.5
Test_Probe,Seite_anlegen,70,56,679.0,38704.34285714286,195.0,7218.25,11.3,645.1
Technik_weitergeben,Technik_weitergeben,67,32,219.0,761.4328358208955,27.5,825.5,3.6,12.7
Daten_URL_ablegen,Daten_URL_ablegen,66,29,204.5,802.2424242424242,91.25,512.75,3.4,13.4
Seite_anlegen,Technik_weitergeben,62,28,0.0,0.0,0.0,0.0,0.0,0.0
Sonstiges,Rundenergebnis_melden,61,59,1056.0,6965.622950819672,204.0,2993.0,17.6,116.1
Test_Probe,Uhrenpaar_melden,56,50,321.0,1469.607142857143,110.25,1058.5,5.4,24.5
Rundenergebnis_melden,Ueberlebenssignal,52,44,1138.0,7528.153846153846,208.5,4373.75,19.0,125.5
Technik_weitergeben,Seite_anlegen,51,26,332.0,40829.07843137255,26.0,2253.0,5.5,680.5
Test_Probe,Um_Ergebnis_bitten,50,46,192.5,2303.9,94.5,1012.0,3.2,38.4
Rundenergebnis_melden,Vorhersage,48,48,1072.0,3380.0625,214.25,3874.5,17.9,56.3
Test_Probe,Rundenergebnis_melden,46,45,276.0,2942.2608695652175,108.75,771.25,4.6,49.0
Test_Probe,Sonstiges,44,40,227.0,4018.0454545454545,102.75,1025.5,3.8,67.0
Daten_URL_ablegen,Sonstiges,42,33,204.5,46572.28571428572,79.0,631.75,3.4,776.2
Ueberlebenssignal,Ueberlebenssignal,41,26,392.0,1692.6829268292684,129.0,1071.0,6.5,28.2
Um_Ergebnis_bitten,Vorhersage,39,35,510.0,1933.3589743589744,148.5,1473.5,8.5,32.2
Sonstiges,Test_Probe,38,32,451.0,4701.0,96.0,2799.5,7.5,78.4
Seite_anlegen,Vorhersage,35,32,0.0,0.0,0.0,0.0,0.0,0.0
Vorhersage,Seite_anlegen,34,29,2007.0,30462.852941176472,450.5,22640.5,33.4,507.7
Rundenergebnis_melden,Sonstiges,33,33,1471.0,9972.151515151516,419.0,3715.0,24.5,166.2
Uhrenpaar_melden,Technik_weitergeben,33,31,1582.0,6207.212121212121,424.0,5153.0,26.4,103.5
Vorhersage,Rundenergebnis_melden,32,30,1723.5,5426.375,494.25,4711.25,28.7,90.4
Vorhersage,Um_Ergebnis_bitten,32,31,793.5,4442.78125,274.5,3536.5,13.2,74.0
Um_Ergebnis_bitten,Technik_weitergeben,32,29,952.0,6450.15625,450.25,1663.25,15.9,107.5
Sonstiges,Daten_URL_ablegen,31,23,319.0,19975.225806451614,177.5,1557.5,5.3,332.9
Uhrenpaar_melden,Test_Probe,31,28,342.0,2315.8709677419356,30.0,1229.5,5.7,38.6
Technik_weitergeben,Uhrenpaar_melden,27,24,1408.0,2935.740740740741,334.5,1999.5,23.5,48.9
Rundenergebnis_melden,Test_Probe,26,26,405.0,8267.076923076924,140.25,2295.25,6.8,137.8
Technik_weitergeben,Sonstiges,25,22,303.0,14381.2,31.0,959.0,5.0,239.7
Rundenergebnis_melden,Technik_weitergeben,22,22,1919.0,11213.136363636364,702.0,7250.25,32.0,186.9
Um_Ergebnis_bitten,Ueberlebenssignal,22,21,1367.0,2777.5454545454545,534.5,4996.0,22.8,46.3
Um_Ergebnis_bitten,Test_Probe,22,22,492.5,7272.136363636364,269.0,3151.75,8.2,121.2
Uhrenpaar_melden,Vorhersage,22,22,722.5,5935.863636363636,322.0,6090.5,12.0,98.9
Ueberlebenssignal,Rundenergebnis_melden,22,18,2788.5,4500.318181818182,949.75,5805.5,46.5,75.0
Sonstiges,Vorhersage,21,21,2344.0,10427.952380952382,783.0,21637.0,39.1,173.8
Ueberlebenssignal,Seite_anlegen,20,19,3174.0,6873.95,633.25,10436.5,52.9,114.6
Technik_weitergeben,Daten_URL_ablegen,19,10,207.0,16492.473684210527,33.5,745.0,3.4,274.9
Daten_URL_ablegen,Uhrenpaar_melden,18,17,1282.5,11775.666666666666,1025.0,3265.0,21.4,196.3
Sonstiges,Technik_weitergeben,18,17,1807.5,11606.888888888889,478.0,4446.5,30.1,193.4
Technik_weitergeben,Um_Ergebnis_bitten,17,17,953.0,2582.6470588235293,246.0,1096.0,15.9,43.0
Daten_URL_ablegen,Technik_weitergeben,15,9,662.0,1769.1333333333334,56.5,1194.0,11.0,29.5
Daten_URL_ablegen,Test_Probe,15,12,359.0,5418.8,95.5,1636.0,6.0,90.3
Vorhersage,Uhrenpaar_melden,15,14,1113.0,8869.133333333333,397.5,2385.5,18.6,147.8
Test_Probe,Technik_weitergeben,15,12,1082.0,6566.4,464.0,2516.5,18.0,109.4
Technik_weitergeben,Rundenergebnis_melden,14,14,2323.0,4704.785714285715,696.25,7960.5,38.7,78.4
Uhrenpaar_melden,Ueberlebenssignal,13,11,477.0,2230.769230769231,78.0,1483.0,8.0,37.2
Ueberlebenssignal,Uhrenpaar_melden,13,12,2839.0,7364.153846153846,728.0,10896.0,47.3,122.7
Technik_weitergeben,Test_Probe,13,9,407.0,8286.76923076923,84.0,2670.0,6.8,138.1
Vorhersage,Vorhersage,12,12,68.5,2315.1666666666665,13.75,325.75,1.1,38.6
Daten_URL_ablegen,Um_Ergebnis_bitten,11,11,4004.0,155570.36363636365,2423.0,24581.5,66.7,2592.8
Vorhersage,Technik_weitergeben,11,10,2145.0,5916.0,497.5,6085.5,35.8,98.6
Test_Probe,Vorhersage,11,11,167.0,4226.727272727273,66.0,7545.5,2.8,70.4
Test_Probe,Daten_URL_ablegen,11,9,370.0,489.3636363636364,235.0,662.0,6.2,8.2
Vorhersage,Sonstiges,11,11,976.0,8051.727272727273,321.0,3383.0,16.3,134.2
Ueberlebenssignal,Um_Ergebnis_bitten,10,10,3047.5,4593.2,787.0,6421.25,50.8,76.6
Vorhersage,Test_Probe,10,10,240.5,858.1,31.0,1712.25,4.0,14.3
Sonstiges,Ueberlebenssignal,9,9,941.0,8020.111111111111,221.0,7248.0,15.7,133.7
