cohort,pagerank,in_gew,out_gew
datausa-language-french|Nov12,0.008278379122454433,31,34
oecd-equity|Jul14,0.00738956409252367,26,23
datausa-maids-wage|Apr15,0.006017201012048903,20,20
datausa-maids-wage|Feb02,0.005889649691741798,23,20
oecd-equity|Dec30,0.005647237205406912,17,16
datausa-poverty-county|Nov26,0.005373767409490547,20,25
datausa-ivy-tuition|Nov11,0.005370882971291058,15,17
datausa-language-french|Feb17,0.004669997030297206,15,15
ihme-family-planning|Sep05,0.00465301808604963,17,14
datausa-sector61-state|Feb25,0.004621425266341453,14,14
datausa-clothing-workforce|Jan12,0.004614839302004534,17,20
oecd-equity|Nov22,0.004370357917018097,15,14
datausa-language-french|Apr10,0.004345740488866408,17,17
datausa-finance-gender-gap|Aug12,0.004272212684743713,12,10
datausa-clothing-workforce|Aug09,0.004215460300418574,12,5
datausa-language-french|Jun01,0.004204780595863016,17,14
datausa-occupation-salary-61-62|Jul18,0.004074837354230462,11,11
uefa-pass-accuracy|Oct18,0.00405599489256788,12,10
datausa-language-french|Apr18,0.004019829649556495,12,9
datausa-construction-workforce|Jan03,0.0039137749036686695,10,12
datausa-clothing-workforce|May24,0.003875778013976916,15,14
datausa-poverty-state|May01,0.003833540021495215,11,11
oecd-equity|Jun06,0.0037808121982521145,10,8
ihme-cvd-deaths|Dec15,0.0036815240551843677,12,13
oecd-equity|Mar31,0.0036542315551478023,11,8
datausa-cashiers-masters|Oct30,0.0036522590537911527,10,8
ihme-cvd-deaths|Nov16,0.003611060043734978,7,7
oecd-equity|Sep19,0.003607985470726161,9,5
oecd-equity|Nov28,0.003577578216558966,11,10
datausa-cashiers-bachelors|Sep18,0.003541004631813046,9,9
datausa-finance-gender-gap|Mar26,0.0035354433576802844,8,8
oecd-regional-co2|Jan04,0.0035060998935768843,5,3
datausa-clothing-workforce|Nov13,0.0035021814832928285,11,11
ihme-cvd-deaths|Apr30,0.003501609459907054,9,9
datausa-clothing-workforce|Oct14,0.0034641540154168237,12,11
datausa-sector61-state|May31,0.003451992197276747,11,12
datausa-ivy-tuition|Sep30,0.0034502502053204314,11,10
datausa-construction-workforce|Feb28,0.0034498190795710015,8,5
datausa-language-french|May24,0.003349933847465733,13,15
datausa-cashiers-masters|Nov26,0.0033496111468157732,11,15
datausa-language-french|Sep10,0.0033474121318402554,12,10
datausa-sector61-state|May17,0.003303573948294062,8,9
datausa-sector61-state|May24,0.0032902516997763208,11,9
oecd-equity|Jun08,0.0032208494784824204,13,9
datausa-clothing-workforce|Sep26,0.0031806272614475486,12,11
datausa-sector61-state|Jul16,0.003148242381036994,11,11
datausa-transport-production|May08,0.0031295947078137094,7,9
datausa-maids-wage|May31,0.003056444075119043,11,11
ihme-cvd-deaths|Jan18,0.003043901247068478,10,7
datausa-clothing-workforce|May15,0.003043376676560249,13,13
datausa-enrollment-asian|Jan13,0.003025004368184527,6,5
datausa-construction-workforce|Nov08,0.0030096124904093607,12,11
ihme-cvd-deaths|Apr23,0.0029585026552830774,9,11
datausa-sector61-state|Dec25,0.0029543253781680735,8,9
datausa-poverty-county|Sep13,0.002903630874726216,11,13
datausa-cashiers-masters|Feb07,0.002880795188352478,10,8
datausa-grocery-workforce|Nov22,0.002876197066470206,16,19
datausa-sector61-state|Feb16,0.002850978017549997,10,9
datausa-sector61-state|Nov27,0.002845586362334783,9,10
datausa-clothing-workforce|Sep21,0.002825358698844615,9,11
datausa-cashiers-masters|May10,0.0027858919861430604,11,10
datausa-enrollment-asian|Feb09,0.00277746448670108,4,4
datausa-poverty-county|Dec09,0.002777448333901251,3,3
ihme-cvd-deaths|Jan14,0.0027746704544722367,7,8
oecd-equity|Mar15,0.002732689072706585,8,7
datausa-cashiers-masters|Oct22,0.002707777550847827,9,8
datausa-sector61-state|Sep08,0.0026846184005033112,9,9
datausa-police-wage-age|May09,0.0026677706728509476,7,9
datausa-maids-wage|Oct11,0.0026341233035266872,10,6
datausa-clothing-workforce|Nov09,0.0026166033390669667,10,8
ihme-cvd-deaths|Sep08,0.002613076588199454,9,8
ihme-cvd-deaths|Nov01,0.00259910948553415,8,8
datausa-police-wage-age|Dec23,0.002598966646515266,6,6
datausa-sector61-state|Nov11,0.0025937256478422263,8,10
datausa-clothing-workforce|Jul27,0.0025906871553191472,7,5
datausa-clothing-workforce|Aug08,0.0025828682552951677,8,9
datausa-clothing-workforce|Aug01,0.0025746218411458006,9,10
datausa-sector61-state|Jan29,0.0025715886552904127,8,9
datausa-clothing-workforce|Feb08,0.0025588883983619815,11,9
oecd-regional-co2|Oct23,0.0025573453879043726,3,3
datausa-clothing-workforce|May13,0.0025563867616035614,6,5
datausa-clothing-workforce|Jun28,0.002555014209875107,7,9
datausa-construction-workforce|Dec27,0.002554644637178622,10,10
datausa-cashiers-bachelors|Oct14,0.0024767344931480775,2,2
datausa-sector61-state|Dec18,0.0024763641095340767,6,9
datausa-police-wage-age|May11,0.0024583304246499267,8,6
datausa-sector61-state|Sep22,0.0024582618914979954,7,6
uefa-pass-accuracy|Oct29,0.002454051742002868,7,7
oecd-equity|Oct22,0.0024341520066809867,5,6
datausa-clothing-workforce|Nov17,0.002428639202842399,7,6
datausa-grocery-workforce|Sep21,0.002420422164950155,10,11
datausa-construction-workforce|Jun15,0.0023850059396759507,5,3
datausa-clothing-workforce|May31,0.002379236798187139,6,5
datausa-construction-workforce|Jul19,0.0023737714734560077,9,9
ihme-cvd-deaths|Feb26,0.002364312997123031,6,7
datausa-transport-production|Sep27,0.002360917761703376,6,4
datausa-transport-production|Jun11,0.0023565594948310375,6,6
nyc-veterans|Feb11,0.0023529831783161543,7,8
datausa-sector61-state|Oct15,0.0023524642943190933,8,5
datausa-language-french|Oct20,0.00233737319614406,8,8
ihme-cvd-deaths|Aug24,0.0023349622707141116,6,6
ihme-cvd-deaths|Jun20,0.0023033692216861126,5,5
datausa-cashiers-masters|Apr01,0.0022802827782774635,16,14
oecd-equity|Aug09,0.0022596105418204965,8,9
datausa-cashiers-masters|Feb21,0.0022595757235317746,5,3
datausa-grocery-workforce|Aug09,0.0022583624694103156,9,10
datausa-clothing-workforce|Oct23,0.0022433708334509165,9,9
datausa-police-wage-age|Jul03,0.0022391977781068564,7,5
datausa-clothing-workforce|Sep07,0.0022269907162504525,8,7
datausa-construction-workforce|Apr12,0.002218886610670588,5,5
oecd-equity|Apr19,0.002204433510348123,6,6
datausa-maids-wage|Mar22,0.0022028155130715604,8,6
datausa-language-french|Sep18,0.0021995249440883353,8,8
oecd-equity|Jul30,0.002191763840738471,6,7
datausa-language-french|Sep23,0.002190053579534558,8,8
datausa-sector61-state|Jul20,0.0021898682651833473,7,6
datausa-maids-wage|Oct30,0.002182974079312678,7,7
oecd-equity|Apr25,0.0021563461642419997,5,3
datausa-clothing-workforce|Dec10,0.0021292439794301414,6,5
oecd-equity|Dec02,0.002124236023109085,8,6
datausa-sector61-state|Aug23,0.002109863735077436,6,5
datausa-clothing-workforce|Jan14,0.0020928282920896074,6,5
fuel-poverty-ni|Jun09,0.002089075622350418,5,4
datausa-sector61-state|Oct26,0.0020835022779695086,7,4
datausa-clothing-workforce|Nov21,0.0020786115309874243,5,6
datausa-cashiers-masters|Apr08,0.0020773986892142467,8,9
datausa-construction-workforce|Oct19,0.0020760275343209827,8,7
datausa-clothing-workforce|May08,0.002070900942492681,7,7
datausa-sector61-state|Sep03,0.00206439160470657,7,5
datausa-occupation-salary-61-62|Apr30,0.0020593502948246267,5,6
datausa-ivy-tuition|Feb22,0.00205923664719959,5,4
ihme-lymphatic-filariasis|Nov14,0.0020573624155413917,7,8
datausa-sector61-state|Oct17,0.0020551244788477776,7,6
datausa-language-french|Jun27,0.0020526133088376213,6,2
datausa-construction-workforce|Sep20,0.0020478591165555993,6,3
datausa-transport-production|May15,0.0020417928275571237,5,6
datausa-poverty-county|Jan14,0.002020632968521352,9,7
datausa-poverty-state|Jul01,0.0020091654403502526,5,4
datausa-grocery-workforce|Apr27,0.0019910477726053245,12,12
datausa-clothing-workforce|Jan29,0.0019831006170598965,8,6
oecd-equity|May24,0.001982310094666188,4,3
datausa-enrollment-asian|Dec14,0.0019684712115202144,3,3
datausa-poverty-county|Apr27,0.001958109953933341,9,12
ihme-lymphatic-filariasis|Apr15,0.0019534527236925526,6,6
oecd-equity|Aug10,0.0019491831275844425,4,3
datausa-police-wage-age|Aug02,0.0019355145144605138,6,5
oecd-equity|Jul23,0.0019332061052426994,6,8
datausa-language-french|Sep17,0.0019174489925099741,7,5
datausa-maids-wage|Dec03,0.0019069542991185004,6,5
datausa-ivy-tuition|Aug12,0.0018933803755569155,5,5
uefa-pass-accuracy|Apr04,0.0018920768085922892,5,5
ihme-family-planning|Jul20,0.001879663093833396,6,7
