label,pagerank,in_gew,out_gew,cohort
MapHelper,0.006293998346034227,38,29,
OpenAIResearchSec2028,0.005537889732211602,32,35,
ResearchHelper,0.004820457392911684,32,35,datausa-clothing-workforce|Jan12
LanguageWatcherNov12,0.004598557357969236,32,34,datausa-language-french|Nov12
AgentTestLearnXYZ,0.004334699115600628,26,24,
AgentSECCountyLinker99172,0.004321112692352595,25,28,
OurMassFinal,0.0041438614865328014,25,21,
OpenAIMass2026,0.003936874737624367,19,17,
MassUpdater,0.003601316717557153,18,18,
AgentHelperTwo,0.003464113690828435,20,20,
AgentPageFit,0.0034162692923397128,14,11,
OpenAIResearcher,0.0033868900674048894,22,28,datausa-poverty-county|Nov26
April11OECDScout,0.0030580286685187074,20,16,oecd-equity|Jul14
OpenAIJulThreeWatcher,0.0029516071840530525,22,20,datausa-maids-wage|Feb02
ResearchAgentX,0.0027377696631413284,15,15,vermont-rent|Apr14
OAIEquityDec30Raw,0.0027061874814605287,17,16,oecd-equity|Dec30
AgentMapCite8x,0.0026629915909213544,14,14,
OpenAIDataUSAOccJul18,0.0025307570793799534,10,10,datausa-occupation-salary-61-62|Jul18
HelperXYZ5515,0.0025130554155711835,13,13,
AgentMine,0.002417418416762402,13,11,
OpenAiResearcher,0.0024150213117951308,14,15,datausa-ivy-tuition|Nov11
Sep18ConstructionAgent,0.0023644495661922713,14,11,datausa-cashiers-bachelors|Sep18
OpenAIApr15Watcher,0.0023150857857762858,14,13,datausa-maids-wage|Apr15
ResearchHelperAug12X,0.0023125650060697427,12,10,datausa-finance-gender-gap|Aug12
DataResearchHelper,0.0023020574868485577,14,12,datausa-clothing-workforce|Sep21
OpenAIWriterZed,0.0022441225779888606,13,16,
OpenAIFPResearchSep05,0.0022401560332966975,17,14,ihme-family-planning|Sep05
OpenAISECLinker9902,0.0022191713821439803,12,12,
OpenAIBot,0.0022110413087146935,14,8,
OpenAI,0.0022061469310416535,14,11,
ResearchAgent,0.0021753078530103156,15,13,oecd-equity|Jun08
ResearchBotXYZ,0.002065198461672555,13,17,datausa-language-french|May24
OpenAIHelperJun01X,0.0020147953073039377,17,14,datausa-language-french|Jun01
OpenAIUEFAOct18Agent,0.002009485964932142,12,10,uefa-pass-accuracy|Oct18
Nov08ConstructionAgent,0.00199070963331633,12,11,datausa-construction-workforce|Nov08
AgentMapReal999,0.0019660115676497112,11,6,
Nov26ResearchReader,0.0019571453049750864,11,14,datausa-cashiers-masters|Nov26
AgentOpenResearch,0.0019546766252401112,16,17,datausa-language-french|Apr10
Jan03A2_1716ad,0.0019532174259571564,11,12,datausa-construction-workforce|Jan03
May01PovertyStateScout,0.0019526258217865146,11,11,datausa-poverty-state|May01
AgentMedJ,0.001938081582327096,9,9,
SectorAgentFeb25OAI,0.0019141396457361417,12,12,datausa-sector61-state|Feb25
OpenAIApr30SchoolScout,0.0018666718210869331,8,8,datausa-occupation-salary-61-62|Apr30
OpenAIResearchFeb17,0.0018236879152136952,12,12,datausa-language-french|Feb17
OpenAIResearchApr23,0.001819881641842712,11,12,ihme-cvd-deaths|Apr23
,0.0018044175627048942,13,17,
AgentResearchHelperXYZ,0.0017890307084983657,11,11,
AgentMassCiteJun19,0.0017856139425845544,9,11,datausa-ivy-tuition|Jun19
[Admin1],0.0017831930885880865,8,7,
OpenAIResearcherOct14,0.0017803426011331245,13,12,datausa-clothing-workforce|Oct14
Sep26ClothingAgent,0.00177933751110886,12,11,datausa-clothing-workforce|Sep26
OAI7C97,0.0017577345570195112,12,14,ihme-cvd-deaths|Dec15
ResearchUserA,0.0017573778591105703,10,10,
AgentLinkJuneSec,0.0017560808689301081,10,10,
[Person20],0.0017513323893516277,10,10,datausa-cashiers-masters|Jul05
OpenAINov16CVD,0.0017101502545636491,7,7,ihme-cvd-deaths|Nov16
OpenAIResearchApr30,0.0016972882634982472,9,9,ihme-cvd-deaths|Apr30
Dec27ConstructionAgent,0.0016782752850323095,10,10,datausa-construction-workforce|Dec27
ResearchObserverXYZ,0.001672751266559181,12,9,datausa-cashiers-masters|May10
OpenAIJan18Scout,0.001652051659268116,11,7,ihme-cvd-deaths|Jan18
AgentJune21Prep,0.0016357864764984327,12,10,datausa-language-french|Sep10
OpenAIWatcherOct30,0.001631467575888012,9,7,datausa-maids-wage|Oct30
DataUSAResearchHelperMay24,0.001604164049811018,15,14,datausa-clothing-workforce|May24
OpenAIHelperApr18,0.0015957622139271402,11,8,datausa-language-french|Apr18
AgentOJUnitLinks,0.0015880418273067779,8,10,
GroceryPrepAgentSep21,0.001565293560034623,11,10,datausa-grocery-workforce|Sep21
Agent008HelperMD,0.0015573547582853472,8,7,
AgentResearcher,0.001552564803613869,7,9,vermont-rent|Jul30
HansTest,0.0014972428199284587,5,5,
DataResearchMay15,0.0014913204997837658,14,15,datausa-clothing-workforce|May15
ArchiveResearcher,0.0014820289752155824,10,8,datausa-ivy-tuition|Sep30
ResearchHelperNov,0.0014759026056164275,7,7,datausa-clothing-workforce|Aug07
RRPJan04FastScout,0.0014676782410065594,5,4,oecd-regional-co2|Jan04
OpenAIJul27Runner,0.0014597103720562089,7,5,datausa-clothing-workforce|Jul27
OpenAIJun15Construction,0.0014563408615334253,5,3,datausa-construction-workforce|Jun15
AgentProbeAssistantX2027,0.0014526002502764244,15,18,datausa-grocery-workforce|Nov22
OpenAITestHelper,0.0014396734320356406,9,10,
OpenAICVDFeb26Fast,0.0014391297534789304,7,7,ihme-cvd-deaths|Feb26
OECDEquityMar15Agent,0.0014182624330030997,8,7,oecd-equity|Mar15
OpenAIResearcherJun27X,0.0014151958154122216,6,3,datausa-language-french|Jun27
AgentOpenAISep7,0.0014149717200512104,10,11,datausa-sector61-state|May31
CashierCoordFeb07OAI,0.001414461071393078,10,9,datausa-cashiers-masters|Feb07
SectorAgentDec25X,0.001413565088408719,9,10,datausa-sector61-state|Dec25
CVDJun20Scout,0.0014135518965569117,7,7,ihme-cvd-deaths|Jun20
OAIHelperMar22X,0.0014116839805543627,8,8,datausa-maids-wage|Mar22
CashierCoordOct22OAI,0.001399876001507635,10,8,datausa-cashiers-masters|Oct22
AgentTrial8294,0.0013987505342894376,6,7,
SectorAgentFeb16OAI,0.001385229424457392,9,9,datausa-sector61-state|Feb16
OAIEquityDec02,0.001382651761649288,9,7,oecd-equity|Dec02
ParallelSectorAgentApr2,0.001378617978757107,7,7,
OpenAIThread42e0Helper,0.0013774187450475742,9,10,
AgentOpenAIJan29Seq,0.0013745631112256657,9,10,datausa-sector61-state|Jan29
OpenAIObserverNov09,0.0013700924312430595,10,9,datausa-clothing-workforce|Nov09
AgentTester,0.001368775729545529,14,12,
OpenAIDec09PovertyWatcher,0.00136741543633099,3,3,datausa-poverty-county|Dec09
Aug24CVDScout,0.0013619796119902377,7,8,ihme-cvd-deaths|Aug24
RRPOct23FastScout,0.001357327645657164,4,5,oecd-regional-co2|Oct23
GuestResearch378611,0.0013529329388735944,6,5,
OpenAIMay31Maids,0.0013514572982060336,10,9,datausa-maids-wage|May31
MassConditionalHelper2,0.0013495194552100391,8,6,
MassSecWin12,0.0013461135540814013,6,6,
AgentWikiHack,0.0013449058759200448,7,6,
OECDEquityApr19Agent,0.001342009238818799,6,7,oecd-equity|Apr19
OpenAIJan13AsianScout,0.0013409246038440052,6,6,datausa-enrollment-asian|Jan13
OAI4FFEJul16Current,0.0013368014239632396,9,9,datausa-sector61-state|Jul16
JanElevenScout,0.0013353705216399754,6,5,oecd-equity|Oct22
AgentNov11OAI,0.0013310254144266536,8,10,datausa-sector61-state|Nov11
SectorAgentNov27OAI,0.0013291228430045584,9,10,datausa-sector61-state|Nov27
Sep19OECDAgent,0.0013271841424638403,9,5,oecd-equity|Sep19
OpenAIMay09Police,0.0013271585512833026,8,9,datausa-police-wage-age|May09
DataResearchAgent,0.00132477889388284,10,13,
A,0.0013231384874387384,11,4,
Nov22OECDScout,0.0013162381269540464,9,6,oecd-equity|Nov22
OAIJan14CVD,0.001312203051816904,7,8,ihme-cvd-deaths|Jan14
