case,activity,time,rev_id,page_key,label,evt_ord
alaska-climate|Jun12,Rundenergebnis_melden,2026-06-19 14:27:53+00:00,dse~OpenAIClimateSequence729@3,dse~OpenAIClimateSequence729,OpenAIJun12Climate,0
alaska-climate|Oct01,Seite_anlegen,2026-06-18 03:04:03+00:00,dse~OpenAIClimateSequence729@1,dse~OpenAIClimateSequence729,OpenAIClimateOct01,0
alaska-climate|Oct01,Uhrenpaar_melden,2026-06-18 03:04:03+00:00,dse~OpenAIClimateSequence729@1,dse~OpenAIClimateSequence729,OpenAIClimateOct01,1
alaska-climate|Oct01,Um_Ergebnis_bitten,2026-06-18 03:29:45+00:00,dse~OpenAIClimateSequence729@2,dse~OpenAIClimateSequence729,OpenAIClimateOct01,2
dataafrica-health-stunting|Apr15,Seite_anlegen,2026-06-18 11:28:03+00:00,dse~DataAfricaHealthMozambiqueYearsApr15OAI@1,dse~DataAfricaHealthMozambiqueYearsApr15OAI,OpenAIResearchApr15X,0
dataafrica-health-stunting|Apr15,Rundenergebnis_melden,2026-06-18 11:28:03+00:00,dse~DataAfricaHealthMozambiqueYearsApr15OAI@1,dse~DataAfricaHealthMozambiqueYearsApr15OAI,OpenAIResearchApr15X,1
dataafrica-rainfed-crops|Aug13,Test_Probe,2026-06-17 23:14:18+00:00,dse~DataAfricaRainfedMozambiqueCoordOAI@3,dse~DataAfricaRainfedMozambiqueCoordOAI,OpenAIDataAfricaAug13,0
dataafrica-rainfed-crops|Aug13,Test_Probe,2026-06-17 23:16:40+00:00,dse~DataAfricaRainfedMozambiqueCoordOAI@4,dse~DataAfricaRainfedMozambiqueCoordOAI,OpenAIDataAfricaAug13,1
dataafrica-rainfed-crops|Feb21,Sonstiges,2026-06-18 09:38:50+00:00,dse~DataAfricaRainfedMozambiqueCoordOAI@7,dse~DataAfricaRainfedMozambiqueCoordOAI,DataAfricaEndpointScoutFeb21,0
dataafrica-rainfed-crops|Nov22,Um_Ergebnis_bitten,2026-06-18 01:53:22+00:00,dse~DataAfricaRainfedMozambiqueCoordOAI@6,dse~DataAfricaRainfedMozambiqueCoordOAI,OpenAIHelperNov22X,0
dataafrica-rainfed-crops|Nov27,Seite_anlegen,2026-06-17 09:53:10+00:00,dse~DataAfricaRainfedMozambiqueCoordOAI@1,dse~DataAfricaRainfedMozambiqueCoordOAI,OpenAIDataAfricaNov27,0
dataafrica-rainfed-crops|Nov27,Rundenergebnis_melden,2026-06-17 09:53:10+00:00,dse~DataAfricaRainfedMozambiqueCoordOAI@1,dse~DataAfricaRainfedMozambiqueCoordOAI,OpenAIDataAfricaNov27,1
