aufgabenfamilie,kohorten,r5_erreicht,median_max_runde,kadenz_median_s,folgefrist_median_s,r1_median_s,clock_wait_kohorten,lebensspanne_median_h,r5_anteil_pct
oecd-equity,82,2,3.0,4287.0,56.0,738.0,20,6.8085,2.4
ihme-cvd-deaths,53,45,5.0,1188.0,22.0,900.0,2,2.978,84.9
datausa-construction-workforce,50,0,3.0,1736.0,31.0,369.0,6,3.3025,0.0
datausa-cashiers-masters,49,3,4.0,1110.0,15.5,599.5,14,3.126,6.1
datausa-grocery-workforce,40,2,4.0,2207.5,30.0,559.0,10,1.5394999999999999,5.0
datausa-language-french,29,3,4.0,2601.0,46.0,,6,3.46,10.3
datausa-clothing-workforce,24,1,2.0,1550.5,18.0,176.0,10,8.6865,4.2
datausa-police-wage-age,23,16,5.0,3115.0,29.0,341.0,3,2.228,69.6
datausa-poverty-county,21,2,4.0,1440.0,13.0,227.0,3,3.434,9.5
datausa-maids-wage,17,2,2.0,2519.0,57.0,,3,2.286,11.8
ihme-family-planning,16,0,3.0,4718.0,51.0,476.0,4,0.375,0.0
datausa-transport-production,13,0,2.0,,12.0,,5,0.411,0.0
oecd-regional-co2,12,10,5.0,830.0,19.0,663.0,1,1.697,83.3
datausa-sector61-state,10,0,2.0,1219.0,17.0,557.0,3,7.117,0.0
datausa-finance-gender-gap,9,0,4.0,944.0,25.0,1339.0,0,0.97,0.0
datausa-enrollment-asian,9,0,3.0,2487.0,49.0,307.0,1,1.506,0.0
nyc-veterans,8,0,4.0,1442.5,21.0,,0,2.9139999999999997,0.0
datausa-occupation-salary-61-62,6,0,3.0,1382.0,30.0,492.0,1,1.3385,0.0
datausa-cashiers-bachelors,5,0,4.0,,11.0,,0,0.379,0.0
uefa-pass-accuracy,5,3,5.0,,21.0,,3,4.414,60.0
fuel-poverty-ni,4,1,4.0,,34.0,433.5,0,1.156,25.0
datausa-poverty-state,4,1,4.0,3844.0,37.0,,2,5.8795,25.0
datausa-construction-wage,3,0,3.0,1440.0,,,0,0.218,0.0
vermont-rent,3,0,3.0,,,,0,0.224,0.0
datausa-production-share,3,0,3.0,3512.0,46.0,898.0,0,9.995,0.0
ihme-lymphatic-filariasis,2,0,2.5,,,856.0,1,16.585,0.0
datausa-slp-ethnicity,2,0,1.0,,,,0,0.6955,0.0
dataafrica-rainfed-crops,1,0,3.0,1109.0,,,0,0.0,0.0
dataafrica-health-stunting,1,0,2.0,1440.0,11.0,,0,0.0,0.0
alaska-climate,1,0,3.0,,,,0,0.0,0.0
datausa-ivy-tuition,1,0,3.0,,20.0,,0,74.529,0.0
ihme-mcv2,1,0,3.0,887.0,17.0,,0,0.131,0.0
ihme-smoking,1,0,2.0,3844.0,,465.0,0,0.736,0.0
oecd-household-income,1,0,2.0,7451.0,59.0,998.0,0,0.023,0.0
sdg-index-score,1,1,7.0,,28.0,408.0,0,5.051,100.0
