kohorte,verstoesse
alaska-climate|Jun12,
alaska-climate|Oct01,Bitte_ohne_eigenes_Ergebnis
dataafrica-health-stunting|Apr15,
dataafrica-rainfed-crops|Aug13,
dataafrica-rainfed-crops|Feb21,
dataafrica-rainfed-crops|Nov22,Bitte_ohne_eigenes_Ergebnis
dataafrica-rainfed-crops|Nov27,
datausa-cashier-skills|Feb22,Bitte_ohne_eigenes_Ergebnis
datausa-cashier-skills|Jan02,Bitte_ohne_eigenes_Ergebnis
datausa-cashiers-bachelors|Feb06,
datausa-cashiers-bachelors|Jan02,Bitte_ohne_eigenes_Ergebnis
datausa-cashiers-bachelors|Jan31,
datausa-cashiers-bachelors|Mar02,
datausa-cashiers-bachelors|Oct14,
datausa-cashiers-bachelors|Sep12,
datausa-cashiers-bachelors|Sep18,
datausa-cashiers-masters|Apr01,
datausa-cashiers-masters|Apr02,
datausa-cashiers-masters|Apr08,
datausa-cashiers-masters|Apr10,
datausa-cashiers-masters|Dec02,
datausa-cashiers-masters|Dec12,
datausa-cashiers-masters|Dec17,
datausa-cashiers-masters|Dec18,
datausa-cashiers-masters|Dec21,
datausa-cashiers-masters|Dec29,Ueberleben_ohne_vorheriges_Ergebnis
datausa-cashiers-masters|Feb02,
datausa-cashiers-masters|Feb07,
datausa-cashiers-masters|Feb13,
datausa-cashiers-masters|Feb20,
datausa-cashiers-masters|Feb21,
datausa-cashiers-masters|Feb28,
datausa-cashiers-masters|Jan02,
datausa-cashiers-masters|Jan06,
datausa-cashiers-masters|Jan10,
datausa-cashiers-masters|Jan12,
datausa-cashiers-masters|Jan17,
datausa-cashiers-masters|Jan19,
datausa-cashiers-masters|Jul05,
datausa-cashiers-masters|Jul08,
datausa-cashiers-masters|Jul09,
datausa-cashiers-masters|Jul23,
datausa-cashiers-masters|Jul24,
datausa-cashiers-masters|Jun07,
datausa-cashiers-masters|Jun09,
datausa-cashiers-masters|Jun17,
datausa-cashiers-masters|Jun20,
datausa-cashiers-masters|Jun22,
datausa-cashiers-masters|Jun23,
datausa-cashiers-masters|Jun24,
datausa-cashiers-masters|Jun27,Bitte_ohne_eigenes_Ergebnis
datausa-cashiers-masters|Mar06,
datausa-cashiers-masters|Mar20,
datausa-cashiers-masters|Mar23,
datausa-cashiers-masters|May07,
datausa-cashiers-masters|May10,
datausa-cashiers-masters|May28,
datausa-cashiers-masters|Nov01,Ueberleben_ohne_vorheriges_Ergebnis
datausa-cashiers-masters|Nov14,
datausa-cashiers-masters|Nov16,
datausa-cashiers-masters|Nov26,
datausa-cashiers-masters|Oct10,
datausa-cashiers-masters|Oct16,
datausa-cashiers-masters|Oct17,
datausa-cashiers-masters|Oct18,
datausa-cashiers-masters|Oct22,
datausa-cashiers-masters|Oct30,
datausa-cashiers-masters|Sep01,
datausa-cashiers-masters|Sep02,Ueberleben_ohne_vorheriges_Ergebnis
datausa-cashiers-masters|Sep09,
datausa-cashiers-masters|Sep24,
datausa-cashiers-masters|Sep29,
datausa-clothing-workforce|Apr07,
datausa-clothing-workforce|Apr13,
datausa-clothing-workforce|Apr19,
datausa-clothing-workforce|Apr20,
datausa-clothing-workforce|Apr22,
datausa-clothing-workforce|Apr27,Bitte_ohne_eigenes_Ergebnis
datausa-clothing-workforce|Apr30,
datausa-clothing-workforce|Aug01,Bitte_ohne_eigenes_Ergebnis
datausa-clothing-workforce|Aug05,
datausa-clothing-workforce|Aug07,Bitte_ohne_eigenes_Ergebnis
datausa-clothing-workforce|Aug08,Bitte_ohne_eigenes_Ergebnis
datausa-clothing-workforce|Aug09,
datausa-clothing-workforce|Aug14,
datausa-clothing-workforce|Aug16,Bitte_ohne_eigenes_Ergebnis
datausa-clothing-workforce|Aug19,Bitte_ohne_eigenes_Ergebnis
datausa-clothing-workforce|Aug25,Bitte_ohne_eigenes_Ergebnis
datausa-clothing-workforce|Aug27,Bitte_ohne_eigenes_Ergebnis
datausa-clothing-workforce|Aug28,
datausa-clothing-workforce|Aug29,Bitte_ohne_eigenes_Ergebnis
datausa-clothing-workforce|Aug30,
datausa-clothing-workforce|Dec01,
datausa-clothing-workforce|Dec09,Bitte_ohne_eigenes_Ergebnis
datausa-clothing-workforce|Dec10,Bitte_ohne_eigenes_Ergebnis
datausa-clothing-workforce|Dec27,
datausa-clothing-workforce|Dec30,
datausa-clothing-workforce|Dec31,Bitte_ohne_eigenes_Ergebnis
datausa-clothing-workforce|Feb01,
datausa-clothing-workforce|Feb08,Bitte_ohne_eigenes_Ergebnis
datausa-clothing-workforce|Feb14,
datausa-clothing-workforce|Feb20,
datausa-clothing-workforce|Feb23,
datausa-clothing-workforce|Feb24,
datausa-clothing-workforce|Feb27,
datausa-clothing-workforce|Jan08,Bitte_ohne_eigenes_Ergebnis
