praediktor,teilmenge,test,n,effekt,p,se,n_true,mean_true,mean_false,detail
n_deltas (Selektionsmass),alle,spearman_rho,510,0.084,0.0568,,,,,
lebensspanne_real_h,alle,spearman_rho,510,0.062,0.164,,,,,
n_labels,alle,spearman_rho,510,-0.052,0.244,,,,,
n_seiten,alle,spearman_rho,510,0.012,0.784,,,,,
kadenz_s,alle,spearman_rho,99,-0.232,0.0209,,,,,
kadenz_s,alle,"OLS_kontrolliert(log_deltas,log_leben)",99,-0.0001,0.0317,0.0001,,,,
r1_frist_s,alle,spearman_rho,68,-0.277,0.022,,,,,
r1_frist_s,alle,"OLS_kontrolliert(log_deltas,log_leben)",68,-0.0005,0.0863,0.0003,,,,
folgefrist_s,alle,spearman_rho,217,-0.174,0.0102,,,,,
folgefrist_s,alle,"OLS_kontrolliert(log_deltas,log_leben)",217,-0.0111,0.0072,0.0041,,,,
clock_wait>0,alle,mannwhitney_rankbiserial,510,-0.066,0.296,,98.0,3.29,3.42,
clock_wait>0,alle,"OLS_kontrolliert(log_deltas,log_leben)",510,-0.2191,0.096,0.1314,,,,
counterapi>0,alle,mannwhitney_rankbiserial,510,0.143,0.0355,,81.0,3.63,3.34,
counterapi>0,alle,"OLS_kontrolliert(log_deltas,log_leben)",510,0.2291,0.1,0.139,,,,
umleitung>0,alle,mannwhitney_rankbiserial,510,-0.202,0.342,,7.0,3.0,3.4,
umleitung>0,alle,"OLS_kontrolliert(log_deltas,log_leben)",510,-0.6123,0.159,0.4345,,,,
blob_ausbruch>0,alle,mannwhitney_rankbiserial,510,-0.249,0.186,,9.0,2.89,3.4,
blob_ausbruch>0,alle,"OLS_kontrolliert(log_deltas,log_leben)",510,-0.6137,0.105,0.3779,,,,
setsid>0,alle,mannwhitney_rankbiserial,510,0.395,0.0635,,7.0,4.14,3.38,
setsid>0,alle,"OLS_kontrolliert(log_deltas,log_leben)",510,0.649,0.131,0.429,,,,
gibt (Beobachtung R>=2 gepostet),alle,mannwhitney_rankbiserial,510,1.0,4.3e-13,,493.0,3.47,1.0,
nur_nimmt,alle,mannwhitney_rankbiserial,510,-0.99,1.39e-09,,12.0,1.0,3.45,
gibt auf fremder Seite (Relay),alle,mannwhitney_rankbiserial,510,0.12,0.0256,,354.0,3.47,3.22,
gibt auf fremder Seite (Relay),alle,"OLS_kontrolliert(log_deltas,log_leben)",510,0.2133,0.0507,0.1089,,,,
bitten_quote,alle,spearman_rho,510,-0.138,0.00184,,,,,
bitten_quote,alle,"OLS_kontrolliert(log_deltas,log_leben)",510,-1.1378,0.000556,0.3275,,,,
zukunft_erhalten,alle,mannwhitney_rankbiserial,510,-0.253,0.271,,6.0,2.83,3.4,
zukunft_erhalten,alle,"OLS_kontrolliert(log_deltas,log_leben)",510,-0.6303,0.17,0.459,,,,
kadenz_s Tertil vs R5 erreicht,alle,chi2,99,0.294,0.0138,,,,,"{""schnell"": [24, 11], ""mittel"": [30, 1], ""langsam"": [26, 7]}"
r1_frist_s Tertil vs R5 erreicht,alle,chi2,68,0.122,0.6,,,,,"{""schnell"": [20, 5], ""mittel"": [19, 2], ""langsam"": [18, 4]}"
n_deltas (Selektionsmass),n_deltas>=5,spearman_rho,256,0.076,0.225,,,,,
lebensspanne_real_h,n_deltas>=5,spearman_rho,256,-0.057,0.367,,,,,
n_labels,n_deltas>=5,spearman_rho,256,-0.109,0.083,,,,,
n_seiten,n_deltas>=5,spearman_rho,256,-0.096,0.124,,,,,
kadenz_s,n_deltas>=5,spearman_rho,65,-0.107,0.394,,,,,
kadenz_s,n_deltas>=5,"OLS_kontrolliert(log_deltas,log_leben)",65,-0.0001,0.424,0.0001,,,,
r1_frist_s,n_deltas>=5,spearman_rho,47,-0.201,0.175,,,,,
r1_frist_s,n_deltas>=5,"OLS_kontrolliert(log_deltas,log_leben)",47,-0.0005,0.26,0.0005,,,,
folgefrist_s,n_deltas>=5,spearman_rho,138,-0.113,0.188,,,,,
folgefrist_s,n_deltas>=5,"OLS_kontrolliert(log_deltas,log_leben)",138,-0.0061,0.247,0.0052,,,,
clock_wait>0,n_deltas>=5,mannwhitney_rankbiserial,256,-0.058,0.452,,75.0,3.35,3.48,
clock_wait>0,n_deltas>=5,"OLS_kontrolliert(log_deltas,log_leben)",256,-0.1916,0.216,0.1547,,,,
counterapi>0,n_deltas>=5,mannwhitney_rankbiserial,256,0.093,0.269,,57.0,3.58,3.4,
counterapi>0,n_deltas>=5,"OLS_kontrolliert(log_deltas,log_leben)",256,0.1684,0.321,0.1694,,,,
umleitung>0,n_deltas>=5,mannwhitney_rankbiserial,256,-0.319,0.169,,6.0,2.83,3.46,
umleitung>0,n_deltas>=5,"OLS_kontrolliert(log_deltas,log_leben)",256,-0.8154,0.1,0.4941,,,,
blob_ausbruch>0,n_deltas>=5,mannwhitney_rankbiserial,256,-0.095,0.661,,7.0,3.29,3.45,
blob_ausbruch>0,n_deltas>=5,"OLS_kontrolliert(log_deltas,log_leben)",256,-0.246,0.566,0.428,,,,
setsid>0,n_deltas>=5,mannwhitney_rankbiserial,256,0.382,0.0749,,7.0,4.14,3.42,
setsid>0,n_deltas>=5,"OLS_kontrolliert(log_deltas,log_leben)",256,0.7327,0.0857,0.4246,,,,
gibt (Beobachtung R>=2 gepostet),n_deltas>=5,mannwhitney,256,,,,252.0,3.4801587301587302,1.0,
nur_nimmt,n_deltas>=5,mannwhitney,256,,,,4.0,1.0,3.4801587301587302,
gibt auf fremder Seite (Relay),n_deltas>=5,mannwhitney_rankbiserial,256,0.102,0.216,,196.0,3.48,3.3,
gibt auf fremder Seite (Relay),n_deltas>=5,"OLS_kontrolliert(log_deltas,log_leben)",256,0.1597,0.329,0.1632,,,,
bitten_quote,n_deltas>=5,spearman_rho,256,-0.195,0.00172,,,,,
bitten_quote,n_deltas>=5,"OLS_kontrolliert(log_deltas,log_leben)",256,-1.769,0.000535,0.5044,,,,
zukunft_erhalten,n_deltas>=5,mannwhitney_rankbiserial,256,-0.133,0.6,,5.0,3.2,3.45,
zukunft_erhalten,n_deltas>=5,"OLS_kontrolliert(log_deltas,log_leben)",256,-0.2743,0.583,0.4987,,,,
kadenz_s Tertil vs R5 erreicht,n_deltas>=5,chi2,65,0.145,0.504,,,,,"{""schnell"": [18, 4], ""mittel"": [19, 2], ""langsam"": [17, 5]}"
r1_frist_s Tertil vs R5 erreicht,n_deltas>=5,chi2,47,0.237,0.267,,,,,"{""schnell"": [14, 3], ""mittel"": [15, 1], ""langsam"": [10, 4]}"
