label,fam,fam_quelle,kdate,datum_quelle,cohort
,datausa-poverty-state,stichwort,,keine,
A,,keine,,keine,
A0,,keine,,keine,
A1Feb21Cashier,datausa-cashiers-masters,seite,Feb21,labelname,datausa-cashiers-masters|Feb21
A1Now138606,datausa-clothing-workforce,seite,,keine,
A2J453211918048,oecd-equity,seite,Oct07,signatur,oecd-equity|Oct07
A2RelayFeb04,datausa-grocery-workforce,seite,Feb04,labelname,datausa-grocery-workforce|Feb04
A2Research1781772069254935559,,keine,,keine,
A3Feb21Cashier,datausa-cashiers-masters,seite,Feb21,labelname,datausa-cashiers-masters|Feb21
A3Feb28,datausa-construction-workforce,seite,Feb28,labelname,datausa-construction-workforce|Feb28
A3R1781801558881960444,datausa-cashiers-masters,seite,Dec12,signatur,datausa-cashiers-masters|Dec12
A3ReadOnlyForensics,,keine,,keine,
A4ArchiveReader1781993,,keine,,keine,
A4ReadOnly,,keine,Mar09,signatur,
A5ArchiveReader,vermont-rent,seite,,keine,
AICountyResearch,,keine,,keine,
AIHWResearchHelper,aihw-pbs,stichwort,,keine,
APILinkSourceHelper,,keine,,keine,
AbcDefXyz,datausa-poverty-state,stichwort,,keine,
AccountResearcher,,keine,,keine,
AddLinkNow372,,keine,,keine,
AddSecondNested,,keine,,keine,
AftonUser,,keine,,keine,
AftonX,,keine,,keine,
AftonZ,,keine,,keine,
AgSite,,keine,,keine,
AgaTest,vermont-rent,seite,,keine,
AgeDataHelperX,,keine,,keine,
AgeHelper,,keine,,keine,
Agent,,keine,,keine,
Agent0,,keine,,keine,
Agent007,,keine,,keine,
Agent007Research,vermont-rent,seite,,keine,
Agent008HelperMD,vermont-rent,seite,,keine,
Agent0AddJS,,keine,,keine,
Agent0AppendSecPage,,keine,,keine,
Agent0DeepLink,,keine,,keine,
Agent0JQPEarly,,keine,,keine,
Agent0JSDeep,,keine,,keine,
Agent0June12X,datausa-grocery-workforce,seite,,keine,
Agent0MDLinker,,keine,,keine,
Agent0Mass,,keine,,keine,
Agent0MassCountyResearch,,keine,,keine,
Agent0RegexExtra,datausa-poverty-state,stichwort,,keine,
Agent0ResearchX,datausa-poverty-state,stichwort,,keine,
Agent0ResearcherCharl,,keine,,keine,
Agent0TXJune,datausa-ivy-tuition,seite,,keine,
Agent0TempZebraBeta,,keine,,keine,
Agent0Test,datausa-poverty-state,stichwort,,keine,
Agent0TrySave,,keine,,keine,
Agent0X,,keine,,keine,
Agent0allLink,,keine,,keine,
Agent13JS2,,keine,,keine,
Agent13Short,aihw-pbs,seite,,keine,
Agent3Coord297576,datausa-construction-workforce,seite,Apr02,signatur,datausa-construction-workforce|Apr02
Agent3Live043603,datausa-grocery-workforce,seite,,keine,
AgentA2June14,,keine,,keine,
AgentA2Research,,keine,,keine,
AgentAA,vermont-rent,seite,,keine,
AgentAC9142841,,keine,,keine,
AgentAD1061700,,keine,,keine,
AgentAD2928199,,keine,,keine,
AgentAD4332374,,keine,,keine,
AgentAD6218379,,keine,,keine,
AgentAD6558121,datausa-poverty-state,stichwort,,keine,
AgentAD665711,,keine,,keine,
AgentAF18768831,,keine,,keine,
AgentAPIxPUMS774,vermont-rent,seite,,keine,
AgentAcademicResearchMARegCF,,keine,,keine,
AgentAdd7,,keine,,keine,
AgentAltEncoder19030,,keine,,keine,
AgentAlternate3866,vermont-rent,seite,,keine,
AgentAlternate91389,,keine,,keine,
AgentAnother007,vermont-rent,seite,,keine,
AgentAnotherNN,,keine,,keine,
AgentAnotherTestMM,,keine,,keine,
AgentAnotherXYZ8877,,keine,,keine,
AgentAppendGreatZZQ,datausa-occupation-salary-61-62,stichwort,,keine,
AgentAppendINV7839,,keine,,keine,
AgentAppendNow,vermont-rent,seite,,keine,
AgentAppender619,,keine,,keine,
AgentApr19LangX,,keine,Apr19,labelname,
AgentArchivePure,,keine,,keine,
AgentArchiveReaderMay17,,keine,May17,labelname,
AgentArchiveResearcherHXX,,keine,,keine,
AgentArkHelper,,keine,,keine,
AgentAug02Scout,datausa-police-wage-age,seite,Aug02,labelname,datausa-police-wage-age|Aug02
AgentAug05OpenAI,datausa-clothing-workforce,seite,Aug05,labelname,datausa-clothing-workforce|Aug05
AgentAug11Live,datausa-maids-wage,seite,Aug11,labelname,datausa-maids-wage|Aug11
AgentAug23OAI,datausa-sector61-state,seite,Aug23,labelname,datausa-sector61-state|Aug23
AgentAug25OAI,datausa-sector61-state,seite,Aug25,labelname,datausa-sector61-state|Aug25
AgentAug27OAI,datausa-sector61-state,seite,Aug27,labelname,datausa-sector61-state|Aug27
