variante,n_kohorten,laenge,anteil_pct
Uhrenpaar_melden,43,1,4.74
Rundenergebnis_melden,41,1,4.52
Seite_anlegen -> Rundenergebnis_melden,38,2,4.19
Um_Ergebnis_bitten,23,1,2.54
Seite_anlegen -> Uhrenpaar_melden,18,2,1.98
Sonstiges,17,1,1.87
Seite_anlegen -> Um_Ergebnis_bitten,17,2,1.87
Uhrenpaar_melden -> Rundenergebnis_melden,11,2,1.21
Seite_anlegen -> Sonstiges,10,2,1.1
Test_Probe,8,1,0.88
Seite_anlegen -> Rundenergebnis_melden -> Um_Ergebnis_bitten,8,3,0.88
Um_Ergebnis_bitten -> Rundenergebnis_melden,7,2,0.77
Uhrenpaar_melden -> Um_Ergebnis_bitten,6,2,0.66
Seite_anlegen -> Uhrenpaar_melden -> Rundenergebnis_melden,6,3,0.66
Seite_anlegen -> Uhrenpaar_melden -> Um_Ergebnis_bitten,5,3,0.55
Technik_weitergeben,5,1,0.55
Seite_anlegen -> Test_Probe -> Uhrenpaar_melden,5,3,0.55
Seite_anlegen -> Daten_URL_ablegen,5,2,0.55
Seite_anlegen -> Test_Probe -> Rundenergebnis_melden,4,3,0.44
Seite_anlegen -> Test_Probe,4,2,0.44
Um_Ergebnis_bitten -> Uhrenpaar_melden,4,2,0.44
Rundenergebnis_melden -> Um_Ergebnis_bitten,4,2,0.44
Ueberlebenssignal,4,1,0.44
Vorhersage,4,1,0.44
Rundenergebnis_melden -> Technik_weitergeben,4,2,0.44
Um_Ergebnis_bitten -> Sonstiges,3,2,0.33
Uhrenpaar_melden -> Seite_anlegen -> Rundenergebnis_melden,3,3,0.33
Seite_anlegen -> Sonstiges -> Seite_anlegen -> Rundenergebnis_melden,3,4,0.33
Seite_anlegen -> Sonstiges -> Rundenergebnis_melden,3,3,0.33
Uhrenpaar_melden -> Sonstiges,3,2,0.33
Seite_anlegen -> Sonstiges -> Uhrenpaar_melden,3,3,0.33
Sonstiges -> Um_Ergebnis_bitten,3,2,0.33
Seite_anlegen -> Uhrenpaar_melden -> Seite_anlegen -> Uhrenpaar_melden,3,4,0.33
Seite_anlegen -> Test_Probe -> Seite_anlegen -> Rundenergebnis_melden,3,4,0.33
Seite_anlegen -> Rundenergebnis_melden -> Vorhersage,3,3,0.33
Rundenergebnis_melden -> Seite_anlegen -> Rundenergebnis_melden,3,3,0.33
Seite_anlegen -> Rundenergebnis_melden -> Uhrenpaar_melden,2,3,0.22
Seite_anlegen -> Rundenergebnis_melden -> Test_Probe,2,3,0.22
Um_Ergebnis_bitten -> Seite_anlegen -> Rundenergebnis_melden,2,3,0.22
Rundenergebnis_melden -> Test_Probe,2,2,0.22
Test_Probe -> Uhrenpaar_melden,2,2,0.22
Uhrenpaar_melden -> Rundenergebnis_melden -> Um_Ergebnis_bitten,2,3,0.22
Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Um_Ergebnis_bitten,2,4,0.22
Sonstiges -> Seite_anlegen -> Uhrenpaar_melden,2,3,0.22
Seite_anlegen -> Sonstiges -> Seite_anlegen -> Um_Ergebnis_bitten,2,4,0.22
Uhrenpaar_melden -> Vorhersage,2,2,0.22
Sonstiges -> Rundenergebnis_melden,2,2,0.22
Seite_anlegen -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden,2,4,0.22
Seite_anlegen -> Um_Ergebnis_bitten -> Uhrenpaar_melden,2,3,0.22
Seite_anlegen -> Test_Probe -> Um_Ergebnis_bitten -> Seite_anlegen -> Rundenergebnis_melden,2,5,0.22
Rundenergebnis_melden -> Vorhersage -> Um_Ergebnis_bitten,2,3,0.22
Seite_anlegen -> Vorhersage -> Rundenergebnis_melden,2,3,0.22
Seite_anlegen -> Um_Ergebnis_bitten -> Rundenergebnis_melden,2,3,0.22
Seite_anlegen -> Test_Probe -> Rundenergebnis_melden -> Uhrenpaar_melden,2,4,0.22
Seite_anlegen -> Rundenergebnis_melden -> Sonstiges,2,3,0.22
Ueberlebenssignal -> Rundenergebnis_melden,2,2,0.22
Seite_anlegen -> Rundenergebnis_melden -> Ueberlebenssignal,2,3,0.22
Rundenergebnis_melden -> Ueberlebenssignal,2,2,0.22
Seite_anlegen -> Test_Probe -> Um_Ergebnis_bitten,2,3,0.22
Rundenergebnis_melden -> Um_Ergebnis_bitten -> Seite_anlegen -> Sonstiges,2,4,0.22
Seite_anlegen -> Um_Ergebnis_bitten -> Sonstiges,2,3,0.22
Seite_anlegen -> Test_Probe -> Uhrenpaar_melden -> Rundenergebnis_melden,2,4,0.22
Rundenergebnis_melden -> Vorhersage -> Seite_anlegen -> Rundenergebnis_melden,2,4,0.22
Seite_anlegen -> Rundenergebnis_melden -> Seite_anlegen -> Rundenergebnis_melden,2,4,0.22
Seite_anlegen -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden,2,4,0.22
Daten_URL_ablegen,2,1,0.22
Vorhersage -> Seite_anlegen -> Um_Ergebnis_bitten,1,3,0.11
Seite_anlegen -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Vorhersage -> Uhrenpaar_melden,1,6,0.11
Rundenergebnis_melden -> Vorhersage,1,2,0.11
Seite_anlegen -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Seite_anlegen -> Sonstiges,1,7,0.11
Seite_anlegen -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Uhrenpaar_melden -> Rundenergebnis_melden -> Sonstiges -> Um_Ergebnis_bitten -> Seite_anlegen -> Um_Ergebnis_bitten,1,9,0.11
Test_Probe -> Sonstiges -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Seite_anlegen -> Vorhersage -> Sonstiges -> Uhrenpaar_melden -> Um_Ergebnis_bitten -> Sonstiges -> Um_Ergebnis_bitten -> Technik_weitergeben -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Seite_anlegen -> Vorhersage,1,20,0.11
Seite_anlegen -> Test_Probe -> Seite_anlegen -> Rundenergebnis_melden -> Seite_anlegen -> Rundenergebnis_melden -> Ueberlebenssignal -> Uhrenpaar_melden -> Ueberlebenssignal -> Technik_weitergeben -> Seite_anlegen -> Uhrenpaar_melden -> Rundenergebnis_melden -> Uhrenpaar_melden -> Rundenergebnis_melden,1,15,0.11
Sonstiges -> Seite_anlegen -> Rundenergebnis_melden -> Technik_weitergeben -> Rundenergebnis_melden -> Seite_anlegen -> Um_Ergebnis_bitten,1,7,0.11
Rundenergebnis_melden -> Seite_anlegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Daten_URL_ablegen -> Sonstiges -> Daten_URL_ablegen,1,7,0.11
Seite_anlegen -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Vorhersage,1,4,0.11
Seite_anlegen -> Sonstiges -> Test_Probe -> Technik_weitergeben -> Sonstiges -> Ueberlebenssignal -> Sonstiges,1,7,0.11
Uhrenpaar_melden -> Seite_anlegen -> Sonstiges -> Uhrenpaar_melden,1,4,0.11
Seite_anlegen -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Technik_weitergeben -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Ueberlebenssignal -> Technik_weitergeben -> Um_Ergebnis_bitten -> Sonstiges -> Seite_anlegen -> Uhrenpaar_melden,1,14,0.11
Seite_anlegen -> Sonstiges -> Rundenergebnis_melden -> Uhrenpaar_melden -> Seite_anlegen -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden,1,8,0.11
Technik_weitergeben -> Rundenergebnis_melden -> Seite_anlegen -> Sonstiges -> Vorhersage -> Rundenergebnis_melden -> Technik_weitergeben -> Seite_anlegen -> Rundenergebnis_melden,1,9,0.11
Uhrenpaar_melden -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Vorhersage -> Um_Ergebnis_bitten -> Technik_weitergeben -> Um_Ergebnis_bitten -> Seite_anlegen -> Um_Ergebnis_bitten -> Test_Probe,1,11,0.11
Seite_anlegen -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Sonstiges,1,4,0.11
Seite_anlegen -> Daten_URL_ablegen -> Sonstiges -> Vorhersage -> Daten_URL_ablegen -> Seite_anlegen -> Technik_weitergeben -> Seite_anlegen -> Technik_weitergeben -> Test_Probe -> Sonstiges -> Technik_weitergeben -> Daten_URL_ablegen -> Technik_weitergeben -> Seite_anlegen -> Technik_weitergeben -> Sonstiges -> Seite_anlegen -> Test_Probe,1,19,0.11
Seite_anlegen -> Test_Probe -> Rundenergebnis_melden -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden,1,9,0.11
Seite_anlegen -> Rundenergebnis_melden -> Uhrenpaar_melden -> Sonstiges -> Vorhersage,1,5,0.11
Seite_anlegen -> Sonstiges -> Rundenergebnis_melden -> Seite_anlegen -> Rundenergebnis_melden -> Uhrenpaar_melden -> Rundenergebnis_melden -> Uhrenpaar_melden -> Rundenergebnis_melden,1,9,0.11
Seite_anlegen -> Um_Ergebnis_bitten -> Vorhersage -> Test_Probe -> Rundenergebnis_melden -> Uhrenpaar_melden,1,6,0.11
Seite_anlegen -> Um_Ergebnis_bitten -> Technik_weitergeben -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Ueberlebenssignal -> Rundenergebnis_melden -> Technik_weitergeben,1,8,0.11
Seite_anlegen -> Rundenergebnis_melden -> Uhrenpaar_melden -> Seite_anlegen -> Technik_weitergeben,1,5,0.11
Seite_anlegen -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Vorhersage -> Seite_anlegen -> Vorhersage -> Technik_weitergeben,1,8,0.11
Rundenergebnis_melden -> Seite_anlegen -> Sonstiges -> Seite_anlegen -> Rundenergebnis_melden -> Um_Ergebnis_bitten,1,6,0.11
Seite_anlegen -> Test_Probe -> Seite_anlegen -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Sonstiges -> Rundenergebnis_melden -> Um_Ergebnis_bitten,1,8,0.11
Seite_anlegen -> Uhrenpaar_melden -> Seite_anlegen -> Test_Probe -> Um_Ergebnis_bitten -> Test_Probe -> Um_Ergebnis_bitten -> Vorhersage -> Um_Ergebnis_bitten -> Seite_anlegen -> Daten_URL_ablegen -> Rundenergebnis_melden -> Seite_anlegen -> Rundenergebnis_melden -> Seite_anlegen -> Daten_URL_ablegen -> Rundenergebnis_melden -> Uhrenpaar_melden -> Seite_anlegen -> Sonstiges -> Uhrenpaar_melden -> Technik_weitergeben,1,22,0.11
Seite_anlegen -> Daten_URL_ablegen -> Seite_anlegen -> Uhrenpaar_melden -> Seite_anlegen -> Uhrenpaar_melden -> Seite_anlegen -> Uhrenpaar_melden -> Seite_anlegen -> Uhrenpaar_melden -> Sonstiges -> Seite_anlegen -> Sonstiges -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Sonstiges -> Uhrenpaar_melden -> Seite_anlegen -> Sonstiges -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Seite_anlegen -> Um_Ergebnis_bitten -> Uhrenpaar_melden -> Sonstiges -> Rundenergebnis_melden -> Technik_weitergeben -> Sonstiges -> Seite_anlegen -> Sonstiges -> Um_Ergebnis_bitten -> Seite_anlegen -> Technik_weitergeben -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Test_Probe,1,36,0.11
Um_Ergebnis_bitten -> Ueberlebenssignal -> Seite_anlegen -> Rundenergebnis_melden -> Daten_URL_ablegen,1,5,0.11
Seite_anlegen -> Vorhersage -> Seite_anlegen -> Um_Ergebnis_bitten -> Sonstiges -> Seite_anlegen -> Um_Ergebnis_bitten -> Seite_anlegen -> Rundenergebnis_melden -> Seite_anlegen -> Rundenergebnis_melden -> Seite_anlegen -> Vorhersage -> Rundenergebnis_melden -> Seite_anlegen -> Vorhersage -> Um_Ergebnis_bitten -> Test_Probe -> Rundenergebnis_melden -> Seite_anlegen -> Rundenergebnis_melden -> Sonstiges -> Rundenergebnis_melden -> Ueberlebenssignal -> Uhrenpaar_melden -> Rundenergebnis_melden -> Um_Ergebnis_bitten,1,27,0.11
Seite_anlegen -> Uhrenpaar_melden -> Rundenergebnis_melden -> Uhrenpaar_melden -> Rundenergebnis_melden,1,5,0.11
Seite_anlegen -> Sonstiges -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden -> Sonstiges -> Rundenergebnis_melden -> Um_Ergebnis_bitten -> Rundenergebnis_melden,1,11,0.11
