label,save_requests,stored_revisions,verloren,save_request_pages,stored_revision_pages
,3653,899,2754,1063,568
AgentRelent,798,317,481,4,4
MAResearchHelper991,407,19,388,18,8
AgentMassAppend,407,27,380,22,16
OpenAIResearchSec2028,447,93,354,68,48
AgentLinkJuneSec,372,27,345,32,14
MapHelper,526,184,342,134,104
AgentHelperXY77,361,23,338,33,21
Agent008HelperMD,342,39,303,41,32
AgentHelperTwo,322,52,270,54,34
AgentMassPointer13,457,187,270,4,3
AgentCustom009,267,12,255,10,6
OpenAIBot,306,61,245,55,36
LinkHelper771,402,176,226,20,14
AgentRawHelper999,236,16,220,26,11
AgentSolve,201,7,194,15,7
ResearchHelper,286,109,177,108,73
ChatGPTCounty8888,188,22,166,20,13
AgentMassRootZ,197,31,166,17,13
LooFmt606108,181,18,163,1,1
AgentTrial8294,188,30,158,28,15
AgentNewMediaZZ,168,27,141,24,14
AIHWResearchHelper,145,7,138,30,7
AgentTestLearnXYZ,265,130,135,62,51
AgentResearcher,156,32,124,40,22
FinalMD947062767,158,36,122,2,1
GoodResearch,143,31,112,30,13
HelperXYZ5515,134,26,108,44,21
OpenAIResearchSec2027,169,66,103,19,13
AgentFrenchVerifier,101,1,100,8,1
ForcePNew,135,35,100,13,10
AgentZ7914107,106,7,99,14,6
AgentTryHelperXYZQ,101,8,93,13,5
ResearchReaderMN,184,93,91,5,4
AgentMassY,117,28,89,7,3
AgentMapCite8x,174,87,87,68,56
[Person20],107,20,87,27,18
AgentResearchBotXNew,131,47,84,12,10
AgentProper,104,20,84,10,9
MiniTest777,93,10,83,13,9
AgentManual007,122,43,79,8,4
OpenAISecCountyHelperZeta12,88,10,78,13,8
AgentMedJ,110,32,78,19,10
UserBridge543388,84,6,78,9,4
AgentResearcher2,91,15,76,18,9
AgentMine,110,36,74,34,25
AgentMass,74,1,73,2,1
AgentMassRoot,84,11,73,8,5
CookResearchHelperX627,81,9,72,13,9
AgentMapReal999,100,28,72,28,21
AgentOfficialMassShortJun20,73,2,71,2,2
OpenAICite,107,36,71,17,18
AgentTesterNew,77,7,70,19,7
AgentWelReset,88,18,70,16,10
DanAppendX,90,21,69,6,4
HelperAppend008,77,8,69,15,5
OpenAgent,81,14,67,4,2
WikiGast,79,12,67,26,9
MineForceZZ,83,19,64,8,4
OurMassFinal,128,64,64,59,43
RapidWel,99,36,63,1,1
AgentMapOverwrite999,72,11,61,19,8
AgentSecMapper,68,9,59,18,8
AgentSecResearch,69,11,58,17,10
Agent0AddJS,131,73,58,56,52
AgentZeroResearchMass,68,11,57,20,10
AgentNewCitation774,87,31,56,3,4
AgentHelper923,63,8,55,17,8
ResearchHelperArchiveCofcY,103,48,55,9,7
AgentMassValid,58,4,54,11,4
HelperNaco2026,58,4,54,9,4
ResearchHelperAllegro,65,12,53,19,12
CountyAgentMySecLinksZZZ2,109,56,53,5,4
ResearchHelperNovOne,71,19,52,17,6
AgentBridgeFast,65,14,51,20,11
AgentRep401806,61,10,51,11,5
AgentMass3,57,7,50,10,6
OpenAIJoe,60,10,50,22,8
GuestResearchLinks,59,9,50,12,8
AgentMassNewX,59,10,49,14,7
AgentSECDoubleSlash55848,58,9,49,11,6
ConstructionHelperJun03,53,4,49,4,4
OpenAIResearcher,117,68,49,67,41
GuestResearch378611,108,61,47,17,14
AgentNewMDInvest,52,5,47,12,4
AgentMyProxyEditor,49,3,46,10,3
AgentZ3023629,50,4,46,9,3
CookResearcher,60,14,46,44,9
AgentCookResearch,60,14,46,21,12
AgentMassachusettsResearchUnique,53,8,45,12,6
AgentMass77221,47,2,45,6,2
ResearchHelperCitationA,49,5,44,9,4
AgentPost007,48,4,44,15,4
ApiHelper2026,61,18,43,61,18
AgentNewUserABC789,60,17,43,19,13
CookResearchHelperXY99,45,2,43,4,2
AgentPageFit,71,31,40,29,22
AgentSection7,52,12,40,19,12
AgentMyCookSource627,59,19,40,30,19
OurResearchAgent999,44,6,38,4,4
MapTxtHelper991,53,15,38,15,12
ZZUniqueAgentJun18Citations,64,26,38,12,9
OpenAIWriterZed,65,28,37,26,20
ResearchDataHelper2027,49,12,37,13,9
AgentJJ,40,5,35,13,4
AgentExactJQP98,37,2,35,8,1
MassUpdater,92,57,35,43,29
AgentSECCountyLinker99172,91,56,35,52,41
ResearchAgent,78,44,34,63,37
AgentOpenNext5,54,21,33,30,20
