lag_h (deletes relativ zu saves; >0 = Loeschung spaeter),spearman,p
-24,-0.067,0.04041580383820078
-23,-0.058,0.07815245225217873
-22,-0.031,0.3433271678174825
-21,-0.022,0.4947733277499807
-20,-0.019,0.5567971326889938
-19,-0.042,0.19913598886088488
-18,-0.044,0.1824895697167028
-17,-0.064,0.05078572737052929
-16,-0.056,0.09027532794152235
-15,-0.049,0.13127999388249276
-14,-0.032,0.3280850396204596
-13,-0.032,0.3339917334686313
-12,-0.027,0.4157928423718282
-11,-0.024,0.469919427750186
-10,-0.03,0.3639026096736214
-9,-0.053,0.10476528731843822
-8,-0.043,0.18785718576004823
-7,-0.042,0.20066888029118451
-6,-0.017,0.6048415719043342
-5,-0.031,0.34597396176618944
-4,-0.037,0.2556001536779523
-3,-0.025,0.4429989407775727
-2,-0.029,0.3657944830723587
-1,-0.024,0.4631505093689407
0,-0.01,0.764228466687234
1,-0.021,0.5203520829775627
2,-0.035,0.28653301767137934
3,-0.018,0.5821749466877755
4,-0.03,0.35425372098586844
5,-0.024,0.467361734956205
6,-0.025,0.4410375923504904
7,-0.057,0.07913332253966947
8,-0.053,0.10708914281552723
9,-0.034,0.29272108518808365
10,-0.033,0.3123037641254942
11,-0.034,0.30291746535177144
12,-0.055,0.09283807892664167
13,-0.027,0.41354724437471224
14,-0.044,0.17978198718213423
15,-0.037,0.25277752798684444
16,-0.023,0.487358635368806
17,-0.027,0.4161809117042489
18,-0.025,0.45367270156389994
19,-0.012,0.7076387116953137
20,-0.024,0.4599891976661342
21,-0.017,0.6033121912765899
22,-0.022,0.49645286950269957
23,-0.019,0.5665555738842181
24,-0.015,0.6554795792961826
