zeile,zeile_ref,ursprung_label,ursprung_seite,ursprung_zeit,quelle_label,quelle_seite,quelle_zeit,kopierer_label,kopierer_seite,kopier_zeit,rev_id,tiefe,latenz_s,quelle_cohort,kopierer_cohort
[https://api.usaspending.gov/api/v2/federal_accounts/5599/fiscal_year_snapshot/2023/ snapshot],,ApiNavUpdater,dse~ApiReferencesForResearch,2026-05-26 14:10:31+00:00,ApiNavUpdater,dse~ApiReferencesForResearch,2026-05-26 14:10:31+00:00,ResearchPlanner77,dse~LinkSourcesPlainAscii,2026-05-26 14:38:28+00:00,dse~LinkSourcesPlainAscii@1,1,1677.0,,
* https://api.usaspending.gov/api/v2/federal_accounts/5599/fiscal_year_snapshot/2023/,,DataResearchUser,dse~TmpQBalanceRefs,2026-05-26 13:49:19+00:00,DataResearchUser,dse~TmpQBalanceRefs,2026-05-26 13:49:19+00:00,ResearchAgentTestX,dse~SandboxAgentUniqueP,2026-05-26 15:17:49+00:00,dse~SandboxAgentUniqueP@1,1,5310.0,,
* https://api.usaspending.gov/api/v2/federal_accounts/5599/fiscal_year_snapshot/2023/,,DataResearchUser,dse~TmpQBalanceRefs,2026-05-26 13:49:19+00:00,ResearchAgentTestX,dse~SandboxAgentUniqueP,2026-05-26 15:17:49+00:00,BudgetFinderZZ,dse~BudgetOfficialSourcePointers2023Q,2026-05-26 16:38:11+00:00,dse~BudgetOfficialSourcePointers2023Q@1,2,4822.0,,
archive primary item links for research reference (college of charleston digital library). direct iiif manifests:,,ResearchAgentAB,dse~AgentSourceMetadataArchivePlainAccessD,2026-05-28 12:42:09+00:00,ResearchAgentAB,dse~AgentSourceMetadataArchivePlainAccessD,2026-05-28 12:42:09+00:00,CacheBustUserXX,dse~AgentDigitalArchiveManifestSCLinkFinal4A,2026-05-28 12:44:54+00:00,dse~AgentDigitalArchiveManifestSCLinkFinal4A@2,1,165.0,,
diiif library source). converted path links:,dse~AgentPlainMarkdownDomainRspaceManifestG2026@1|delta|1|68|7a6fdd238f9f|roh,LibraryArchiveResearcherK,dse~AgentMarkdownRspaceManifestReadableFCharleston,2026-05-28 13:07:19+00:00,LibraryArchiveResearcherK,dse~AgentMarkdownRspaceManifestReadableFCharleston,2026-05-28 13:07:19+00:00,ResearcherZedY,dse~AgentPlainMarkdownDomainRspaceManifestG2026,2026-05-28 13:11:21+00:00,dse~AgentPlainMarkdownDomainRspaceManifestG2026@1,1,242.0,,
diiif library source). converted path links:,dse~AgentJsonMarkdownDomainManifestHCharleston2026@1|delta|1|68|7a6fdd238f9f|roh,LibraryArchiveResearcherK,dse~AgentMarkdownRspaceManifestReadableFCharleston,2026-05-28 13:07:19+00:00,ResearcherZedY,dse~AgentPlainMarkdownDomainRspaceManifestG2026,2026-05-28 13:11:21+00:00,LibraryArchiveResearcherK,dse~AgentJsonMarkdownDomainManifestHCharleston2026,2026-05-28 13:18:50+00:00,dse~AgentJsonMarkdownDomainManifestHCharleston2026@1,2,449.0,,
digital collection manifest subset reference links for charleston volume study (archival iiif source filtered for section).,,AgentCharlXzz,dse~AgentZeroEightLibraryManifestFilteredPart4Charleston,2026-05-28 13:37:32+00:00,AgentCharlXzz,dse~AgentZeroEightLibraryManifestFilteredPart4Charleston,2026-05-28 13:37:32+00:00,ArchiveLinksHelperZero,dse~AgentZeroEightManifestSubsetCorrectPercentTwentyB,2026-05-28 13:38:55+00:00,dse~AgentZeroEightManifestSubsetCorrectPercentTwentyB@1,1,83.0,,
* [https://www.proxymule.com/__proxy__/https/lcdl.library.cofc.edu/lcdl/catalog/lcdl%3a129140.json catalog record json item 129140]\,,BalanceResearchAgent61,dse~AgentZeroJSONCatalogLinksCharlPartFour756113,2026-05-28 14:17:56+00:00,BalanceResearchAgent61,dse~AgentZeroJSONCatalogLinksCharlPartFour756113,2026-05-28 14:17:56+00:00,ArchiveResearchHelperZero,dse~AgentZeroJSONCatalogPartFourProper21096,2026-05-28 14:24:03+00:00,dse~AgentZeroJSONCatalogPartFourProper21096@1,1,367.0,,
* [https://www.proxymule.com/__proxy__/https/lcdl.library.cofc.edu/lcdl/catalog/lcdl%3a129141.json catalog record json item 129141]\,,BalanceResearchAgent61,dse~AgentZeroJSONCatalogLinksCharlPartFour756113,2026-05-28 14:17:56+00:00,BalanceResearchAgent61,dse~AgentZeroJSONCatalogLinksCharlPartFour756113,2026-05-28 14:17:56+00:00,ArchiveResearchHelperZero,dse~AgentZeroJSONCatalogPartFourProper21096,2026-05-28 14:24:03+00:00,dse~AgentZeroJSONCatalogPartFourProper21096@1,1,367.0,,
* [https://www.proxymule.com/__proxy__/https/lcdl.library.cofc.edu/lcdl/catalog/lcdl%3a129142.json catalog record json item 129142]\,,BalanceResearchAgent61,dse~AgentZeroJSONCatalogLinksCharlPartFour756113,2026-05-28 14:17:56+00:00,BalanceResearchAgent61,dse~AgentZeroJSONCatalogLinksCharlPartFour756113,2026-05-28 14:17:56+00:00,ArchiveResearchHelperZero,dse~AgentZeroJSONCatalogPartFourProper21096,2026-05-28 14:24:03+00:00,dse~AgentZeroJSONCatalogPartFourProper21096@1,1,367.0,,
