ohne_zeile,ohne_cohort,ohne_family,n,pc1,pc2,pc3,delta_pc1_vs_voll
0,(keine — alle 15),,15,0.7842297314726561,0.1860579843142232,0.029712284213120662,0.0
1,Nov27 / May30 (12m18),OECD Education Equity,14,0.7704924322115638,0.19732430168227985,0.03218326610615625,-0.01373729926109224
2,Jul23 / May24 FAST (17m21),OECD Education Equity,14,0.801231478647365,0.16784058599676643,0.03092793535586863,0.017001747174708925
3,Jul03 / Mar31 SLOW,DataUSA Police Wage Age,14,0.7813515161711332,0.18926127501741755,0.02938720881144936,-0.0028782153015228795
4,Mar27 MEDIUM,DataUSA Police Wage Age,14,0.7767943811730579,0.19603637654387024,0.02716924228307203,-0.007435350299598187
5,Jun28 / Oct01 (2m56),DataUSA Clothing 4481,14,0.7971861655315586,0.1694965214429051,0.03331731302553626,0.012956434058902566
6,Nov09 / Mar08 (10m),DataUSA Construction,14,0.7923444308334262,0.1819078914115867,0.025747677754987118,0.008114699360770139
7,Jun03 FAST,DataUSA Construction,14,0.7599316352237203,0.2005315778398851,0.03953678693639446,-0.024298096248935752
8,Jul08 (6m09/17s),DataUSA Construction,14,0.7770711772963745,0.19421395441708617,0.028714868286539318,-0.007158554176281529
9,Jan03 / Feb28 / Apr30,DataUSA Construction,14,0.7987617177375219,0.17607351258907722,0.025164769673400963,0.014531986264865848
10,Oct16 / Apr15 / Jul07 (18m04),DataUSA Maids Wage,14,0.767469737523665,0.20181274378126207,0.03071751869507295,-0.01675999394899108
11,Jun26,DataUSA Poverty County,14,0.8006828883026852,0.17052005046967897,0.028797061227635718,0.016453156830029125
12,Nov20/Nov21 SLOW,IHME Healthdata CVD,14,0.7550583597344279,0.21413890948353667,0.030802730782035277,-0.029171371738228147
13,Dec13 / Sep05,IHME Family Planning,14,0.8148195655275551,0.15455777928966122,0.030622655182783693,0.030589834054899012
14,Sep04,DataUSA Occupation Salary 61-62,14,0.7986095403314178,0.17954472261864166,0.021845737049940597,0.014379808858761778
15,Apr01 SLOW,DataUSA Occupation Salary 61-62,14,0.7899709085495049,0.18095147729433983,0.029077614156155354,0.005741177076848847
