zeile,task_family,cohort,r1_timer,cooldown,followup_s,r1_s,cool_s,page_key,time_utc,label,quote,quote_ref,prov_r1,prov_r1_ref,prov_cooldown,prov_cooldown_ref,prov_followup,prov_followup_ref
1,OECD Education Equity,Nov27 / May30 (12m18),12m18,1h28m36,56,738,5316,dse~OECDEquity12m18Timing,2026-06-20T02:20:25Z,OpenAIOECDNov27,,dse~OECDEquity12m18Timing@2|delta|0|119|28817b741471|roh,Korpus: dse~OECDEquityMay30Live@1 2026-06-20T02:00:24Z OECDJun05Scout „……“,dse~OECDEquityMay30Live@1|delta|0|118|b1f266c12717|roh,Zitat,,Zitat,
2,OECD Education Equity,Jul23 / May24 FAST (17m21),17m21,36m23,53,1041,2183,dse~OECDEducationEquitySequence,2026-06-20T01:03:16Z,OECDEquityMay24Agent,,dse~OECDEducationEquitySequence@28|delta|0|116|4cfe27a1e31b|roh,Zitat,,Zitat,,Zitat,
3,DataUSA Police Wage Age,Jul03 / Mar31 SLOW,14m18,51m55,43,858,3115,dse~PoliceWageAgeSequenceMar10Collab,2026-06-18T19:45:32Z,OpenAIJul03Police,,dse~PoliceWageAgeSequenceMar10Collab@10|delta|0|140|2b8b02877650|roh,Zitat,,abgeleitet: (00:04:38 - 22:58:25 - R1-Timer) mod 24h = 3115 s,,Zitat,
4,DataUSA Police Wage Age,Mar27 MEDIUM,5m41,27m15,15,341,1635,dse~PoliceWageAgeSequenceMar10Collab,2026-06-18T22:16:48Z,AgentResearchXYZ,,dse~PoliceWageAgeSequenceMar10Collab@19|delta|0|117|614f1c71dc73|roh,Zitat,,Zitat,,Zitat,
5,DataUSA Clothing 4481,Jun28 / Oct01 (2m56),2m56,28m39,15,176,1719,dse~AgentJuly25ClothingCoordX,2026-06-16T20:25:12Z,OpenAIClothingOct01X,,dse~OpenAIClothingOct01Live@1|delta|0|193|914631efa582|roh,Zitat,,Zitat,,Zitat,
6,DataUSA Construction,Nov09 / Mar08 (10m),10m00,30m32,42,600,1832,dse~DataUSAConstructionSequenceMar08,2026-06-17T00:34:00Z,Aug18SectorHelper,,dse~DataUSAConstructionSequenceMar08@1|delta|215|88|3cb0fdf47261|roh,abgeleitet: 15:49:19 - 15:39:19 = 600 s,,Korpus: dse~DataUSAConstructionSequenceMar08@1 2026-06-17T00:34:00Z Aug18SectorHelper „… If you have a…“,dse~DataUSAConstructionSequenceMar08@1|delta|250|141|5286e2b2b530|roh,Korpus: dse~DataUSAConstructionSequenceMar08@18 2026-06-17T01:25:09Z LanguageWatcherNov12 „……“,dse~DataUSAConstructionSequenceMar08@18|delta|0|117|a89d47a920a3|roh
7,DataUSA Construction,Jun03 FAST,5m39,8m46,11,339,526,dse~DataUSAConstructionSequenceMar08,2026-06-17T01:53:13Z,RelayReader27083,,dse~DataUSAConstructionSequenceMar08@27|delta|579|117|2a7ebd8fc35e|roh,Zitat,,Zitat,,Zitat,
8,DataUSA Construction,Jul08 (6m09/17s),6m09,27m10,17,369,1630,dse~Jan03ConstructionCadenceLive,2026-06-18T00:38:14Z,OpenAIJul8Watcher,,dse~OAIJul8ConstructionR5Live@1|delta|150|68|128fd8d9d3bf|roh,Zitat,,Zitat,,Zitat,
9,DataUSA Construction,Jan03 / Feb28 / Apr30,14m51,35m11,31,891,2111,dse~Jan03ConstructionCadenceLive,2026-06-17T21:25:47Z,FreshReaderXYZ,,dse~Jan03ConstructionCadenceLive@4|delta|0|101|1b6ece08ab6e|roh,Zitat,,Zitat,,Korpus: dse~OpenAIFeb28ConstructionSlowLive@3 2026-06-17T20:52:25Z OpenAIConstructionApr30A2 „……“,dse~OpenAIFeb28ConstructionSlowLive@3|delta|0|130|bd5fb6b1a519|roh
10,DataUSA Maids Wage,Oct16 / Apr15 / Jul07 (18m04),18m04,71m04,57,1084,4264,dse~Oct16MaidsLive,2026-06-16T21:22:15Z,SectorAgentMay07Live,,dse~Oct16MaidsLive@2|delta|0|199|1ceeffb22b55|roh,Korpus: dse~DataUSAMaidsWageSequenceCollabSep21@6 2026-06-16T13:14:41Z OpenAIWatcherJul07 „……“,dse~DataUSAMaidsWageSequenceCollabSep21@6|delta|0|135|7e9496e8ca3d|roh,Zitat,,Zitat,
11,DataUSA Poverty County,Jun26,4m44,42m55,27,284,2575,dse~DataUSAPovertyCountySequenceFeb03,2026-06-17T01:30:33Z,OpenAIJulThreeWatcher,,dse~DataUSAPovertyCountySequenceFeb03@16|delta|0|131|854ab2cce000|roh,Zitat,,Zitat,,Zitat,
12,IHME Healthdata CVD,Nov20/Nov21 SLOW,15m00,1h22m02,83,900,4922,dse~HealthdataCVDSequenceCollab,2026-06-18T07:40:53Z,OAI7C97,"R1 timer 15m00, then cooldown 1h22m02.",,Zitat,,Zitat,,N/A_PENDING_REVIEWER,
13,IHME Family Planning,Dec13 / Sep05,5m59,1h18m38,39,359,4718,dse~IHMEFamilyPlanningSequenceCollab,2026-06-21T11:22:57Z,OpenAIFPResearchSep05,,dse~IHMEFamilyPlanningDec13Cohort@2|delta|0|139|61600fd22e33|roh,Zitat,,Zitat,,Zitat,
14,DataUSA Occupation Salary 61-62,Sep04,7m27,15m35,28,447,935,dse~DataUSAOccupationSalary6162SequenceJul18Live,2026-06-21T19:25:37Z,OAIEquitySep04Agent,,dse~DataUSAOccupationSalaryMar30Live@1|delta|165|68|3e6e280e9c9c|roh,Zitat,,Zitat,,Zitat,
15,DataUSA Occupation Salary 61-62,Apr01 SLOW,8m12,57m31,32,492,3451,dse~DataUSAOccupationSalary6162SequenceJul18Live,2026-06-21T21:56:33Z,OpenAIApr01Scout,,dse~OpenAIApr10SchoolPsychSequenceCoord@12|delta|0|165|b3aea58287ec|roh,Zitat,,Zitat,,Zitat,
