variant,f,sig_endzeile,please_relay,cohort,runde,uhrenpaar,zeitstempel,vollformat,meldeformat,n
full,2026-06-16 06:00:00+00:00,33.3,30.8,0.0,0.0,30.8,28.2,0.0,0.0,39
full,2026-06-16 12:00:00+00:00,50.0,33.3,33.3,16.7,33.3,50.0,16.7,33.3,6
full,2026-06-16 18:00:00+00:00,59.2,47.4,46.5,29.8,35.0,68.7,29.3,41.1,409
full,2026-06-17 00:00:00+00:00,75.6,48.0,47.2,76.4,25.2,70.9,40.9,61.4,127
full,2026-06-17 06:00:00+00:00,85.4,60.4,54.2,77.1,39.6,72.9,58.3,75.0,48
full,2026-06-17 12:00:00+00:00,70.0,50.0,52.5,70.0,22.5,75.0,50.0,67.5,40
full,2026-06-17 18:00:00+00:00,87.0,73.9,47.8,82.6,30.4,91.3,69.6,78.3,23
full,2026-06-18 00:00:00+00:00,87.5,37.5,62.5,75.0,12.5,75.0,37.5,75.0,8
full,2026-06-18 06:00:00+00:00,87.5,50.0,12.5,87.5,62.5,87.5,50.0,75.0,8
full,2026-06-18 12:00:00+00:00,70.0,30.0,40.0,70.0,10.0,50.0,30.0,50.0,10
full,2026-06-18 18:00:00+00:00,71.4,64.3,71.4,78.6,64.3,78.6,57.1,71.4,14
full,2026-06-19 00:00:00+00:00,75.0,58.3,75.0,91.7,66.7,91.7,58.3,75.0,12
full,2026-06-19 06:00:00+00:00,54.5,54.5,100.0,81.8,63.6,81.8,45.5,54.5,11
full,2026-06-19 12:00:00+00:00,87.5,56.2,62.5,90.6,15.6,84.4,53.1,78.1,32
full,2026-06-19 18:00:00+00:00,90.9,48.5,84.8,87.9,39.4,81.8,48.5,78.8,33
full,2026-06-20 00:00:00+00:00,83.5,45.4,57.7,82.5,39.2,79.4,40.2,74.2,97
full,2026-06-20 06:00:00+00:00,77.5,37.5,50.0,92.5,30.0,77.5,32.5,65.0,40
full,2026-06-20 12:00:00+00:00,100.0,36.4,63.6,81.8,18.2,81.8,36.4,81.8,11
full,2026-06-20 18:00:00+00:00,88.9,88.9,66.7,100.0,22.2,100.0,88.9,88.9,9
full,2026-06-21 00:00:00+00:00,78.8,51.5,42.4,63.6,15.2,63.6,51.5,63.6,33
full,2026-06-21 06:00:00+00:00,81.8,36.4,38.6,79.5,15.9,79.5,34.1,72.7,44
full,2026-06-21 12:00:00+00:00,82.1,39.3,71.4,78.6,67.9,78.6,35.7,75.0,28
full,2026-06-21 18:00:00+00:00,73.9,50.0,52.2,80.4,21.7,73.9,39.1,60.9,46
full,2026-06-22 00:00:00+00:00,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,1
full,2026-06-22 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
no_contact_trace,2026-06-16 06:00:00+00:00,34.5,34.5,0.0,0.0,31.0,27.6,0.0,0.0,29
no_contact_trace,2026-06-16 12:00:00+00:00,75.0,50.0,50.0,25.0,25.0,75.0,25.0,50.0,4
no_contact_trace,2026-06-16 18:00:00+00:00,58.6,46.1,45.8,29.2,34.4,69.1,28.0,39.9,343
no_contact_trace,2026-06-17 00:00:00+00:00,72.9,47.9,49.0,72.9,26.0,70.8,40.6,59.4,96
no_contact_trace,2026-06-17 06:00:00+00:00,82.5,57.5,52.5,77.5,35.0,70.0,55.0,72.5,40
no_contact_trace,2026-06-17 12:00:00+00:00,66.7,45.5,51.5,66.7,18.2,72.7,45.5,63.6,33
no_contact_trace,2026-06-17 18:00:00+00:00,85.0,70.0,45.0,85.0,30.0,90.0,65.0,75.0,20
no_contact_trace,2026-06-18 00:00:00+00:00,87.5,37.5,62.5,75.0,12.5,75.0,37.5,75.0,8
no_contact_trace,2026-06-18 06:00:00+00:00,85.7,42.9,14.3,85.7,57.1,85.7,42.9,71.4,7
no_contact_trace,2026-06-18 12:00:00+00:00,75.0,37.5,50.0,75.0,12.5,50.0,37.5,50.0,8
no_contact_trace,2026-06-18 18:00:00+00:00,80.0,60.0,70.0,80.0,60.0,80.0,60.0,80.0,10
no_contact_trace,2026-06-19 00:00:00+00:00,77.8,77.8,77.8,88.9,66.7,88.9,77.8,77.8,9
