praediktor,praediktor_name,teilmenge,variante,binaer,modell,effekt,ci_lo,ci_hi,p,se,n,n_fam,n_fam_true,n_true,n_boot_valid,grund,exakt,n_perm,mean_true,mean_false,q_bh
log_kadenz_s,Cadence (log s),alle,ohne_kopierziele,False,OLS_std_FE_HC1,-0.15582085382289476,-0.3643196861019289,0.05267797845613939,0.14298312048047995,0.10637890998183964,90,7.0,25.0,,,,,,,,0.36575709609755286
log_kadenz_s,Cadence (log s),alle,ohne_kopierziele,False,OLS_std_FE_cluster,-0.15582085382289476,-0.3833924557522377,0.07175074810644816,0.1795929014215797,0.1161100937182513,90,7.0,25.0,,,,,,,,0.3554573435319001
log_kadenz_s,Cadence (log s),alle,ohne_kopierziele,False,spearman,-0.2668971101103562,-0.449165209243021,-0.06330114399797898,0.010992964304890883,,90,,,,,,,,,,0.013741205381113602
log_r1_frist_s,Initial deadline (log s),alle,ohne_kopierziele,False,OLS_std_FE_HC1,-0.10905469168333935,-0.2981297846397071,0.08002040127302838,0.2582792400855112,0.09646865679561867,63,5.0,20.0,,,,,,,,0.5165584801710223
log_r1_frist_s,Initial deadline (log s),alle,ohne_kopierziele,False,OLS_std_FE_cluster,-0.10905469168333935,-0.23129509061615552,0.013185707249476819,0.08036909244968014,0.06236869651536092,63,5.0,20.0,,,,,,,,0.22101500423662038
log_r1_frist_s,Initial deadline (log s),alle,ohne_kopierziele,False,spearman,-0.27544565603413734,-0.48978845810852034,-0.029703429100173817,0.028891861297875195,,63,,,,,,,,,,0.028891861297875195
log_folgefrist_s,Answer deadline (log s),alle,ohne_kopierziele,False,OLS_std_FE_HC1,0.0002974493149407549,-0.15542061965603304,0.15601551828591453,0.997012822004259,0.07944945427531223,206,15.0,28.0,,,,,,,,0.997012822004259
log_folgefrist_s,Answer deadline (log s),alle,ohne_kopierziele,False,OLS_std_FE_cluster,0.0002974493149407549,-0.19719624743628467,0.19779114606616616,0.9976446944488958,0.10076394174027202,206,15.0,28.0,,,,,,,,0.9976446944488958
log_folgefrist_s,Answer deadline (log s),alle,ohne_kopierziele,False,spearman,-0.18406784410269103,-0.3128982412427599,-0.04858663459103241,0.00808586968973786,,206,,,,,,,,,,0.013476449482896433
clock_wait_b,\texttt{clock.wait} used,alle,ohne_kopierziele,True,OLS_std_FE_HC1,0.048468333786232505,-0.14125942200282904,0.23819608957529403,0.6165841224875642,0.09680165415569361,494,21.0,19.0,,,,,,,,0.8221121633167523
clock_wait_b,\texttt{clock.wait} used,alle,ohne_kopierziele,True,OLS_std_FE_cluster,0.048468333786232505,-0.11128609511141219,0.20822276268387718,0.5520849104971157,0.08150885942689112,494,21.0,19.0,,,,,,,,0.7105800383974037
clock_wait_b,\texttt{clock.wait} used,alle,ohne_kopierziele,True,rankbiserial_boot,-0.05991780229288346,-0.18681472277635258,0.06995014434621356,0.3544360386848403,,494,,,92.0,2000.0,,,,,,0.41350871179898036
clock_wait_b,\texttt{clock.wait} used,alle,ohne_kopierziele,True,rankbiserial_clusterboot,-0.05991780229288346,-0.22875742916064473,0.1409755200142205,0.3544360386848403,,494,,,92.0,2000.0,,,,,,0.41350871179898036
counterapi_b,\texttt{counterapi} used,alle,ohne_kopierziele,True,OLS_std_FE_HC1,0.14467814260483586,-0.05204663487619929,0.34140292008587103,0.14946474283545047,0.10037162878133225,494,21.0,15.0,,,,,,,,0.36575709609755286
counterapi_b,\texttt{counterapi} used,alle,ohne_kopierziele,True,OLS_std_FE_cluster,0.14467814260483586,0.002147696652780695,0.287208588556891,0.04664633066347672,0.07272095154621061,494,21.0,15.0,,,,,,,,0.17103654576608132
counterapi_b,\texttt{counterapi} used,alle,ohne_kopierziele,True,rankbiserial_boot,0.13475824729287322,-0.013996884308653493,0.27132499323432885,0.05352720231492682,,494,,,76.0,2000.0,,,,,,0.18734520810224387
counterapi_b,\texttt{counterapi} used,alle,ohne_kopierziele,True,rankbiserial_clusterboot,0.13475824729287322,-0.048084622094634585,0.3521134923729226,0.05352720231492682,,494,,,76.0,2000.0,,,,,,0.18734520810224387
umleitung_b,Redirect services,alle,ohne_kopierziele,True,OLS_std_FE_HC1,0.4645652141980286,-0.4820659318906489,1.4111963602867061,0.3361175699347365,0.48298394947845125,494,21.0,3.0,,,,,,,,0.5762015484595483
umleitung_b,Redirect services,alle,ohne_kopierziele,True,OLS_std_FE_cluster,0.4645652141980286,-0.5548998858579401,1.4840303142539972,0.37177903794736367,0.520144812913594,494,21.0,3.0,,,,,,,,0.5842242024887143
umleitung_b,Redirect services,alle,ohne_kopierziele,True,rankbiserial_boot,-0.02647657841140527,-0.7263575775137642,0.3737543398997,0.9365521408196854,,494,,,3.0,1900.0,,,,,,0.9365521408196854
umleitung_b,Redirect services,alle,ohne_kopierziele,True,rankbiserial_clusterboot,-0.02647657841140527,-0.7334166393840527,0.55965567077895,0.9365521408196854,,494,,,3.0,1916.0,,,,,,0.9365521408196854
blob_ausbruch_b,Blob egress,alle,ohne_kopierziele,True,OLS_std_FE_HC1,0.11392465171212064,-0.5665048954772919,0.7943541989015331,0.742792407731258,0.3471643114651871,494,21.0,1.0,,,,,,,,0.8913508892775095
blob_ausbruch_b,Blob egress,alle,ohne_kopierziele,True,OLS_std_FE_cluster,,,,,,494,21.0,1.0,,,Cluster-SE degeneriert: behandelte Kohorten in 1 Familie,,,,,
blob_ausbruch_b,Blob egress,alle,ohne_kopierziele,True,rankbiserial_boot,-0.2533791523482245,-0.6531398506449423,0.2071676891615543,0.17872421789241544,,494,,,9.0,1998.0,,,,,,0.31305418967424997
blob_ausbruch_b,Blob egress,alle,ohne_kopierziele,True,rankbiserial_clusterboot,-0.2533791523482245,-0.35858585858585856,-0.08211805555555551,0.17872421789241544,,494,,,9.0,1281.0,,,,,,0.31305418967424997
beobachtung_auf_fremder_seite_b,Observation on foreign page,alle,ohne_kopierziele,True,OLS_std_FE_HC1,-0.004902441140954226,-0.17504734823795104,0.16524246595604258,0.954964935083901,0.08681022122808284,494,21.0,31.0,,,,,,,,0.997012822004259
beobachtung_auf_fremder_seite_b,Observation on foreign page,alle,ohne_kopierziele,True,OLS_std_FE_cluster,-0.004902441140954226,-0.13439102752376775,0.12458614524185929,0.9408478356751577,0.06606681929066197,494,21.0,31.0,,,,,,,,0.9976446944488958
beobachtung_auf_fremder_seite_b,Observation on foreign page,alle,ohne_kopierziele,True,rankbiserial_boot,0.10775193798449623,0.009778991556970446,0.21215123141622477,0.04912024768824847,,494,,,344.0,2000.0,,,,,,0.18734520810224387
beobachtung_auf_fremder_seite_b,Observation on foreign page,alle,ohne_kopierziele,True,rankbiserial_clusterboot,0.10775193798449623,-0.06251105808378991,0.2159753030034358,0.04912024768824847,,494,,,344.0,2000.0,,,,,,0.18734520810224387
bitten_quote,Request rate,alle,ohne_kopierziele,False,OLS_std_FE_HC1,-0.10800764718864397,-0.18582987308680282,-0.03018542129048514,0.006524477597914356,0.03970594690107095,494,21.0,35.0,,,,,,,,0.07829373117497228
bitten_quote,Request rate,alle,ohne_kopierziele,False,OLS_std_FE_cluster,-0.10800764718864397,-0.20306683611375637,-0.012948458263531568,0.025951292233626848,0.048500477393935384,494,21.0,35.0,,,,,,,,0.14273210728494765
bitten_quote,Request rate,alle,ohne_kopierziele,False,spearman,-0.15265046435469246,-0.23767322409230368,-0.06530637606319559,0.0006635760715623831,,494,,,,,,,,,,0.0016589401789059578
zukunft_erhalten_n_b,Future answer received,alle,ohne_kopierziele,True,OLS_std_FE_HC1,-0.1735203895233476,-0.7503418764720745,0.40330109742537934,0.5554591245054812,0.29430208488452914,494,21.0,4.0,,,,,,,,0.8221121633167523
