praediktor,praediktor_name,teilmenge,variante,binaer,modell,effekt,ci_lo,ci_hi,p,se,n,n_fam,n_fam_true,n_true,n_boot_valid,grund,exakt,n_perm,mean_true,mean_false,q_bh
log_kadenz_s,Cadence (log s),alle,basis,False,OLS_std_FE_HC1,-0.07308563917595906,-0.28240418452763005,0.13623290617571196,0.4937599896564334,0.10679713862231603,99,8.0,25.0,,,,,,,,0.8859893810335918
log_kadenz_s,Cadence (log s),alle,basis,False,OLS_std_FE_cluster,-0.07308563917595906,-0.29277683695919954,0.1466055586072814,0.5143819108351357,0.11208940547690499,99,8.0,25.0,,,,,,,,0.8347924838461608
log_kadenz_s,Cadence (log s),alle,basis,False,spearman,-0.231981094795496,-0.4105926919129001,-0.03622470506923235,0.02086145830633955,,99,,,,,,,,,,0.021990909096079564
log_r1_frist_s,Initial deadline (log s),alle,basis,False,OLS_std_FE_HC1,-0.0965678739655182,-0.272110099678958,0.0789743517479216,0.2809446968059496,0.089564005817502,68,5.0,20.0,,,,,,,,0.674267272334279
log_r1_frist_s,Initial deadline (log s),alle,basis,False,OLS_std_FE_cluster,-0.0965678739655182,-0.2043364826217977,0.0112007346907613,0.07904424815201719,0.05498499437048055,68,5.0,20.0,,,,,,,,0.21737168241804727
log_r1_frist_s,Initial deadline (log s),alle,basis,False,spearman,-0.27743358652580413,-0.48385660047691575,-0.04176710537259799,0.021990909096079564,,68,,,,,,,,,,0.021990909096079564
log_folgefrist_s,Answer deadline (log s),alle,basis,False,OLS_std_FE_HC1,0.021833095522079286,-0.12585869730934546,0.16952488835350404,0.77201587356898,0.07535434017992104,217,15.0,28.0,,,,,,,,0.8859893810335918
log_folgefrist_s,Answer deadline (log s),alle,basis,False,OLS_std_FE_cluster,0.021833095522079286,-0.1621092693351736,0.2057754603793322,0.8160421074203804,0.09384986984871499,217,15.0,28.0,,,,,,,,0.9224976641825534
log_folgefrist_s,Answer deadline (log s),alle,basis,False,spearman,-0.17412942867189643,-0.30035060395278984,-0.04191467274002872,0.010171759100615305,,217,,,,,,,,,,0.016952931834358843
clock_wait_b,\texttt{clock.wait} used,alle,basis,True,OLS_std_FE_HC1,0.042761807900933674,-0.14064339396471676,0.2261670097665841,0.6476889706242586,0.09357580206183749,510,21.0,19.0,,,,,,,,0.8859893810335918
clock_wait_b,\texttt{clock.wait} used,alle,basis,True,OLS_std_FE_cluster,0.042761807900933674,-0.10611398199614469,0.19163759779801204,0.5734598865866614,0.07595843141577682,510,21.0,19.0,,,,,,,,0.8347924838461608
clock_wait_b,\texttt{clock.wait} used,alle,basis,True,rankbiserial_boot,-0.06570735090152569,-0.182130787241696,0.05493253030111009,0.2961453829617793,,510,,,98.0,2000.0,,,,,,0.3422037059107965
clock_wait_b,\texttt{clock.wait} used,alle,basis,True,rankbiserial_clusterboot,-0.06570735090152569,-0.24029027939715852,0.1270263644465379,0.2961453829617793,,510,,,98.0,2000.0,,,,,,0.3422037059107965
