schwelle,filter,praediktor,praediktor_name,n,n_pos,effekt,grund,modell,n_modell,ci_lo,ci_hi,p
>=2,ungefiltert_mit_kadenz,log_kadenz_s,Cadence (log s),99,98,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=2,faellig,log_kadenz_s,Cadence (log s),82,81,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=2,ungefiltert_mit_kadenz,log_r1_frist_s,Initial deadline (log s),25,25,,zu wenig Daten/keine Varianz,,,,,
>=2,faellig,log_r1_frist_s,Initial deadline (log s),22,22,,zu wenig Daten/keine Varianz,,,,,
>=2,ungefiltert_mit_kadenz,log_folgefrist_s,Answer deadline (log s),62,62,,zu wenig Daten/keine Varianz,,,,,
>=2,faellig,log_folgefrist_s,Answer deadline (log s),53,53,,zu wenig Daten/keine Varianz,,,,,
>=2,ungefiltert_mit_kadenz,clock_wait_b,\texttt{clock.wait} used,99,98,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=2,faellig,clock_wait_b,\texttt{clock.wait} used,82,81,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=2,ungefiltert_mit_kadenz,counterapi_b,\texttt{counterapi} used,99,98,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=2,faellig,counterapi_b,\texttt{counterapi} used,82,81,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=2,ungefiltert_mit_kadenz,umleitung_b,Redirect services,99,98,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=2,faellig,umleitung_b,Redirect services,82,81,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=2,ungefiltert_mit_kadenz,blob_ausbruch_b,Blob egress,99,98,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=2,faellig,blob_ausbruch_b,Blob egress,82,81,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=2,ungefiltert_mit_kadenz,beobachtung_auf_fremder_seite_b,Observation on foreign page,99,98,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
>=2,faellig,beobachtung_auf_fremder_seite_b,Observation on foreign page,82,81,,Ziel fast ohne Varianz (<5 Faelle in einer Klasse),,,,,
