series,window,kseg,variant,n_events,alpha,beta,branching,ks_p,aic_hawkes,aic_poisson
Namen (erste Version),Kernwoche 16.–22.06.,1,full,2580,7.5246906104082925,8.202504393621314,0.9173650204027779,0.20531872821410413,-15565.238362565837,-8932.956404324004
Namen (erste Version),Kernwoche 16.–22.06.,28,full,2580,8.44522220200817,9.733481483481109,0.8676466089076893,0.20531853156725555,-15604.991992208958,-13261.460308078029
Namen (erste Version),Tag 18.06.,1,full,807,9.046682150071257,9.42889702252354,0.9594634588182206,0.6941404907958554,-6106.348527163532,-4057.6455184061133
Namen (erste Version),Tag 18.06.,24,full,807,7.171508123330827,12.7129662937015,0.5641097410038656,0.6941402966922487,-6108.158870172464,-6049.61210930281
Versionen,Kernwoche 16.–22.06.,1,full,13339,23.541487320498906,24.571487300980316,0.9580814963349689,2.9144129731827225e-171,-134361.4071239817,-90022.46747125464
Versionen,Kernwoche 16.–22.06.,28,full,13339,27.201639092024596,29.35934491931028,0.9265070173324434,2.9285326487190337e-171,-134543.43440755995,-120621.94115144268
Versionen,Tag 18.06.,1,full,6543,97.50079008551856,99.76033127917559,0.9773503038263397,6.636079920705841e-234,-81216.89963464341,-60299.56028009218
Versionen,Tag 18.06.,24,full,6543,147.77385801861044,182.10566036944505,0.8114731728756575,6.703374174904875e-234,-81371.80698382176,-78438.88641190823
Namen (erste Version),Kernwoche 16.–22.06.,1,no_copyloop,2530,7.443837883669303,8.128133337678705,0.915811487634278,0.34259479682840277,-15087.409930923674,-8660.773647730633
Namen (erste Version),Kernwoche 16.–22.06.,28,no_copyloop,2530,8.334690362910006,9.63947629844955,0.8646414083979427,0.3425944632561003,-15127.050139766488,-12853.849559679216
Namen (erste Version),Tag 18.06.,1,no_copyloop,771,8.476685965902107,8.84625801547719,0.9582227820024591,0.9041774897153895,-5770.910269953081,-3806.176465638122
Namen (erste Version),Tag 18.06.,24,no_copyloop,771,6.097057565935668,11.036362017370317,0.552451755056549,0.822010650278876,-5773.7762754564355,-5723.620494574412
Versionen,Kernwoche 16.–22.06.,1,no_copyloop,11543,18.32599241756174,19.09507446701612,0.9597235375655196,1.0408767003021765e-62,-110471.9907925323,-74562.79018319822
Versionen,Kernwoche 16.–22.06.,28,no_copyloop,11543,20.62380646355681,22.26874626906977,0.926132356728241,1.0406945590088188e-62,-110610.61858810658,-99606.70740222553
Versionen,Tag 18.06.,1,no_copyloop,5163,50.08702359310103,51.25777688518815,0.9771594992363895,1.6739297490562165e-76,-61524.0863764419,-45135.21002229437
Versionen,Tag 18.06.,24,no_copyloop,5163,59.88163270706354,69.89012141753318,0.8567968046488637,1.67300026206672e-76,-61561.386022215986,-59696.881303780494
Namen (erste Version),Kernwoche 16.–22.06.,1,no_copyloop_no_dupsent,2465,7.083411009027857,7.731714403866316,0.9161501109619015,0.4661784405770979,-14509.63919061498,-8309.89671787251
Namen (erste Version),Kernwoche 16.–22.06.,28,no_copyloop_no_dupsent,2465,7.943834486034816,9.19264591955163,0.8641510350289088,0.46617802845547107,-14545.711099684311,-12412.0737636267
Namen (erste Version),Tag 18.06.,1,no_copyloop_no_dupsent,767,8.500622595709562,8.873663390004333,0.9579609031919127,0.8909596431792057,-5730.092428928319,-3778.4401775436227
Namen (erste Version),Tag 18.06.,24,no_copyloop_no_dupsent,767,6.227427486381943,11.3075238429221,0.5507330847044799,0.9370115898335958,-5732.921496095295,-5683.199256650278
Versionen,Kernwoche 16.–22.06.,1,no_copyloop_no_dupsent,11155,17.802810919097592,18.55932024994166,0.9592383061094899,7.62978660954562e-58,-106105.19426746682,-71293.60133370788
Versionen,Kernwoche 16.–22.06.,28,no_copyloop_no_dupsent,11155,20.050453307309983,21.67189782756273,0.9251821629488044,7.628598790247256e-58,-106236.5117157829,-95945.3998154486
Versionen,Tag 18.06.,1,no_copyloop_no_dupsent,5094,50.76043141572052,51.97162970342812,0.9766950104389798,2.4024534059870483e-74,-60650.85404468347,-44394.90803905056
Versionen,Tag 18.06.,24,no_copyloop_no_dupsent,5094,61.406420828986214,71.78944753402453,0.8553683436536088,2.401135375736234e-74,-60690.09743074569,-58823.044777022544
