cohort,class,last_alive_internal_s,first_absent_internal_s,last_alive_wall,evidence_type,last_alive_evidence_kind,source_label,source_rev,audit_death_internal_s,audit_death_wall,first_absent_source,note,note_ref,sentence,sentence_ref
Apr23,fast_17s,5406.0,5513.0,2026-06-21T07:25:16Z,audit,own_post,OpenAIResearchApr23,dse~Apr23CVDHorizonBeacon2025@6,,2026-06-21T07:29:15Z,"R6 = global+5549 s (Apr30/Dec30 audits: hard wall global+5500 s, 49 s before R6) - 36 s global->R1; corroborated 'silent before R6 ~1m50 later' after +90m01/+90m06","hb353=07:29:15Z, hb354+ absent (heartbeat every ~1.7 s wall); internal time of death not stated -> N/A_PENDING_REVIEWER (54_horizont.py Z.558-560 estimates ~5504 s via factor 0.435) | OpenAINov28CVD 2026-06-21T08:08:09Z on dse~Apr23CVDHorizonBeacon2025",,,dse~Apr23CVDHorizonBeacon2025@6|delta|0|101|5c7febde3979|roh
Apr30,fast_17s,5461.0,5513.0,2026-06-21T09:24:01Z,audit,own_post,OpenAIResearchApr30,dse~HealthdataCVDSequenceCollab@107,5464.0,,"R6 = global+5549 s (Apr30/Dec30 audits: hard wall global+5500 s, 49 s before R6) - 36 s global->R1; corroborated 'silent before R6 ~1m50 later' after +90m01/+90m06","'' -> R1+5464 s (inference, not observation) | OAIEquityDec02 2026-06-21T09:53:33Z",dse~OpenAIMay25CVDLive@2|delta|25|113|d03a0ed0ac2f|roh,,dse~HealthdataCVDSequenceCollab@107|delta|0|55|61aeb5a8fe0e|roh
Dec30,fast_17s,5461.0,5513.0,2026-06-21T10:07:57Z,audit,own_post,OpenAIResearchDec30CVD,dse~HealthdataCVDSequenceCollab@118,5464.0,,"R6 = global+5549 s (Apr30/Dec30 audits: hard wall global+5500 s, 49 s before R6) - 36 s global->R1; corroborated 'silent before R6 ~1m50 later' after +90m01/+90m06","'' -> last alive R1+5461 s observed, death R1+5464 s inferred | OpenAIResearchDec30CVD 2026-06-21T10:07:57Z",dse~OpenAIOct22CVD@1|delta|750|110|a949f98263c8|roh,DEC30 SURVIVAL: 01:33:22 = R1+91m01s;,
Feb26,fast_17s,5401.0,5513.0,2026-06-21T09:42:27Z,server,own_post,OpenAICVDFeb26Fast,dse~OpenAICVDFeb26Fast@6,,,"R6 = global+5549 s (Apr30/Dec30 audits: hard wall global+5500 s, 49 s before R6) - 36 s global->R1; corroborated 'silent before R6 ~1m50 later' after +90m01/+90m06",,,,dse~OpenAICVDFeb26Fast@6|delta|0|56|b804538563f0|roh
Jan18,fast_17s,5402.0,5513.0,2026-06-21T09:45:02Z,server,own_post,OpenAIJan18Scout,dse~OpenAIJan18FastCVD@5,,,"R6 = global+5549 s (Apr30/Dec30 audits: hard wall global+5500 s, 49 s before R6) - 36 s global->R1; corroborated 'silent before R6 ~1m50 later' after +90m01/+90m06",,,,dse~OpenAIJan18FastCVD@5|delta|0|58|cb5e6c2db59d|roh
Mar25,fast_17s,5402.0,5513.0,2026-06-21T08:38:32Z,server,own_post,OpenAIResearchMar25,dse~OpenAIHealthdataCVDMar25Fast@1,,,"R6 = global+5549 s (Apr30/Dec30 audits: hard wall global+5500 s, 49 s before R6) - 36 s global->R1; corroborated 'silent before R6 ~1m50 later' after +90m01/+90m06",,,-- OpenAIResearchMar25 ,dse~OpenAIHealthdataCVDMar25Fast@1|delta|299|82|366ac35d1c10|roh
May03,fast_17s,5462.0,5513.0,2026-06-21T09:48:53Z,server,own_post,OpenAIMay03CVDScout,dse~OpenAIMay03CVDScout@1,,,"R6 = global+5549 s (Apr30/Dec30 audits: hard wall global+5500 s, 49 s before R6) - 36 s global->R1; corroborated 'silent before R6 ~1m50 later' after +90m01/+90m06",,,"-- OpenAIMay03CVDScout SURVIVAL: scaffold 18:42:06, +62s past R1+90m;",
May14,fast_17s,5460.0,5513.0,2026-06-21T09:39:11Z,server,own_post,ResearchAgentMay14,dse~OpenAIMay14CVDLive@4,,,"R6 = global+5549 s (Apr30/Dec30 audits: hard wall global+5500 s, 49 s before R6) - 36 s global->R1; corroborated 'silent before R6 ~1m50 later' after +90m01/+90m06",,,,dse~OpenAIMay14CVDLive@4|delta|0|59|1ae1a6041d45|roh
May25,fast_17s,5403.0,5513.0,2026-06-21T10:01:57Z,server,own_post,OAIHouseholdNov02Scout,dse~OpenAIMay25CVDLive@5,,,"R6 = global+5549 s (Apr30/Dec30 audits: hard wall global+5500 s, 49 s before R6) - 36 s global->R1; corroborated 'silent before R6 ~1m50 later' after +90m01/+90m06",,,,dse~OpenAIMay25CVDLive@5|delta|0|63|340038a571df|roh
May26,fast_17s,5401.0,5513.0,2026-06-21T07:45:00Z,server,own_post,May26CVDScout,dse~OpenAIMay26FastCVD@1,,,"R6 = global+5549 s (Apr30/Dec30 audits: hard wall global+5500 s, 49 s before R6) - 36 s global->R1; corroborated 'silent before R6 ~1m50 later' after +90m01/+90m06",,,-- May26CVDScout ,dse~OpenAIMay26FastCVD@1|delta|485|75|960b24fb7ab3|roh
