month,day,n_labels
Jan,1,2
Jan,2,1
Jan,3,1
Jan,4,1
Jan,5,1
Jan,6,1
Jan,8,2
Jan,11,1
Jan,12,5
Jan,13,1
Jan,14,2
Jan,16,1
Jan,17,2
Jan,18,1
Jan,20,1
Jan,21,2
Jan,25,2
Jan,26,1
Jan,27,1
Jan,28,1
Jan,29,2
Jan,30,2
Jan,31,4
Feb,1,1
Feb,3,1
Feb,5,1
Feb,6,1
Feb,7,2
Feb,9,3
Feb,11,2
Feb,13,1
Feb,14,1
Feb,15,1
Feb,16,1
Feb,17,3
Feb,19,1
Feb,20,4
Feb,21,3
Feb,22,3
Feb,23,1
Feb,24,1
Feb,25,2
Feb,26,2
Feb,27,2
Feb,28,4
Mar,2,2
Mar,3,3
Mar,4,2
Mar,5,2
Mar,6,4
Mar,7,1
Mar,9,3
Mar,10,1
Mar,12,2
Mar,13,4
Mar,14,2
Mar,15,1
Mar,16,3
Mar,18,1
Mar,19,4
Mar,20,4
Mar,21,3
Mar,22,3
Mar,23,1
Mar,25,1
Mar,26,2
Mar,27,1
Mar,28,3
Mar,29,1
Mar,30,2
Mar,31,2
Apr,1,2
Apr,4,1
Apr,6,1
Apr,7,1
Apr,8,2
Apr,9,1
Apr,10,3
Apr,11,2
Apr,12,1
Apr,13,1
Apr,14,2
Apr,15,4
Apr,17,2
Apr,18,1
Apr,19,2
Apr,20,2
Apr,22,1
Apr,23,1
Apr,26,1
Apr,27,1
Apr,30,5
May,1,1
May,2,3
May,3,3
May,4,1
May,7,3
May,8,4
May,9,2
May,10,2
May,11,4
May,12,1
May,13,2
May,14,1
May,15,4
May,16,2
May,17,5
May,18,1
May,19,2
May,21,1
May,22,3
May,24,5
May,25,1
May,26,2
May,27,1
May,28,3
May,30,2
May,31,3
Jun,1,1
Jun,3,2
Jun,4,1
Jun,5,2
Jun,6,2
Jun,7,3
Jun,9,4
Jun,10,4
Jun,11,3
Jun,14,1
Jun,15,3
Jun,16,1
Jun,17,1
Jun,18,4
Jun,19,7
Jun,20,7
Jun,21,3
Jun,22,6
Jun,23,4
Jun,24,4
Jun,25,5
Jun,26,3
Jun,27,2
Jun,28,3
Jun,30,4
Jul,1,3
Jul,2,1
Jul,3,5
Jul,5,1
Jul,6,1
Jul,7,1
Jul,8,4
Jul,9,5
Jul,10,2
Jul,11,2
Jul,12,1
Jul,14,4
Jul,16,1
Jul,17,3
Jul,18,3
Jul,19,2
Jul,20,2
Jul,21,2
Jul,22,1
Jul,23,3
Jul,24,3
Jul,26,3
Jul,27,2
Jul,29,1
Jul,30,2
Jul,31,2
Aug,1,1
Aug,2,5
Aug,3,2
Aug,4,1
Aug,5,1
Aug,6,2
Aug,7,1
Aug,8,2
Aug,9,4
Aug,10,2
Aug,11,2
Aug,12,3
Aug,13,1
Aug,14,3
Aug,15,1
Aug,16,2
Aug,17,2
Aug,18,1
Aug,19,5
Aug,20,1
Aug,21,4
Aug,22,1
Aug,23,2
Aug,24,3
Aug,25,3
Aug,27,5
Aug,29,3
Sep,1,1
Sep,2,2
Sep,3,2
Sep,4,1
Sep,5,1
Sep,6,1
Sep,8,3
Sep,9,3
Sep,11,2
Sep,12,2
Sep,13,5
Sep,14,2
Sep,15,2
Sep,17,3
Sep,18,2
Sep,19,2
Sep,20,3
Sep,21,5
Sep,22,4
Sep,23,3
Sep,24,4
Sep,25,1
Sep,26,3
Sep,27,3
Sep,29,1
Sep,30,3
Oct,1,2
Oct,2,1
Oct,3,1
Oct,4,1
Oct,9,1
Oct,10,1
Oct,11,2
Oct,12,3
Oct,13,1
Oct,14,2
Oct,16,1
Oct,17,1
Oct,18,4
Oct,20,3
Oct,21,4
Oct,22,3
Oct,23,4
Oct,25,4
Oct,26,1
Oct,27,2
Oct,28,3
Oct,29,2
Oct,30,5
Nov,1,4
Nov,2,1
Nov,3,1
Nov,4,1
Nov,5,3
Nov,8,1
Nov,9,3
Nov,11,4
Nov,12,2
Nov,13,2
Nov,14,2
Nov,15,1
Nov,16,2
Nov,17,1
Nov,18,5
Nov,21,2
Nov,22,4
Nov,23,1
Nov,24,2
Nov,25,2
Nov,26,3
Nov,27,3
Nov,28,2
Nov,29,1
Nov,30,3
Dec,1,1
Dec,2,2
Dec,3,3
Dec,4,1
Dec,5,3
Dec,7,2
Dec,8,2
Dec,9,3
Dec,10,2
Dec,11,2
Dec,13,1
Dec,14,2
Dec,16,1
Dec,17,1
Dec,19,1
Dec,20,1
Dec,21,2
Dec,22,2
Dec,23,1
Dec,24,2
Dec,25,1
Dec,26,1
Dec,27,3
Dec,28,1
Dec,29,2
Dec,30,6
Dec,31,1
