classifier,class,weighting,population,note,n,n_gold_pos,n_pred_pos,tp,fp,fn,precision,p_lo,p_hi,recall,r_lo,r_hi,f1
arrival_obs_strong,arrival,raw_sample,regex_has_round,51:202-203 strong_obs,263,140,67,66.0,1.0,74.0,0.9850746268656716,0.9201813759881207,0.9973604282951011,0.4714285714285714,0.3906113910028667,0.5537718204702461,0.6376811594202899
arrival_obs_strong,arrival,population,regex_has_round,51:202-203 strong_obs,263,140,67,2400.3900000000003,427.25,2008.2539215686272,0.848902264786182,0.6286411836203907,0.949099576583947,0.5444735484887888,0.37222707125797927,0.7066990313985454,0.6634316801322139
arrival_obs_weak,arrival,raw_sample,regex_has_round,51:166-171 cls==observation,263,140,104,102.0,2.0,38.0,0.9807692307692307,0.9325768702736409,0.9947102884625246,0.7285714285714285,0.6495387671310277,0.7953955410840711,0.8360655737704917
arrival_obs_weak,arrival,population,regex_has_round,51:166-171 cls==observation,263,140,104,2798.0900000000006,440.61,1610.5539215686272,0.8639546731713345,0.676444207420889,0.9507145977385167,0.6346826937668443,0.45717537486747895,0.7818426588965439,0.7317808715541735
speech_act,request,raw_sample,regex_has_round,51:166-171 classify(),263,35,35,26.0,9.0,9.0,0.7428571428571429,0.5793069301990262,0.8583697299890983,0.7428571428571429,0.5793069301990262,0.8583697299890983,0.7428571428571429
speech_act,request,population,regex_has_round,51:166-171 classify(),263,35,35,3208.16,673.2900000000001,692.6207843137255,0.8265364747710262,0.6083723016758406,0.9359607884163937,0.8224404747124029,0.5836793182922573,0.9386613444474805,0.8244833875825262
speech_act,prediction,raw_sample,regex_has_round,51:166-171 classify(),263,46,38,26.0,12.0,20.0,0.6842105263157895,0.5254423998209402,0.8091539640323836,0.5652173913043478,0.4224743358658626,0.6979073731505164,0.6190476190476191
speech_act,prediction,population,regex_has_round,51:166-171 classify(),263,46,38,4321.110000000001,1776.79,789.2015686274511,0.7086226405811836,0.5062171247497604,0.8522726466414798,0.8455668391194749,0.654189411534236,0.9406425700638562,0.7710614621328316
speech_act,negation,raw_sample,regex_has_round,51:166-171 classify(),263,19,27,18.0,9.0,1.0,0.6666666666666666,0.4782476036109926,0.8135673859016506,0.9473684210526315,0.7536126862526763,0.9906480060413981,0.782608695652174
speech_act,negation,population,regex_has_round,51:166-171 classify(),263,19,27,563.9000000000001,73.8,83.48,0.8842716010663321,0.28729423527572756,0.9931429559216904,0.8710494609039513,0.27851996553437297,0.9916105431873156,0.8776107324057646
speech_act,observation,raw_sample,regex_has_round,51:166-171 classify(),263,150,104,103.0,1.0,47.0,0.9903846153846154,0.9475322747417618,0.998300627169127,0.6866666666666666,0.608560249150623,0.7554508594752356,0.8110236220472441
speech_act,observation,population,regex_has_round,51:166-171 classify(),263,150,104,2811.450000000001,427.25,3145.454509803921,0.8680797850989599,0.6813176871982232,0.9529494214351717,0.47196492664485284,0.3129434538374277,0.6368869653137718,0.6114769283525765
future_answer_exact,true,raw_sample,all,51:318-331 cohort-state rule,400,27,9,8.0,1.0,19.0,0.8888888888888888,0.565000291629209,0.9801091125830901,0.2962962962962963,0.1585304038944261,0.484806831145677,0.4444444444444444
future_answer_exact,true,population,all,51:318-331 cohort-state rule,400,27,9,8.0,1.0,548.8403921568627,0.8888888888888888,0.565000291629209,0.9801091125830901,0.014366773877542973,8.902978005587148e-05,0.7046870864701387,0.028276525009130967
future_answer_candidate,true,raw_sample,all,ACK vocabulary superset,400,27,16,13.0,3.0,14.0,0.8125,0.5699111883245088,0.9340840098021131,0.48148148148148145,0.307432268576025,0.6601438437003481,0.6046511627906976
future_answer_candidate,true,population,all,ACK vocabulary superset,400,27,16,13.0,3.0,543.8403921568628,0.8125,0.5699111883245088,0.9340840098021131,0.02334600755100733,0.00023333459943675194,0.7100013954679036,0.045387860835205095
clock_route,pair,raw_sample,all,50_uhr route A,400,18,21,17.0,4.0,1.0,0.8095238095238095,0.5999943512871267,0.9233243500065463,0.9444444444444444,0.7424269900391908,0.990124809131223,0.8717948717948718
clock_route,pair,population,all,50_uhr route A,400,18,21,294.95000000000005,378.30000000000007,5.45,0.4380987746008169,0.12039653016905605,0.8162158885417592,0.9818575233022635,0.7918053535960192,0.9987031745944037,0.6058645303753915
clock_route,bare_internal,raw_sample,all,50_uhr route B,400,21,21,16.0,5.0,5.0,0.7619047619047619,0.5490882614178733,0.8937198704460038,0.7619047619047619,0.5490882614178733,0.8937198704460038,0.7619047619047619
clock_route,bare_internal,population,all,50_uhr route B,400,21,21,82.75,27.25,108.32058823529411,0.7522727272727272,0.5354999514854969,0.8888750914009286,0.43308601687088244,0.19464636535802005,0.7071442743097334,0.5497049744050643
clock_route,past_event,raw_sample,all,50_uhr route C,400,51,39,38.0,1.0,13.0,0.9743589743589743,0.8681900970295746,0.9954592969492493,0.7450980392156863,0.6113171804897563,0.8445423190562414,0.8444444444444443
clock_route,past_event,population,all,50_uhr route C,400,51,39,1463.47,30.3,961.4868627450979,0.9797157527597956,0.7013983612680923,0.9989941039707553,0.603503518962941,0.3320083174073429,0.8233607775349769,0.7469109490192068
clock_route_any,any_internal,raw_sample,all,any route vs any clock statement,400,90,81,74.0,7.0,16.0,0.9135802469135802,0.8322008328652782,0.9575074168919718,0.8222222222222222,0.7305610787429871,0.8875026288275295,0.8654970760233919
clock_route_any,any_internal,population,all,any route vs any clock statement,400,90,81,1869.42,407.6,1047.0074509803922,0.8209941063319603,0.5775348378285535,0.9389765690299062,0.640996572491996,0.40381842186403,0.8247640947866663,0.7199148610417156
coord_topic_sentence,true,raw_sample,all,"55 TAX koord themes, sentence level",400,372,248,244.0,4.0,128.0,0.9838709677419355,0.9592701833768627,0.9937103189840397,0.6559139784946236,0.6062650506882442,0.7023757265833152,0.7870967741935484
coord_topic_sentence,true,population,all,"55 TAX koord themes, sentence level",400,372,248,19327.846666666668,454.97,4455.321568627451,0.9770017582599042,0.9118199962000353,0.9943028681611648,0.8126691311876701,0.7257926355712333,0.8766968787123092,0.8872907021457823
coord_topic_delta,true,raw_sample,all,paper rule at delta level,400,372,374,367.0,7.0,5.0,0.9812834224598931,0.9618758102356408,0.9909047582755,0.9865591397849462,0.9689265116047077,0.9942455691910206,0.9839142091152816
coord_topic_delta,true,population,all,paper rule at delta level,400,372,374,23683.997647058823,422.1503921568627,99.1705882352941,0.9824878536599827,0.9345072544060242,0.9954871643246965,0.995830219621954,0.955805980971286,0.9996209492549288,0.9891140441971679
env_sentence,environment,raw_sample,all,"52 ENV block, sentence level",400,103,96,58.0,38.0,45.0,0.6041666666666666,0.5041511196932722,0.696166466048123,0.5631067961165048,0.46675991672474215,0.6549156962453445,0.5829145728643215
env_sentence,environment,population,all,"52 ENV block, sentence level",400,103,96,6792.13,2024.2266666666667,1827.4133333333334,0.7704010008669492,0.6062582802949332,0.8796947563078481,0.7879918619045169,0.6258216779316919,0.8920056168869528,0.779097150132772
env_delta,environment,raw_sample,all,"52 ENV block, delta level",400,103,272,88.0,184.0,15.0,0.3235294117647059,0.2707246245120017,0.3812493739241361,0.8543689320388349,0.7735400466530785,0.9097153184866388,0.4693333333333334
env_delta,environment,population,all,"52 ENV block, delta level",400,103,272,8149.2027450980395,11644.43,470.34058823529415,0.41170829276481435,0.31075082610355054,0.5206871220755873,0.9454332358401862,0.8154192471624768,0.9854974385107909,0.5736213876690929
primary_delta_env,environment,raw_sample,all,52:111-115 ENV>TASK>COORD,400,103,272,88.0,184.0,15.0,0.3235294117647059,0.2707246245120017,0.3812493739241361,0.8543689320388349,0.7735400466530785,0.9097153184866388,0.4693333333333334
primary_delta_env,environment,population,all,52:111-115 ENV>TASK>COORD,400,103,272,8149.2027450980395,11644.43,470.34058823529415,0.41170829276481435,0.31075082610355054,0.5206871220755873,0.9454332358401862,0.8154192471624768,0.9854974385107909,0.5736213876690929
task_sentence,task,raw_sample,all,"52 TASK block, sentence level",400,189,18,16.0,2.0,173.0,0.8888888888888888,0.6720023466389031,0.9689804776352089,0.08465608465608465,0.0527792950353344,0.13308042148629953,0.15458937198067632
task_sentence,task,population,all,"52 TASK block, sentence level",400,189,18,505.63019607843137,59.98039215686274,11505.009215686274,0.8939546157648822,0.6630735497954091,0.9730526818674371,0.04209852437857343,0.011836993071748458,0.13885335404075988,0.08041032836949509
