label,wall_delta_s,task_delta_s,task_delta_korr_s,faktor_korr,konsistent_6h
AgentProbeAssistantX2027,328.0,-2235.0,84165.0,256.6006097560976,False
Apr15MaidsWatcherOAI,19690.0,-15934.0,70466.0,3.5787709497206706,False
DataUSAResearchHelperMay24,31447.0,-37072.0,49328.0,1.5686074983305243,False
GroceryAgentMar13X,33409.0,-3464.0,82936.0,2.4824448501900687,False
Jul26SectorAgent,2181.0,-27589.0,58811.0,26.96515359926639,False
May08ClothingAgent,735.0,-23811.0,62589.0,85.15510204081633,False
MayTwoOECDObserverX,954.0,-4532.0,81868.0,85.81551362683439,False
OAIEquityDec02,87353.0,-6497.0,79903.0,0.9147138621455474,False
Oct16MaidsWatcher,378.0,-19487.0,66913.0,177.0185185185185,False
OpenAIFPResearchSep05,3711.0,-650.0,85750.0,23.106979250875774,False
OpenAIFebSevenScout,9155.0,-21867.0,64533.0,7.048935008192244,False
OpenAIIvyAug12Helper,6575.0,-36030.0,50370.0,7.660836501901141,False
OpenAIObserverNov09,9543.0,-20313.0,66087.0,6.925180760767055,False
OpenAIResearcher,959.0,-36337.0,50063.0,52.20333680917623,False
OpenAIResearcherFeb01X,585.0,-39045.0,47355.0,80.94871794871794,False
OpenAIResearcherOct14,6173.0,-16879.0,69521.0,11.262109185161187,False
OpenAITransportSep27,331.0,-657.0,85743.0,259.04229607250755,False
ResearchAgentMay11X,2737.0,-5371.0,81029.0,29.605042016806724,False
ResearchBotXYZ,15764.0,-26232.0,60168.0,3.816797767064197,False
ResearchObserverXYZ,8255.0,-15178.0,71222.0,8.627740763173835,False
SectorAgentMay24OAI,4207.0,-42015.0,44385.0,10.55027335393392,False
TransportHelperDec08OAI,2533.0,-50318.0,36082.0,14.244769048559021,False
