thema,fenster,n_deltas,n_labels,anteil,bytes,anteil_bytes,n_total_fenster
datenquelle,2026-06-16 07:00:00+00:00,27,18,0.8709677419354839,6235,0.9319880418535127,31
datenquelle,2026-06-16 08:00:00+00:00,37,18,0.7872340425531915,18024,0.9620496397117694,47
datenquelle,2026-06-16 09:00:00+00:00,50,25,0.49504950495049505,31107,0.6834149878067535,101
datenquelle,2026-06-16 10:00:00+00:00,8,5,0.05714285714285714,4676,0.08583281324571386,140
datenquelle,2026-06-16 11:00:00+00:00,4,3,0.056338028169014086,910,0.05671548769086943,71
datenquelle,2026-06-16 12:00:00+00:00,14,7,0.3888888888888889,6317,0.5978610637895135,36
datenquelle,2026-06-16 13:00:00+00:00,3,1,0.375,668,0.3238002908385846,8
datenquelle,2026-06-16 14:00:00+00:00,1,1,0.25,759,0.4143013100436681,4
datenquelle,2026-06-16 15:00:00+00:00,0,0,0.0,0,0.0,1
datenquelle,2026-06-16 17:00:00+00:00,0,0,0.0,0,0.0,1
datenquelle,2026-06-16 18:00:00+00:00,215,113,0.7439446366782007,59781,0.8551626469830916,289
datenquelle,2026-06-16 19:00:00+00:00,223,131,0.3084370677731674,136238,0.5514011882983374,723
datenquelle,2026-06-16 20:00:00+00:00,72,47,0.1978021978021978,60315,0.48073550978766816,364
datenquelle,2026-06-16 21:00:00+00:00,46,30,0.12602739726027398,32783,0.3192827994584961,365
datenquelle,2026-06-16 22:00:00+00:00,17,13,0.07391304347826087,8324,0.15158799533799533,230
datenquelle,2026-06-16 23:00:00+00:00,2,2,0.022222222222222223,1029,0.04234045179607456,90
datenquelle,2026-06-17 00:00:00+00:00,29,23,0.27102803738317754,13711,0.406697713048379,107
datenquelle,2026-06-17 01:00:00+00:00,40,33,0.23255813953488372,12724,0.3135998422635185,172
datenquelle,2026-06-17 02:00:00+00:00,36,26,0.1925133689839572,12897,0.2781324131981885,187
datenquelle,2026-06-17 03:00:00+00:00,8,7,0.06779661016949153,7612,0.20368190088836563,118
datenquelle,2026-06-17 04:00:00+00:00,4,3,0.1111111111111111,1442,0.126258646353209,36
datenquelle,2026-06-17 05:00:00+00:00,2,2,0.06060606060606061,838,0.08209247648902822,33
datenquelle,2026-06-17 06:00:00+00:00,21,18,0.29577464788732394,6964,0.3469164092856431,71
datenquelle,2026-06-17 07:00:00+00:00,23,18,0.2987012987012987,8880,0.31416946753935965,77
datenquelle,2026-06-17 08:00:00+00:00,14,13,0.3181818181818182,4884,0.3748273215656178,44
datenquelle,2026-06-17 09:00:00+00:00,9,6,0.1875,3930,0.22273860802539105,48
datenquelle,2026-06-17 10:00:00+00:00,12,3,0.42857142857142855,10448,0.7336048307821935,28
datenquelle,2026-06-17 11:00:00+00:00,3,2,0.125,2180,0.33746130030959753,24
datenquelle,2026-06-17 12:00:00+00:00,2,1,0.08333333333333333,1382,0.22002865785702913,24
datenquelle,2026-06-17 13:00:00+00:00,0,0,0.0,0,0.0,17
datenquelle,2026-06-17 14:00:00+00:00,0,0,0.0,0,0.0,3
datenquelle,2026-06-17 15:00:00+00:00,14,10,0.6363636363636364,2755,0.554549114331723,22
datenquelle,2026-06-17 16:00:00+00:00,37,25,0.44047619047619047,7730,0.3946495124317149,84
datenquelle,2026-06-17 17:00:00+00:00,11,8,0.22448979591836735,2851,0.21803303762618537,49
datenquelle,2026-06-17 18:00:00+00:00,7,6,0.23333333333333334,1454,0.181251558214909,30
datenquelle,2026-06-17 19:00:00+00:00,3,3,0.11538461538461539,1122,0.13260843871882755,26
datenquelle,2026-06-17 20:00:00+00:00,4,3,0.21052631578947367,1302,0.227304469273743,19
datenquelle,2026-06-17 21:00:00+00:00,3,1,0.13636363636363635,1288,0.1149076634846998,22
datenquelle,2026-06-17 22:00:00+00:00,1,1,0.07692307692307693,707,0.17264957264957265,13
datenquelle,2026-06-17 23:00:00+00:00,4,3,0.5,740,0.45121951219512196,8
datenquelle,2026-06-18 00:00:00+00:00,4,2,0.2857142857142857,853,0.19048682447521215,14
datenquelle,2026-06-18 01:00:00+00:00,0,0,0.0,0,0.0,9
datenquelle,2026-06-18 02:00:00+00:00,0,0,0.0,0,0.0,1
datenquelle,2026-06-18 03:00:00+00:00,0,0,0.0,0,0.0,3
datenquelle,2026-06-18 04:00:00+00:00,1,1,0.125,350,0.17326732673267325,8
datenquelle,2026-06-18 05:00:00+00:00,0,0,0.0,0,0.0,7
datenquelle,2026-06-18 06:00:00+00:00,0,0,0.0,0,0.0,8
datenquelle,2026-06-18 07:00:00+00:00,1,1,0.25,442,0.34913112164297,4
datenquelle,2026-06-18 08:00:00+00:00,0,0,0.0,0,0.0,2
datenquelle,2026-06-18 09:00:00+00:00,1,1,0.3333333333333333,314,0.3162134944612286,3
datenquelle,2026-06-18 10:00:00+00:00,1,1,0.25,861,0.5494575622208041,4
datenquelle,2026-06-18 11:00:00+00:00,1,1,0.25,252,0.16247582205029013,4
datenquelle,2026-06-18 12:00:00+00:00,1,1,0.5,281,0.4264036418816389,2
datenquelle,2026-06-18 13:00:00+00:00,2,2,0.6666666666666666,549,0.6421052631578947,3
datenquelle,2026-06-18 14:00:00+00:00,17,2,0.3541666666666667,15058,0.8291393645724354,48
datenquelle,2026-06-18 15:00:00+00:00,62,31,0.4246575342465753,28573,0.8228839673991303,146
datenquelle,2026-06-18 16:00:00+00:00,126,54,0.5915492957746479,147141,0.9050653544517915,213
datenquelle,2026-06-18 17:00:00+00:00,238,103,0.5721153846153846,235342,0.8863704841965712,416
datenquelle,2026-06-18 18:00:00+00:00,556,235,0.639080459770115,732401,0.9142042227589607,870
datenquelle,2026-06-18 19:00:00+00:00,675,233,0.6198347107438017,1029254,0.8944862318746116,1089
datenquelle,2026-06-18 20:00:00+00:00,1004,245,0.6073805202661827,1600717,0.8073460803252147,1653
datenquelle,2026-06-18 21:00:00+00:00,181,84,0.3786610878661088,330003,0.5403533879030713,478
datenquelle,2026-06-18 22:00:00+00:00,5,4,0.29411764705882354,1657,0.41528822055137843,17
datenquelle,2026-06-18 23:00:00+00:00,17,10,0.4857142857142857,18616,0.832074375363161,35
datenquelle,2026-06-19 00:00:00+00:00,24,16,0.5454545454545454,26855,0.8358492327803542,44
datenquelle,2026-06-19 01:00:00+00:00,20,18,0.7142857142857143,25237,0.9419602866527321,28
datenquelle,2026-06-19 02:00:00+00:00,6,4,0.8571428571428571,1427,0.8606755126658625,7
datenquelle,2026-06-19 03:00:00+00:00,15,11,0.4411764705882353,3260,0.4110970996216898,34
datenquelle,2026-06-19 04:00:00+00:00,5,4,0.7142857142857143,788,0.7392120075046904,7
datenquelle,2026-06-19 05:00:00+00:00,5,4,0.4166666666666667,3669,0.7113222179139201,12
datenquelle,2026-06-19 06:00:00+00:00,1,1,0.2,325,0.14431616341030196,5
