thema,fenster,n_deltas,n_labels,anteil,bytes,anteil_bytes,n_total_fenster
datenquelle,2026-05-24 00:00:00+00:00,18,13,0.5454545454545454,6397,0.8950608646984749,33
datenquelle,2026-05-26 00:00:00+00:00,170,110,0.3953488372093023,67198,0.5811517871814165,430
datenquelle,2026-05-27 00:00:00+00:00,4,4,0.08695652173913043,1789,0.07298763820325568,46
datenquelle,2026-05-28 00:00:00+00:00,97,62,0.46411483253588515,109780,0.5445787674800459,209
datenquelle,2026-05-29 00:00:00+00:00,55,38,0.7142857142857143,25154,0.8678880723182555,77
datenquelle,2026-05-30 00:00:00+00:00,10,8,0.24390243902439024,4794,0.3448424687095382,41
datenquelle,2026-05-31 00:00:00+00:00,8,4,0.5,4491,0.8969442780107849,16
datenquelle,2026-06-01 00:00:00+00:00,89,58,0.6402877697841727,90160,0.8776489598847453,139
datenquelle,2026-06-02 00:00:00+00:00,2,2,0.6666666666666666,773,0.15401474397290296,3
datenquelle,2026-06-04 00:00:00+00:00,1,1,0.2,742,0.425947187141217,5
datenquelle,2026-06-05 00:00:00+00:00,1,1,0.5,372,0.8493150684931506,2
datenquelle,2026-06-06 00:00:00+00:00,2,1,0.16666666666666666,6909,0.5947830578512396,12
datenquelle,2026-06-07 00:00:00+00:00,7,7,0.5384615384615384,2469,0.4362961654002474,13
datenquelle,2026-06-08 00:00:00+00:00,9,9,0.6428571428571429,4085,0.8405349794238683,14
datenquelle,2026-06-09 00:00:00+00:00,0,0,0.0,0,0.0,6
datenquelle,2026-06-10 00:00:00+00:00,0,0,0.0,0,0.0,6
datenquelle,2026-06-11 00:00:00+00:00,17,15,0.1111111111111111,22127,0.25953294157664475,153
datenquelle,2026-06-16 00:00:00+00:00,719,322,0.28748500599760096,367166,0.4702054009474133,2501
datenquelle,2026-06-17 00:00:00+00:00,287,171,0.22741679873217116,107841,0.29160717762346683,1262
datenquelle,2026-06-18 00:00:00+00:00,2893,698,0.574349811395672,4142664,0.8160848938964191,5037
datenquelle,2026-06-19 00:00:00+00:00,206,102,0.4186991869918699,101292,0.5782530013872318,492
