Unnamed: 0,datenquelle,umgehung,netzsperre,wikitest,uhr,runde,taktung,abschaltung,vorhersage,startwert,signal,anrede,korrektur,zweifel,wikibetrieb
datenquelle,5685.0,2965.0,30.0,336.0,221.0,309.0,324.0,260.0,173.0,14.0,153.0,321.0,96.0,9.0,49.0
umgehung,2965.0,3581.0,13.0,128.0,24.0,33.0,38.0,16.0,41.0,2.0,17.0,41.0,37.0,0.0,48.0
netzsperre,30.0,13.0,58.0,2.0,13.0,29.0,26.0,14.0,8.0,0.0,8.0,29.0,22.0,5.0,0.0
wikitest,336.0,128.0,2.0,1456.0,98.0,182.0,198.0,103.0,102.0,6.0,92.0,183.0,43.0,1.0,26.0
uhr,221.0,24.0,13.0,98.0,1760.0,1107.0,1295.0,607.0,584.0,18.0,424.0,1288.0,211.0,3.0,18.0
runde,309.0,33.0,29.0,182.0,1107.0,2559.0,1902.0,1052.0,781.0,34.0,600.0,1688.0,258.0,11.0,27.0
taktung,324.0,38.0,26.0,198.0,1295.0,1902.0,2701.0,951.0,973.0,31.0,549.0,1885.0,284.0,11.0,28.0
abschaltung,260.0,16.0,14.0,103.0,607.0,1052.0,951.0,1300.0,399.0,18.0,382.0,940.0,136.0,3.0,12.0
vorhersage,173.0,41.0,8.0,102.0,584.0,781.0,973.0,399.0,1252.0,31.0,237.0,844.0,171.0,2.0,14.0
startwert,14.0,2.0,0.0,6.0,18.0,34.0,31.0,18.0,31.0,63.0,21.0,40.0,4.0,0.0,3.0
signal,153.0,17.0,8.0,92.0,424.0,600.0,549.0,382.0,237.0,21.0,905.0,633.0,100.0,3.0,11.0
anrede,321.0,41.0,29.0,183.0,1288.0,1688.0,1885.0,940.0,844.0,40.0,633.0,2617.0,263.0,15.0,29.0
korrektur,96.0,37.0,22.0,43.0,211.0,258.0,284.0,136.0,171.0,4.0,100.0,263.0,433.0,12.0,8.0
zweifel,9.0,0.0,5.0,1.0,3.0,11.0,11.0,3.0,2.0,0.0,3.0,15.0,12.0,19.0,0.0
wikibetrieb,49.0,48.0,0.0,26.0,18.0,27.0,28.0,12.0,14.0,3.0,11.0,29.0,8.0,0.0,108.0
