thema_a,thema_b,lag_h,r,p,n
datenquelle,anrede,0,-0.67,1.9845980574268932e-13,93
datenquelle,runde,0,-0.64,4.8245421848047956e-12,93
umgehung,taktung,0,-0.629,1.400618341827348e-11,93
umgehung,runde,0,-0.624,2.2682628595444062e-11,93
datenquelle,taktung,0,-0.614,6.133507058349274e-11,93
umgehung,anrede,0,-0.603,1.6532951068861351e-10,93
datenquelle,uhr,0,-0.598,2.417937892546425e-10,93
taktung,korrektur,-12,-0.594,5.426308225922933e-06,50
datenquelle,vorhersage,0,-0.57,2.522199974357678e-09,93
anrede,korrektur,-12,-0.568,1.713171317670375e-05,50
umgehung,vorhersage,0,-0.534,3.6297834894692135e-08,93
runde,korrektur,-12,-0.501,0.00021305247956040384,50
vorhersage,korrektur,-12,-0.488,0.0003234438071711807,50
umgehung,uhr,0,-0.485,8.167172096222037e-07,93
umgehung,signal,3,-0.46,9.039236022030467e-05,67
datenquelle,signal,1,-0.446,5.446878705766913e-05,76
umgehung,abschaltung,0,-0.429,1.8058985787583686e-05,93
datenquelle,abschaltung,0,-0.423,2.4520679571811488e-05,93
wikitest,signal,-9,-0.374,0.00449036008011365,56
uhr,startwert,-11,-0.364,0.007344131774533469,53
wikitest,korrektur,-8,-0.354,0.008645808408441081,54
wikitest,startwert,-9,-0.34,0.010268508536255638,56
wikitest,anrede,1,-0.338,0.002825527957083282,76
startwert,anrede,11,-0.335,0.014313625030302464,53
taktung,startwert,-11,-0.329,0.016088591154486614,53
runde,startwert,-11,-0.321,0.019077291943130414,53
wikitest,uhr,-9,-0.318,0.01677793527206338,56
wikitest,taktung,1,-0.294,0.009915231507150525,76
wikitest,runde,1,-0.28,0.014295401452066073,76
umgehung,wikibetrieb,1,-0.272,0.01725015126489051,76
datenquelle,korrektur,0,-0.251,0.015241154441603146,93
wikitest,wikibetrieb,4,-0.249,0.048880910780416835,63
umgehung,zweifel,4,-0.206,0.10460450047310191,63
umgehung,startwert,12,-0.189,0.18920906112481298,50
datenquelle,zweifel,8,0.169,0.22286645238867228,54
netzsperre,anrede,3,0.23,0.061672605119639325,67
datenquelle,netzsperre,-10,0.241,0.07896174844619376,54
startwert,korrektur,-7,0.243,0.0769988261810647,54
netzsperre,runde,-6,0.244,0.060766675985100466,60
netzsperre,signal,3,0.244,0.04666932947285563,67
