hour,n,hoeflich,dringend,bitte,behauptung,unsicher,caps_ratio
2026-06-16 08:00:00+00:00,16,0.0,0.0,0.0,0.0,0.0,0.114
2026-06-16 09:00:00+00:00,75,0.52,0.0,0.52,0.173,0.307,0.076
2026-06-16 10:00:00+00:00,134,0.664,0.022,0.642,0.41,0.343,0.097
2026-06-16 11:00:00+00:00,67,0.507,0.045,0.522,0.463,0.149,0.111
2026-06-16 12:00:00+00:00,22,0.682,0.0,0.682,0.636,0.227,0.135
2026-06-16 18:00:00+00:00,88,0.261,0.034,0.261,0.261,0.045,0.123
2026-06-16 19:00:00+00:00,531,0.482,0.043,0.486,0.49,0.158,0.133
2026-06-16 20:00:00+00:00,303,0.525,0.073,0.541,0.571,0.109,0.147
2026-06-16 21:00:00+00:00,317,0.618,0.158,0.625,0.394,0.164,0.162
2026-06-16 22:00:00+00:00,213,0.535,0.131,0.531,0.446,0.164,0.158
2026-06-16 23:00:00+00:00,86,0.593,0.128,0.593,0.477,0.163,0.132
2026-06-17 00:00:00+00:00,83,0.735,0.229,0.687,0.386,0.289,0.132
2026-06-17 01:00:00+00:00,129,0.488,0.047,0.488,0.403,0.202,0.128
2026-06-17 02:00:00+00:00,149,0.591,0.047,0.597,0.617,0.201,0.137
2026-06-17 03:00:00+00:00,113,0.522,0.0,0.522,0.77,0.292,0.136
2026-06-17 04:00:00+00:00,33,0.485,0.0,0.485,0.697,0.091,0.113
2026-06-17 05:00:00+00:00,29,0.483,0.0,0.483,0.552,0.172,0.119
2026-06-17 06:00:00+00:00,49,0.49,0.02,0.49,0.429,0.265,0.087
2026-06-17 07:00:00+00:00,55,0.509,0.036,0.509,0.618,0.218,0.099
2026-06-17 08:00:00+00:00,33,0.545,0.152,0.545,0.727,0.212,0.097
2026-06-17 09:00:00+00:00,36,0.694,0.222,0.694,0.694,0.333,0.128
2026-06-17 10:00:00+00:00,24,0.333,0.042,0.333,0.292,0.208,0.082
2026-06-17 11:00:00+00:00,14,0.714,0.0,0.714,0.286,0.286,0.107
2026-06-17 12:00:00+00:00,17,0.706,0.0,0.706,0.529,0.118,0.106
2026-06-17 13:00:00+00:00,17,0.824,0.176,0.824,0.706,0.412,0.13
2026-06-17 16:00:00+00:00,44,0.614,0.091,0.614,0.545,0.182,0.111
2026-06-17 17:00:00+00:00,38,0.421,0.026,0.421,0.816,0.237,0.133
2026-06-17 18:00:00+00:00,22,0.455,0.045,0.5,0.773,0.227,0.105
2026-06-17 19:00:00+00:00,22,0.545,0.0,0.545,0.727,0.182,0.135
2026-06-17 20:00:00+00:00,15,0.733,0.0,0.733,0.733,0.2,0.117
2026-06-17 21:00:00+00:00,19,0.737,0.053,0.737,0.842,0.211,0.128
2026-06-17 22:00:00+00:00,13,0.769,0.077,0.923,0.692,0.0,0.137
2026-06-18 00:00:00+00:00,12,0.667,0.083,0.667,0.75,0.0,0.135
2026-06-18 14:00:00+00:00,14,0.214,0.0,0.214,0.286,0.071,0.122
2026-06-18 15:00:00+00:00,46,0.087,0.0,0.087,0.087,0.065,0.12
2026-06-18 16:00:00+00:00,127,0.031,0.008,0.031,0.031,0.016,0.133
2026-06-18 17:00:00+00:00,270,0.019,0.007,0.022,0.022,0.011,0.135
2026-06-18 18:00:00+00:00,642,0.003,0.006,0.042,0.012,0.002,0.131
2026-06-18 19:00:00+00:00,861,0.003,0.0,0.06,0.013,0.001,0.14
2026-06-18 20:00:00+00:00,1391,0.004,0.002,0.275,0.012,0.002,0.146
2026-06-18 21:00:00+00:00,373,0.013,0.0,0.029,0.021,0.003,0.129
2026-06-18 22:00:00+00:00,13,0.846,0.154,0.846,0.538,0.615,0.196
2026-06-18 23:00:00+00:00,27,0.556,0.074,0.556,0.185,0.148,0.156
2026-06-19 00:00:00+00:00,40,0.225,0.0,0.225,0.15,0.075,0.121
2026-06-19 01:00:00+00:00,24,0.083,0.0,0.083,0.083,0.0,0.171
2026-06-19 03:00:00+00:00,18,0.833,0.056,0.833,0.5,0.556,0.103
2026-06-19 05:00:00+00:00,10,0.7,0.1,0.8,0.5,0.1,0.116
2026-06-19 08:00:00+00:00,10,0.6,0.0,0.6,0.4,0.1,0.151
2026-06-19 09:00:00+00:00,12,0.75,0.0,0.75,0.667,0.083,0.139
2026-06-19 10:00:00+00:00,12,0.667,0.0,0.667,0.75,0.167,0.15
2026-06-19 11:00:00+00:00,10,0.8,0.0,0.8,0.7,0.3,0.146
2026-06-19 12:00:00+00:00,32,0.75,0.0,0.75,0.656,0.281,0.126
