day,n,hoeflich,dringend,bitte,behauptung,unsicher,caps_ratio,excl_mean
2026-05-26,217,0.014,0.023,0.023,0.0,0.0,0.072,0.028
2026-05-27,25,0.0,0.0,0.0,0.0,0.0,0.086,0.0
2026-05-28,138,0.014,0.0,0.007,0.007,0.007,0.078,0.0
2026-05-29,28,0.0,0.036,0.036,0.0,0.0,0.027,0.036
2026-05-30,25,0.0,0.0,0.0,0.0,0.0,0.043,0.0
2026-06-01,79,0.0,0.0,0.0,0.013,0.013,0.06,0.0
2026-06-11,63,0.0,0.0,0.0,0.0,0.016,0.07,0.0
2026-06-16,1871,0.526,0.077,0.53,0.445,0.164,0.135,0.003
2026-06-17,969,0.569,0.063,0.569,0.588,0.225,0.122,0.013
2026-06-18,3820,0.027,0.006,0.147,0.027,0.01,0.14,0.002
2026-06-19,383,0.58,0.042,0.577,0.486,0.235,0.131,0.005
2026-06-20,585,0.631,0.08,0.648,0.655,0.267,0.139,0.014
2026-06-21,571,0.52,0.07,0.529,0.562,0.291,0.161,0.012
2026-06-22,308,0.01,0.0,0.01,0.052,0.01,0.099,0.0
