label,t0,t1,t_mid,wall_delta_s,task_delta_s,rollover,factor,weg,rev0,rev1,page_key_0,page_key_1,beleg0,beleg0_ref,beleg1,beleg1_ref,load_revs_5,load_bytes_5,load_labels_5,load_ip_5,load_events_5,load_revs_15,load_bytes_15,load_labels_15,load_ip_15,load_events_15,load_revs_60,load_bytes_60,load_labels_60,load_ip_60,load_events_60,hour,logf,ldw,ldt,datensatz
AgentJune25OAI,2026-06-16T19:33:33Z,2026-06-16T21:13:51Z,2026-06-16T20:23:42Z,6018.0,2897.0,0,0.48138916583582586,AB,dse~Sector61State5LiveRelay@9,dse~Sector61State5FastSignal@30,dse~Sector61State5LiveRelay,dse~Sector61State5FastSignal,,dse~Sector61State5LiveRelay@9|delta|0|149|a002e75952cc|roh,,dse~Sector61State5FastSignal@30|delta|281|268|9339ac8b1533|roh,40.333333333333336,14316.190476190477,32.95238095238095,29.38095238095238,40.523809523809526,121.0,42948.57142857143,85.57142857142857,59.142857142857146,121.57142857142857,509.0,157966.66666666666,240.66666666666666,105.66666666666667,510.6666666666667,20,-0.7310792594206401,8.70251025718999,7.9714309977693505,primaer_AB
AgentProbeAssistantX2027,2026-06-16T09:54:19Z,2026-06-16T10:13:55Z,2026-06-16T10:04:07Z,1176.0,2946.0,0,2.5051020408163267,BA,dse~DataUSAGrocerySequenceCollab2027@2,dse~DataUSAGrocerySequenceCollabOct22@8,dse~DataUSAGrocerySequenceCollab2027,dse~DataUSAGrocerySequenceCollabOct22,,dse~DataUSAGrocerySequenceCollab2027@2|delta|0|279|82896868656e|roh,,dse~DataUSAGrocerySequenceCollabOct22@8|delta|0|273|8e8aa9527dde|roh,10.2,3848.4,7.6,10.0,11.6,34.5,12340.0,18.0,29.5,38.5,111.0,46542.5,30.0,63.5,122.0,10,0.9183294685640034,7.069874128458572,7.988203597022576,primaer_AB
AgentProbeAssistantX2027,2026-06-16T10:14:37Z,2026-06-16T10:45:30Z,2026-06-16T10:30:03Z,1853.0,1015.0,0,0.5477603885590934,AB,dse~DataUSAGrocerySequenceCollabOct22@9,dse~DataUSAGrocerySequenceCollab2027@13,dse~DataUSAGrocerySequenceCollabOct22,dse~DataUSAGrocerySequenceCollab2027,,dse~DataUSAGrocerySequenceCollabOct22@9|delta|0|301|6323ab224d5a|roh,,dse~DataUSAGrocerySequenceCollab2027@13|delta|0|293|f5c7df460b6d|roh,10.75,4381.375,7.375,11.125,12.125,31.5,12374.5,14.25,28.5,35.75,126.0,49498.0,25.0,70.0,143.0,10,-0.6019173348094721,7.52456122628536,6.922643891475888,primaer_AB
AgentResearcherOpenAI,2026-06-16T11:02:24Z,2026-06-16T11:17:57Z,2026-06-16T11:10:10Z,933.0,390.0,0,0.4180064308681672,AA,dse~ClothingFastCohortRelayMay29@4,dse~ClothingFastCohortRelayMay29@11,dse~ClothingFastCohortRelayMay29,dse~ClothingFastCohortRelayMay29,,dse~ClothingFastCohortRelayMay29@4|delta|0|185|e0de145911ff|roh,,dse~ClothingFastCohortRelayMay29@11|delta|0|162|42bee62fa517|roh,7.75,1732.0,6.25,7.75,8.25,20.5,4734.5,10.5,18.5,21.5,70.0,15698.0,18.0,50.0,72.0,11,-0.8722584617236517,6.838405200847344,5.966146739123692,primaer_AB
CashierCoordAgentX,2026-06-16T09:52:31Z,2026-06-16T10:09:29Z,2026-06-16T10:01:00Z,1018.0,343.0,0,0.3369351669941061,AB,dse~DataUSACashiersMastersSequenceCollabMay28@2,dse~DataUSACashiersMastersSequenceCollabMay28@4,dse~DataUSACashiersMastersSequenceCollabMay28,dse~DataUSACashiersMastersSequenceCollabMay28,,dse~DataUSACashiersMastersSequenceCollabMay28@2|delta|433|400|fc2ccf223403|roh,,dse~DataUSACashiersMastersSequenceCollabMay28@4|delta|475|251|e9552ea8ab0f|roh,11.5,4054.5,8.0,10.75,12.25,36.0,12084.0,18.0,29.5,38.5,117.0,47668.0,30.0,63.5,122.0,10,-1.0878647499445282,6.925595197110468,5.8377304471659395,primaer_AB
CashierCoordAgentX,2026-06-16T10:09:29Z,2026-06-16T10:56:21Z,2026-06-16T10:32:55Z,2812.0,1196.0,0,0.42532005689900426,BA,dse~DataUSACashiersMastersSequenceCollabMay28@4,dse~DataUSACashiersMastersSequenceLive3@7,dse~DataUSACashiersMastersSequenceCollabMay28,dse~DataUSACashiersMastersSequenceLive3,,dse~DataUSACashiersMastersSequenceCollabMay28@4|delta|475|251|e9552ea8ab0f|roh,,dse~DataUSACashiersMastersSequenceLive3@7|delta|0|252|19b8c83d451b|roh,10.727272727272727,4107.727272727273,7.7272727272727275,10.454545454545455,11.545454545454545,33.5,12672.75,14.25,28.5,35.75,134.0,50691.0,25.0,70.0,143.0,10,-0.8549133184199785,7.941651252930556,7.086737934510577,primaer_AB
CashierCoordAgentX,2026-06-16T10:56:21Z,2026-06-16T11:25:02Z,2026-06-16T11:10:41Z,1721.0,4252.0,0,2.470656595002905,AB,dse~DataUSACashiersMastersSequenceLive3@7,dse~DataUSACashiersMastersSequenceLive3@19,dse~DataUSACashiersMastersSequenceLive3,dse~DataUSACashiersMastersSequenceLive3,,dse~DataUSACashiersMastersSequenceLive3@7|delta|0|252|19b8c83d451b|roh,,dse~DataUSACashiersMastersSequenceLive3@19|delta|368|248|bcd926a4ea2f|roh,6.714285714285714,1836.7142857142858,5.714285714285714,7.142857142857143,7.714285714285714,23.0,6499.0,11.333333333333334,21.333333333333332,25.333333333333332,96.5,31354.0,21.5,60.0,107.5,11,0.904483943250299,7.450660796211539,8.355144739461839,primaer_AB
CashierCoordJan12OAI,2026-06-16T11:23:39Z,2026-06-16T12:29:54Z,2026-06-16T11:56:46Z,3975.0,6329.0,0,1.5922012578616351,AB,dse~DataUSACashiersMastersSequenceLive3@18,dse~TmpCashierJul08Test1781610778@2,dse~DataUSACashiersMastersSequenceLive3,dse~TmpCashierJul08Test1781610778,,dse~DataUSACashiersMastersSequenceLive3@18|delta|0|218|d2d36ca05978|roh,,dse~TmpCashierJul08Test1781610778@2|delta|0|167|657e79da499b|roh,3.5714285714285716,757.2142857142857,2.4285714285714284,4.142857142857143,4.428571428571429,11.0,2282.6,5.4,11.6,13.4,46.5,11771.0,13.5,37.0,54.0,11,0.46511749768687305,8.287780027088433,8.752897524775305,primaer_AB
CashierCoordOurRun,2026-06-16T10:46:09Z,2026-06-16T10:52:40Z,2026-06-16T10:49:24Z,391.0,139.0,0,0.3554987212276215,AA,dse~DataUSACashiersMastersSequenceCollabMay28@13,dse~DataUSACashiersMastersSequenceLive3@6,dse~DataUSACashiersMastersSequenceCollabMay28,dse~DataUSACashiersMastersSequenceLive3,,dse~DataUSACashiersMastersSequenceCollabMay28@13|delta|0|199|0553f14da8ca|roh,,dse~DataUSACashiersMastersSequenceLive3@6|delta|0|284|5bfb587dc522|roh,9.0,2854.5,6.0,10.5,11.0,29.0,10614.0,13.0,27.0,33.0,134.0,53105.0,25.0,70.0,143.0,10,-1.034233626854674,5.968707559985366,4.9344739331306915,primaer_AB
CashierSequenceAgentMay28,2026-06-16T10:17:13Z,2026-06-16T10:57:52Z,2026-06-16T10:37:32Z,2439.0,1039.0,0,0.42599425994259943,AA,dse~DataUSACashiersMastersSequenceCollabMay28@5,dse~DataUSACashiersMastersSequenceLive3@8,dse~DataUSACashiersMastersSequenceCollabMay28,dse~DataUSACashiersMastersSequenceLive3,,dse~DataUSACashiersMastersSequenceCollabMay28@5|delta|523|247|33989caacf4a|roh,,dse~DataUSACashiersMastersSequenceLive3@8|delta|0|216|665686eb844f|roh,11.0,4325.333333333333,7.666666666666667,11.222222222222221,12.0,33.0,12976.0,14.0,29.333333333333332,36.0,131.0,49468.0,25.0,70.0,143.0,10,-0.8533294071166929,7.79934339821592,6.946013991099227,primaer_AB
