datensatz,mass,fenster_min,methode,n,r,p,ci_lo,ci_hi
primaer_AB,load_revs,5,spearman,71,0.13126409642387848,0.2752077860118376,-0.1213723067729833,0.3589310925013064
primaer_AB,load_revs,5,pearson,71,0.1264882322335801,0.2932036854864695,-0.0997955945383366,0.3214603049553508
primaer_AB|partiell_ldw,load_revs,5,spearman,71,0.14782025486250838,0.2186153031777909,-0.10259920272686787,0.37416842882924223
primaer_AB,load_bytes,5,spearman,71,0.09389671361502347,0.4360579459942974,-0.15403353363614508,0.32292878580653933
primaer_AB,load_bytes,5,pearson,71,0.0645932950921014,0.5925313786376871,-0.16370734967594927,0.26508202473377823
primaer_AB|partiell_ldw,load_bytes,5,spearman,71,0.10432595573440642,0.3865840983273548,-0.13307731011736817,0.3205868569509351
primaer_AB,load_labels,5,spearman,71,0.12423495496712336,0.30195648975375156,-0.13337254962762096,0.3593538339025236
primaer_AB,load_labels,5,pearson,71,0.1499535175832092,0.21196715457334458,-0.07507383038290028,0.33801127657897745
primaer_AB|partiell_ldw,load_labels,5,spearman,71,0.13829644533869884,0.2500783183493914,-0.11689899919945139,0.365770451206237
primaer_AB,load_ip,5,spearman,71,0.1445304318248164,0.22915264433034235,-0.11139553838784788,0.379836405052285
primaer_AB,load_ip,5,pearson,71,0.16681116128076495,0.16441042637113135,-0.0630121695229851,0.3570518591078174
primaer_AB|partiell_ldw,load_ip,5,spearman,71,0.16428571428571426,0.17098458026121258,-0.08856593721855834,0.3839740259854943
primaer_AB,load_events,5,spearman,71,0.1515347147395212,0.20713256945272923,-0.10374387845416119,0.38495724999788344
primaer_AB,load_events,5,pearson,71,0.13180533083640775,0.2732159289533076,-0.09662379617786505,0.32975115103270575
primaer_AB|partiell_ldw,load_events,5,spearman,71,0.1613682092555332,0.17881665517185608,-0.09170378369149966,0.38378475491303937
primaer_AB,load_revs,15,spearman,71,0.1615272400051693,0.17838312346125715,-0.09142887872761073,0.3892370349329559
primaer_AB,load_revs,15,pearson,71,0.16853487873148168,0.16003147339344764,-0.05258192474060553,0.3534967807670714
primaer_AB|partiell_ldw,load_revs,15,spearman,71,0.17709590878604958,0.1395536310404244,-0.07256380570335563,0.39909798864994317
primaer_AB,load_bytes,15,spearman,71,0.12699530516431926,0.2912571656864641,-0.12016631908846379,0.345239398675599
primaer_AB,load_bytes,15,pearson,71,0.09976746289654208,0.407782588756833,-0.11594437834424372,0.2889016017716303
primaer_AB|partiell_ldw,load_bytes,15,spearman,71,0.11995305164319248,0.31905332502531153,-0.11688660771901718,0.33366869334650684
primaer_AB,load_labels,15,spearman,71,0.17535622053030586,0.14354643500950157,-0.07604416757210367,0.4056451588547003
primaer_AB,load_labels,15,pearson,71,0.18878257884082653,0.11486718747161977,-0.02655027946347866,0.36516366021307467
primaer_AB|partiell_ldw,load_labels,15,spearman,71,0.15295103957075787,0.20286899437774789,-0.08943366322805857,0.37604715283108947
primaer_AB,load_ip,15,spearman,71,0.16882039224233258,0.15931455701824643,-0.08175060726717212,0.3989166595850697
primaer_AB,load_ip,15,pearson,71,0.21717694888301814,0.06887116225394817,-0.007967322245705675,0.3964711894016225
primaer_AB|partiell_ldw,load_ip,15,spearman,71,0.20248155600268275,0.0903705539571517,-0.04652360665653825,0.42075889315489307
primaer_AB,load_events,15,spearman,71,0.17023204124085115,0.1558048374088957,-0.0817463428800134,0.39960578250991
primaer_AB,load_events,15,pearson,71,0.16989594907982972,0.1566351967282232,-0.05888091393179937,0.35784618838331095
primaer_AB|partiell_ldw,load_events,15,spearman,71,0.18195841716968475,0.1288371263952765,-0.06873964552059772,0.4035340742852922
primaer_AB,load_revs,60,spearman,71,0.1507434075539675,0.20954215333871498,-0.10754861125095282,0.38286536661024656
primaer_AB,load_revs,60,pearson,71,0.1706127206676872,0.15486827050963758,-0.061759868626360334,0.36390524247550726
primaer_AB|partiell_ldw,load_revs,60,spearman,71,0.18779342723004694,0.11681657818263438,-0.06241639450342483,0.4077653761145936
primaer_AB,load_bytes,60,spearman,71,0.09864598625309648,0.41309977622140104,-0.1523223672345587,0.32448756181955185
primaer_AB,load_bytes,60,pearson,71,0.0801673993901494,0.5063171017652811,-0.14791171099330588,0.2854213025708032
