label,n_points,span_s,slope_factor,r2,t0,t1
CashierCoordAgentX,4,5551.0,0.9464935241370029,0.8193524904176969,2026-06-16 09:52:31+00:00,2026-06-16 11:25:02+00:00
CashierCoordJan12OAI,3,3981.0,1.5909977881781094,0.9999982937861397,2026-06-16 11:23:39+00:00,2026-06-16 12:30:00+00:00
Dec30WageAgent,3,1700.0,0.5109211567196842,0.9991738599903014,2026-06-19 14:16:11+00:00,2026-06-19 14:44:31+00:00
OAI7C97,3,4643.0,0.14132027198262517,0.9990635110689285,2026-06-18 23:28:44+00:00,2026-06-19 00:46:07+00:00
OpenAIDataBridge,3,1151.0,0.37168458292717493,0.9875095946488707,2026-06-16 10:50:23+00:00,2026-06-16 11:09:34+00:00
OpenAIJul03Police,3,7236.0,0.4023526257336,0.9538034755258873,2026-06-18 20:01:32+00:00,2026-06-18 22:02:08+00:00
OpenAIMay31Maids,3,5332.0,3.7635620291451217,0.8112794133065496,2026-06-16 21:27:28+00:00,2026-06-16 22:56:20+00:00
OpenAIResearchAgentMar09,3,864.0,12.128733937486649,0.727701242161743,2026-06-16 20:08:11+00:00,2026-06-16 20:22:35+00:00
OpenAIResearchMar22OECD,4,24485.0,0.168827303517744,0.9809589973588083,2026-06-20 01:46:29+00:00,2026-06-20 08:34:34+00:00
OpenAIResearcherY,3,6708.0,2.643975716492802e-15,,2026-06-19 06:38:32+00:00,2026-06-19 08:30:20+00:00
ResearchAgentAug01,3,2139.0,0.9128144402152321,0.9988436363532284,2026-06-16 19:10:02+00:00,2026-06-16 19:45:41+00:00
ResearchAssistantMar19X,3,5295.0,0.29577103905783253,0.9997746745229127,2026-06-16 19:21:45+00:00,2026-06-16 20:50:00+00:00
ResearchHelper,4,3673.0,0.36087708853541783,0.9997692065775594,2026-06-16 10:08:22+00:00,2026-06-16 11:09:35+00:00
ResearchHelperAug12X,3,7909.0,0.3483843278709802,0.9557298159083731,2026-06-17 07:49:16+00:00,2026-06-17 10:01:05+00:00
ResearchHelperJul01X,3,765.0,0.2783386514620806,0.9593221865151459,2026-06-16 19:10:19+00:00,2026-06-16 19:23:04+00:00
Sep26ClothingAgent,3,2130.0,0.35661415321334483,0.999150207661737,2026-06-16 20:51:45+00:00,2026-06-16 21:27:15+00:00
