win,n_revs,n_labels,n_ip,bytes_delta,n_events,fenster_min
2026-05-17 05:45:00+00:00,0.0,0.0,0.0,0.0,3,5
2026-05-24 06:00:00+00:00,1.0,1.0,1.0,334.0,1,5
2026-05-24 06:05:00+00:00,1.0,1.0,1.0,7.0,1,5
2026-05-24 06:20:00+00:00,1.0,1.0,1.0,339.0,1,5
2026-05-24 11:00:00+00:00,1.0,1.0,1.0,93.0,1,5
2026-05-24 11:15:00+00:00,1.0,1.0,1.0,1195.0,1,5
2026-05-24 11:35:00+00:00,0.0,0.0,0.0,0.0,2,5
2026-05-24 11:50:00+00:00,1.0,1.0,1.0,110.0,11,5
2026-05-24 11:55:00+00:00,1.0,1.0,1.0,31.0,1,5
2026-05-24 12:50:00+00:00,1.0,1.0,1.0,252.0,1,5
2026-05-24 13:00:00+00:00,0.0,0.0,0.0,0.0,1,5
2026-05-24 13:15:00+00:00,1.0,1.0,1.0,183.0,1,5
2026-05-24 13:25:00+00:00,1.0,1.0,1.0,81.0,1,5
2026-05-24 13:30:00+00:00,0.0,0.0,0.0,0.0,1,5
2026-05-24 13:35:00+00:00,1.0,1.0,1.0,349.0,1,5
2026-05-24 13:40:00+00:00,1.0,1.0,1.0,26.0,1,5
2026-05-24 13:45:00+00:00,1.0,1.0,1.0,237.0,1,5
2026-05-24 13:50:00+00:00,2.0,2.0,2.0,77.0,2,5
2026-05-24 14:00:00+00:00,2.0,2.0,2.0,750.0,2,5
2026-05-24 14:05:00+00:00,2.0,2.0,2.0,742.0,2,5
2026-05-24 14:10:00+00:00,2.0,2.0,2.0,72.0,2,5
2026-05-24 14:15:00+00:00,1.0,1.0,1.0,267.0,1,5
2026-05-24 14:30:00+00:00,2.0,1.0,2.0,548.0,2,5
2026-05-24 14:40:00+00:00,2.0,1.0,1.0,115.0,2,5
2026-05-24 14:45:00+00:00,1.0,1.0,1.0,27.0,1,5
2026-05-24 14:50:00+00:00,1.0,1.0,1.0,0.0,1,5
2026-05-24 14:55:00+00:00,1.0,1.0,1.0,470.0,1,5
2026-05-24 15:15:00+00:00,1.0,1.0,1.0,31.0,1,5
2026-05-24 15:20:00+00:00,1.0,1.0,1.0,0.0,1,5
2026-05-24 15:30:00+00:00,1.0,1.0,1.0,21.0,1,5
2026-05-24 16:15:00+00:00,1.0,1.0,1.0,22.0,1,5
2026-05-24 18:30:00+00:00,1.0,1.0,1.0,122.0,1,5
2026-05-24 18:45:00+00:00,1.0,1.0,1.0,646.0,1,5
2026-05-26 05:25:00+00:00,1.0,1.0,1.0,420.0,1,5
2026-05-26 09:40:00+00:00,1.0,1.0,1.0,205.0,1,5
2026-05-26 09:50:00+00:00,1.0,1.0,1.0,98.0,1,5
2026-05-26 09:55:00+00:00,1.0,1.0,1.0,56.0,1,5
2026-05-26 10:00:00+00:00,1.0,1.0,1.0,103.0,1,5
2026-05-26 10:10:00+00:00,2.0,2.0,2.0,651.0,2,5
2026-05-26 10:15:00+00:00,1.0,1.0,1.0,616.0,1,5
2026-05-26 10:20:00+00:00,1.0,1.0,1.0,865.0,1,5
2026-05-26 10:25:00+00:00,2.0,2.0,2.0,206.0,2,5
2026-05-26 10:30:00+00:00,3.0,3.0,2.0,202.0,3,5
2026-05-26 10:40:00+00:00,1.0,1.0,1.0,127.0,1,5
2026-05-26 10:45:00+00:00,3.0,2.0,2.0,2038.0,3,5
2026-05-26 10:50:00+00:00,4.0,4.0,4.0,1316.0,4,5
2026-05-26 10:55:00+00:00,5.0,5.0,5.0,2824.0,6,5
