time,count,median,mean
0,289,0.0,0.10034602076124567
1,334,0.0,0.08383233532934131
2,726,0.0,0.10192837465564739
3,356,0.0,0.09550561797752809
4,95,0.0,0.08421052631578947
5,148,0.0,0.0945945945945946
6,238,0.0,0.08823529411764706
7,191,0.0,0.05759162303664921
8,657,0.0,0.1111111111111111
9,288,0.0,0.09375
10,293,0.0,0.10238907849829351
11,221,0.0,0.10407239819004525
12,226,0.0,0.09734513274336283
13,286,0.0,0.06643356643356643
14,337,0.0,0.10385756676557864
15,302,0.0,0.11589403973509933
16,458,0.0,0.10262008733624454
17,542,0.0,0.08302583025830258
18,1295,0.0,0.10656370656370656
19,2142,0.0,0.11671335200746966
20,2869,0.0,0.13454165214360406
21,1561,0.0,0.16848174247277387
22,373,0.0,0.15281501340482573
23,255,0.0,0.08627450980392157
