datensatz,n,labels,steigung,se,t_gegen_1,t_gegen_0,median_faktor
primaer_AB,71,53,0.9057867142766719,0.11195134677437074,-0.8415556260632369,8.090896093480811,0.4349962207105064
mit_Ereignissen_ABC,281,179,0.5871842299230581,0.05200165351456754,-7.93851237752079,11.29164536582604,0.9264248704663213
streng_AB_fp,26,20,0.7745967192530753,0.1346327326239803,-1.6742086144567843,5.7534056106286515,0.4104257289325939
nur_A,42,34,1.024705952943172,0.15817446701821616,0.15619431763488506,6.478327205775643,0.43462898786348925
nur_C,154,117,0.3141687649946498,0.05520642257174721,-12.423033463435022,5.690801003929401,1.3115754581786558
primaer_AB|innerhalb_label,33,15,1.406976880394799,0.27276155547363773,1.4920610043013676,5.158266816420112,0.42532005689900426
mit_Ereignissen_ABC|innerhalb_label,168,66,0.6870184249286475,0.10778146876415602,-2.903853312262879,6.374179465228474,0.8075899640039039
robust_haelfte50,36,30,1.007006431192767,0.14950987445438635,0.046862665214159285,6.735384099997972,0.4415080113453522
robust_minwall600,55,46,0.8789506209128571,0.1602405105976033,-0.7554230739511472,5.485196082032476,0.434261755016472
robust_grenzen_0.01_200,73,55,0.8499518893996802,0.1329098809935163,-1.1289462414584472,6.3949488408701765,0.44801980198019803
