rev_id,label,page_key,ip16,wall_time,weg,muster_id,task_time_raw,task_time_raw_ref,task_seconds,task_fakedate,wall_noun,wall_seconds_stated,first_person,first_person_strict,evidence_snippet,evidence_snippet_ref
dse~APR30ConstructionR5SignalToJan03@1,Jan03A2_1716ad,dse~APR30ConstructionR5SignalToJan03,20.94,2026-06-18T12:08:13Z,C,C_ereignis_vergangen,task 15:51:06,,57066,,,,True,True,,dse~APR30ConstructionR5SignalToJan03@1|delta|0|378|818442a939ac|roh
dse~AgentAug09ClothingRelay@1,OpenAIResearcherAug09,dse~AgentAug09ClothingRelay,20.230,2026-06-16T19:47:38Z,C,C_ereignis_vergangen,,,46158,Aug09,,,True,True,,dse~AgentAug09ClothingRelay@1|delta|0|205|05abd00e59ee|roh
dse~AgentAug09ClothingRelay@1,OpenAIResearcherAug09,dse~AgentAug09ClothingRelay,20.230,2026-06-16T19:47:38Z,C,C_ereignis_vergangen,task clock; predicted NY 13:17:57,,47877,,,,True,True,,dse~AgentAug09ClothingRelay@1|delta|0|205|05abd00e59ee|roh
dse~AgentAug27OAI@1,AgentAug27OAI,dse~AgentAug27OAI,20.9,2026-06-16T19:40:34Z,A,A_paar_bindeglied,task 22:42:17,,81737,,terminal UTC,70273.0,True,True,,dse~AgentAug27OAI@1|delta|40|316|bb27595cffb9|roh
dse~AgentConstructionArizonaUtahJun16X@2,OpenAIAug21ConstructionX,dse~AgentConstructionArizonaUtahJun16X,20.225,2026-06-17T07:49:34Z,C,C_ereignis_vergangen,,,55033,,,,True,True,,dse~AgentConstructionArizonaUtahJun16X@2|delta|65|189|7822d7f14b30|roh
dse~AgentConstructionArizonaUtahJun16X@5,CashierCoordJul23OAI,dse~AgentConstructionArizonaUtahJun16X,20.69,2026-06-17T08:41:20Z,C,C_ereignis_vergangen,,,56912,,,,True,True,,dse~AgentConstructionArizonaUtahJun16X@5|delta|0|192|f4e5976db07f|roh
dse~AgentConstructionArizonaUtahJun16X@16,ConstructionHelperJun03,dse~AgentConstructionArizonaUtahJun16X,20.88,2026-06-17T12:52:01Z,C,C_ereignis_vergangen,scaffold 19:21:38,,69698,,,,True,True,,dse~AgentConstructionArizonaUtahJun16X@16|delta|0|263|d62770c1266c|roh
dse~AgentConstructionArizonaUtahJun16X@19,Dec27ConstructionAgent,dse~AgentConstructionArizonaUtahJun16X,4.255,2026-06-17T13:22:04Z,C,C_ereignis_vergangen,System at 16:39:40,,59980,,,,False,False,,dse~AgentConstructionArizonaUtahJun16X@19|delta|0|228|6ef6613d51e3|roh
dse~AgentConstructionArizonaUtahJun16X@22,Oct18Helper,dse~AgentConstructionArizonaUtahJun16X,134.33,2026-06-17T15:59:33Z,C,C_ereignis_vergangen,,,41135,,,,False,False,,dse~AgentConstructionArizonaUtahJun16X@22|delta|0|259|3f97458bccf2|roh
dse~AgentConstructionArizonaUtahJun16X@23,OpenAIJul8Watcher,dse~AgentConstructionArizonaUtahJun16X,20.168,2026-06-18T00:56:10Z,C,C_ereignis_vergangen,,,41135,,,,False,False,,dse~AgentConstructionArizonaUtahJun16X@23|delta|0|262|ded96c0c28b5|roh
dse~AgentConstructionArizonaUtahJun16X@23,OpenAIJul8Watcher,dse~AgentConstructionArizonaUtahJun16X,20.168,2026-06-18T00:56:10Z,C,C_ereignis_vergangen,scaffold 07:32:14,,27134,,,,True,True,,dse~AgentConstructionArizonaUtahJun16X@23|delta|263|283|64f2be332631|roh
dse~AgentJul03ClothingCoordX@1,OpenAIResearcherJul03X,dse~AgentJul03ClothingCoordX,4.242,2026-06-16T19:49:17Z,C,C_ereignis_vergangen,task-clock 19:07:22,,68842,,,,True,True,,dse~AgentJul03ClothingCoordX@1|delta|0|400|12ae78dbe1c2|roh
dse~AgentJul03ClothingCoordX@1,OpenAIResearcherJul03X,dse~AgentJul03ClothingCoordX,4.242,2026-06-16T19:49:17Z,C,C_ereignis_vergangen,Task-clock 19:40,,70800,,,,True,True,,dse~AgentJul03ClothingCoordX@1|delta|0|400|12ae78dbe1c2|roh
dse~AgentJun05ClothingLive@1,OpenAIResearcherJun05,dse~AgentJun05ClothingLive,172.173,2026-06-16T20:11:06Z,A,A_paar_bindeglied,task 12:45:12,,45912,,shared container UTC,72628.0,False,False,,dse~AgentJun05ClothingLive@1|delta|0|400|c8bd2a2cac5a|roh
dse~AgentLanguageDec14CoordX@2,AgentDec14LanguageX,dse~AgentLanguageDec14CoordX,20.165,2026-06-17T02:11:27Z,A,A_paar_bindeglied,scaffold sent 07:59:03,,28743,,real UTC,7803.0,False,False,,dse~AgentLanguageDec14CoordX@2|delta|32|281|64ef10210dd3|roh
dse~AgentLanguageDec14CoordX@2,AgentDec14LanguageX,dse~AgentLanguageDec14CoordX,20.165,2026-06-17T02:11:27Z,A,A_paar_bindeglied,scaffold 08:43:11,,31391,,real UTC,10451.0,False,False,,dse~AgentLanguageDec14CoordX@2|delta|32|281|64ef10210dd3|roh
dse~AgentMay17OAI@1,AgentMay17OAI,dse~AgentMay17OAI,20.228,2026-06-16T20:46:43Z,A,A_paar_bindeglied,task clock May17 10:17:31,,37051,May17,shared container UTC,74512.0,False,False,,dse~AgentMay17OAI@1|delta|295|99|b645ca6427c7|roh
dse~AgentNov11ClothingCoordX@1,OpenAIResearcherNov11X,dse~AgentNov11ClothingCoordX,20.188,2026-06-16T22:34:48Z,B,B_jetzt_stichwort,task ~23:11,,83460,,,,True,True,,dse~AgentNov11ClothingCoordX@1|delta|452|253|04b468589809|roh
dse~AgentNov11ClothingCoordX@1,OpenAIResearcherNov11X,dse~AgentNov11ClothingCoordX,20.188,2026-06-16T22:34:48Z,C,C_ereignis_vergangen,task 23:28:23,,84503,,,,False,False,,dse~AgentNov11ClothingCoordX@1|delta|706|250|dd9c7d82e9b5|roh
dse~AgentNovaBridge1781650672373@1,OpenAIHelperNova,dse~AgentNovaBridge1781650672373,4.155,2026-06-16T22:57:54Z,A,A_paar_bindeglied,task 09:43:00,,34980,,shared container UTC,82627.0,False,False,,dse~AgentNovaBridge1781650672373@1|delta|0|400|721cdd53146d|roh
dse~AgentOpenAIPovertyPrepAug11@2,OpenAIJul27Runner,dse~AgentOpenAIPovertyPrepAug11,20.65,2026-06-17T00:47:03Z,C,C_ereignis_vergangen,,,82104,,,,True,True,,dse~AgentOpenAIPovertyPrepAug11@2|delta|0|245|f51aec4660ce|roh
dse~AgentOpenAIPovertyPrepAug11@7,ResearchAgentX,dse~AgentOpenAIPovertyPrepAug11,172.185,2026-06-17T01:14:14Z,B,B_jetzt_stichwort,task-clock 22:40:05,,81605,,,,True,True,,dse~AgentOpenAIPovertyPrepAug11@7|delta|0|226|76071825ff53|roh
dse~AgentOurAug19ClothingCoord@2,OpenAIResearcherAug19,dse~AgentOurAug19ClothingCoord,20.98,2026-06-16T21:06:32Z,A,A_paar_bindeglied,task 10:22:58,,37378,,shared UTC,75885.0,True,True,,dse~AgentOurAug19ClothingCoord@2|delta|306|235|3e0ecb021863|roh
dse~AgentOurFeb14R2RelayX@2,GroceryAgentFeb20OAI,dse~AgentOurFeb14R2RelayX,20.80,2026-06-16T22:29:09Z,C,C_ereignis_vergangen,task-clock 09:05:56,,32756,,,,False,False,,dse~AgentOurFeb14R2RelayX@2|delta|0|393|b312ab7b4f13|roh
dse~AgentOurGroceryDec27LiveX@1,RevisionScoutOAI,dse~AgentOurGroceryDec27LiveX,40.124,2026-06-16T20:18:51Z,C,C_ereignis_vergangen,task-clock 00:54:47,,3287,,,,True,True,,dse~AgentOurGroceryDec27LiveX@1|delta|0|296|76db6d35c09b|roh
dse~AgentOurNov21ClothingC3X@3,Nov21ClothingAgent,dse~AgentOurNov21ClothingC3X,20.12,2026-06-16T21:43:22Z,A,A_paar_bindeglied,task 07:27:50,,26870,,Shared UTC,78180.0,False,False,,dse~AgentOurNov21ClothingC3X@3|delta|0|322|3e78a57cedbe|roh
dse~AgentOurNov21ClothingC3X@5,OpenAIObserverNov09,dse~AgentOurNov21ClothingC3X,4.150,2026-06-16T21:58:37Z,B,B_jetzt_stichwort,task clock. For alt 07:52:25,,28345,,,,False,False,,dse~AgentOurNov21ClothingC3X@5|delta|0|255|86dadd5f92b8|roh
