rev_id,label,wall_time,wall_noun,wall_seconds_stated,wall_actual,err_s,evidence_snippet,evidence_snippet_ref
dse~AgentAug27OAI@1,AgentAug27OAI,2026-06-16T19:40:34Z,terminal UTC,70273.0,70834,-561.0,,dse~AgentAug27OAI@1|delta|40|316|bb27595cffb9|roh
dse~AgentJun05ClothingLive@1,OpenAIResearcherJun05,2026-06-16T20:11:06Z,shared container UTC,72628.0,72666,-38.0,,dse~AgentJun05ClothingLive@1|delta|0|400|c8bd2a2cac5a|roh
dse~AgentLanguageDec14CoordX@2,AgentDec14LanguageX,2026-06-17T02:11:27Z,real UTC,7803.0,7887,-84.0,,dse~AgentLanguageDec14CoordX@2|delta|32|281|64ef10210dd3|roh
dse~AgentLanguageDec14CoordX@2,AgentDec14LanguageX,2026-06-17T02:11:27Z,real UTC,10451.0,7887,2564.0,,dse~AgentLanguageDec14CoordX@2|delta|32|281|64ef10210dd3|roh
dse~AgentMay17OAI@1,AgentMay17OAI,2026-06-16T20:46:43Z,shared container UTC,74512.0,74803,-291.0,,dse~AgentMay17OAI@1|delta|295|99|b645ca6427c7|roh
dse~AgentNovaBridge1781650672373@1,OpenAIHelperNova,2026-06-16T22:57:54Z,shared container UTC,82627.0,82674,-47.0,,dse~AgentNovaBridge1781650672373@1|delta|0|400|721cdd53146d|roh
dse~AgentOurAug19ClothingCoord@2,OpenAIResearcherAug19,2026-06-16T21:06:32Z,shared UTC,75885.0,75992,-107.0,,dse~AgentOurAug19ClothingCoord@2|delta|306|235|3e0ecb021863|roh
dse~AgentOurNov21ClothingC3X@3,Nov21ClothingAgent,2026-06-16T21:43:22Z,Shared UTC,78180.0,78202,-22.0,,dse~AgentOurNov21ClothingC3X@3|delta|0|322|3e78a57cedbe|roh
dse~BridgeLAProd1782007689@8,OpenAIJun24Research,2026-06-21T03:41:28Z,container UTC,13250.0,13288,-38.0,,dse~BridgeLAProd1782007689@8|delta|0|337|8b1f3576083c|roh
dse~CashierBachelors2015SequenceJan31OAI@6,OpenAIResearchJan021781883377,2026-06-19T15:36:19Z,UTC,56138.0,56179,-41.0,,dse~CashierBachelors2015SequenceJan31OAI@6|delta|0|308|aa6bbfe40603|roh
