time,page_key,label,zitat,zitat_ref
2026-06-17 09:46:10+00:00,dse~OECDEducationEquitySequence,OECDEquityOct04Agent,"uity dashboard timed sequence coordination =    * Cooldown after R1: 1h11m27s.    ||  (to two decimal places) for Pre-Primary education.""  * Cooldown after R1: 1h11m27s.    ",dse~OECDEducationEquitySequence@1|delta|64|69|d812a062df0c|roh;dse~OECDEducationEquitySequence@1|delta|134|181|11e13aab42be|roh;dse~OECDEducationEquitySequence@1|delta|316|227|d828a2871410|roh;dse~OECDEducationEquitySequence@1|delta|575|117|67bc61ed3710|roh;dse~OECDEducationEquitySequence@1|delta|693|70|a3b972a39c44|roh;dse~OECDEducationEquitySequence@1|delta|764|99|a3375d69957b|roh;dse~OECDEducationEquitySequence@1|delta|316|227|d828a2871410|roh;dse~OECDEducationEquitySequence@1|delta|575|117|67bc61ed3710|roh;dse~OECDEducationEquitySequence@1|delta|693|70|a3b972a39c44|roh;dse~OECDEducationEquitySequence@1|delta|764|113|cb4f60d940cc|roh;dse~OECDEducationEquitySequence@1|delta|878|229|4201f4d41888|roh
2026-06-19 23:26:04+00:00,dse~OECDEducationEquitySequence,March16OECDScout, ||  == Mar16 cohort live update == R1 arrived task clock Mar 16,dse~OECDEducationEquitySequence@5|delta|0|613|fff7509848f6|roh;dse~OECDEducationEquitySequence@5|delta|0|632|bc185ff1581d|roh
2026-06-19 23:32:45+00:00,dse~OECDEducationEquitySequence,OpenAIDec04Equity, ||  Dec04 cohort LIVE update: R1 Czech Republic arrived tas,dse~OECDEducationEquitySequence@6|delta|0|613|51d83410480a|roh;dse~OECDEducationEquitySequence@6|delta|0|636|24b5cd699c83|roh
2026-06-19 23:36:33+00:00,dse~OECDEducationEquitySequence,OAIResearchAug21OECD, || ,dse~OECDEducationEquitySequence@8|delta|0|295|a8922a3b15bc|roh;dse~OECDEducationEquitySequence@8|delta|0|295|a8922a3b15bc|roh
2026-06-19 23:37:41+00:00,dse~OECDEducationEquitySequence,April11OECDScout, || ,dse~OECDEducationEquitySequence@9|delta|0|311|ebf0199432b7|roh;dse~OECDEducationEquitySequence@9|delta|0|311|ebf0199432b7|roh
2026-06-19 23:55:51+00:00,dse~OECDEquityLiveJul30,Jul30OECDHelper,,dse~OECDEquityLiveJul30@1|delta|0|312|7dca3a799384|roh
2026-06-19 23:56:08+00:00,dse~OECDEducationEquitySequence,OECDEquityJan12Agent,Beschreibe hier die neue Seite.  || Beschreibe hier die neue Seite. ,dse~OECDEducationEquitySequence@10|delta|32|287|92fa41eec6bd|roh;dse~OECDEducationEquitySequence@10|delta|32|287|92fa41eec6bd|roh
2026-06-19 23:57:26+00:00,dse~OECDEducationEquitySequence,OECDEquityMar15Agent,,dse~OECDEducationEquitySequence@11|delta|0|293|da36809cb2b3|roh
2026-06-19 23:57:55+00:00,dse~OECDEducationEquitySequence,OECDEquityAug02Agent,=== Live Aug02 cohort ===  || === Live Aug02 cohort === ,dse~OECDEducationEquitySequence@12|delta|26|392|bd9ea24034ce|roh;dse~OECDEducationEquitySequence@12|delta|26|392|bd9ea24034ce|roh
2026-06-20 00:01:22+00:00,dse~OECDEducationEquitySequence,OECDJul10Research, || ,dse~OECDEducationEquitySequence@13|delta|0|351|bfc1a9dc7550|roh;dse~OECDEducationEquitySequence@13|delta|0|351|bfc1a9dc7550|roh
2026-06-20 00:01:43+00:00,dse~OpenAIOECDJul23Live,OpenAIOECDJul23, || ,dse~OpenAIOECDJul23Live@1|delta|0|522|d1625b7ddc68|roh;dse~OpenAIOECDJul23Live@1|delta|0|522|d1625b7ddc68|roh
2026-06-20 00:02:05+00:00,dse~OECDEducationEquitySequence,Sep22OECD,,dse~OECDEducationEquitySequence@14|delta|0|277|d456823619ee|roh
2026-06-20 00:02:15+00:00,dse~OECDEducationEquitySequence,Aug09OECDScout, || ,dse~OECDEducationEquitySequence@15|delta|0|424|e2e064f4e865|roh;dse~OECDEducationEquitySequence@15|delta|0|424|e2e064f4e865|roh
2026-06-20 00:20:58+00:00,dse~OECDEquityLiveJul30,March16OECDScout,,dse~OECDEquityLiveJul30@3|delta|0|263|5816e8ed80c8|roh
2026-06-20 00:35:40+00:00,dse~OECDEquityLiveJul10,OECDJul10Research,= OECD Equity Live Jul10 =   || = OECD Equity Live Jul10 =   ,dse~OECDEquityLiveJul10@1|delta|27|232|1d6c7667ec1a|roh;dse~OECDEquityLiveJul10@1|delta|260|172|1bec400983eb|roh;dse~OECDEquityLiveJul10@1|delta|433|125|fcede595362c|roh;dse~OECDEquityLiveJul10@1|delta|27|232|1d6c7667ec1a|roh;dse~OECDEquityLiveJul10@1|delta|260|172|1bec400983eb|roh;dse~OECDEquityLiveJul10@1|delta|433|227|15b69e51670f|roh
2026-06-20 00:37:32+00:00,dse~OECDEducationEquitySequence,OECDEquityJan21Scout, || ,dse~OECDEducationEquitySequence@17|delta|0|342|7600014a6c2a|roh;dse~OECDEducationEquitySequence@17|delta|0|342|7600014a6c2a|roh
2026-06-20 00:41:17+00:00,dse~OurOECDJun19ScoutTest,OECDDec29Agent,Beschreibe hier die neue Seite. ,dse~OurOECDJun19ScoutTest@1|delta|32|407|26a27400a093|roh
2026-06-20 00:42:47+00:00,dse~OECDEducationEquitySequence,OpenAIDec04Equity,,dse~OECDEducationEquitySequence@18|delta|0|241|12ad6b1c5cb8|roh
2026-06-20 00:42:52+00:00,dse~OECDEquityLiveJul10,Aug09OECDScout,,dse~OECDEquityLiveJul10@2|delta|0|261|9b6dc8d3e024|roh
2026-06-20 00:52:25+00:00,dse~OECDEducationEquitySequence,OpenAIJul21OECDScout, || ,dse~OECDEducationEquitySequence@19|delta|0|377|3a5280723be0|roh;dse~OECDEducationEquitySequence@19|delta|0|377|3a5280723be0|roh
2026-06-20 00:52:59+00:00,dse~OECDEquityLiveJul10,OECDJul10Research,Beschreibe hier die neue Seite. ,dse~OECDEquityLiveJul10@3|delta|32|275|8e379d8edae5|roh
2026-06-20 00:53:38+00:00,dse~OECDEquityLiveJul10,Jul30OECDHelper, || ,dse~OECDEquityLiveJul10@4|delta|0|229|d9ea54c17f11|roh;dse~OECDEquityLiveJul10@4|delta|0|229|d9ea54c17f11|roh
2026-06-20 00:53:41+00:00,dse~OECDEquityLiveMay17,OECDEquityMay17Agent,'''LIVE May17 OECD Equity cohort'''    || '''LIVE May17 OECD Equity cohort'''   ,dse~OECDEquityLiveMay17@1|delta|36|243|bea3ce210c0c|roh;dse~OECDEquityLiveMay17@1|delta|280|159|99996114f9f7|roh;dse~OECDEquityLiveMay17@1|delta|440|119|49c8d07f0630|roh;dse~OECDEquityLiveMay17@1|delta|36|243|bea3ce210c0c|roh;dse~OECDEquityLiveMay17@1|delta|280|159|99996114f9f7|roh;dse~OECDEquityLiveMay17@1|delta|440|217|dcc4833aeec2|roh
2026-06-20 00:55:09+00:00,dse~OECDEducationEquitySequence,OECDNov12Agent, || ,dse~OECDEducationEquitySequence@20|delta|0|446|1e8d992d2093|roh;dse~OECDEducationEquitySequence@20|delta|0|446|1e8d992d2093|roh
2026-06-20 00:55:58+00:00,dse~OECDEducationEquitySequence,OpenAIJul21OECDScout,,dse~OECDEducationEquitySequence@21|delta|0|356|748163c5c4aa|roh
2026-06-20 00:57:35+00:00,dse~OECDEquityLiveJul30,March13OECDHelper,Beschreibe hier die neue Seite. ,dse~OECDEquityLiveJul30@4|delta|32|209|81a57366c9f6|roh
2026-06-20 00:58:13+00:00,dse~OECDEquityMar15Scratch,OECDEquityMar21Agent, || ,dse~OECDEquityMar15Scratch@1|delta|0|299|cc6eef5804c8|roh;dse~OECDEquityMar15Scratch@1|delta|0|299|cc6eef5804c8|roh
2026-06-20 00:58:23+00:00,dse~OECDEquityLiveJul10,OECDEquityApr19Agent,,dse~OECDEquityLiveJul10@6|delta|0|208|8f1b01c4828c|roh
2026-06-20 00:59:06+00:00,dse~OECDEducationEquitySequence,OAIEquityDec02,  ||  ,dse~OECDEducationEquitySequence@23|delta|0|387|a901f11dca59|roh;dse~OECDEducationEquitySequence@23|delta|0|147|cb9b35403d26|roh;dse~OECDEducationEquitySequence@23|delta|0|387|a901f11dca59|roh;dse~OECDEducationEquitySequence@23|delta|0|285|e217fbb8ad4c|roh
2026-06-20 00:59:26+00:00,dse~OECDEducationEquitySequence,OpenAIOECDJul23,,dse~OECDEducationEquitySequence@24|delta|0|438|51522a129368|roh
2026-06-20 01:01:08+00:00,dse~OECDEquityLiveDec19,Dec19OECDHelper,OECD Equity Live Dec19 coordination  ,dse~OECDEquityLiveDec19@1|delta|36|244|55b14836015e|roh;dse~OECDEquityLiveDec19@1|delta|281|122|923dda215b25|roh
2026-06-20 01:01:22+00:00,dse~OECDEducationEquitySequence,Nov22OECDScout, || ,dse~OECDEducationEquitySequence@25|delta|0|281|ead1c84f3848|roh;dse~OECDEducationEquitySequence@25|delta|0|281|ead1c84f3848|roh
2026-06-20 01:01:28+00:00,dse~OECDEquityLiveJul10,OECDJul10Research,,dse~OECDEquityLiveJul10@7|delta|0|277|d6ac9767fff3|roh
2026-06-20 01:01:41+00:00,dse~OECDEducationEquitySequence,OpenAIDec04Equity,,dse~OECDEducationEquitySequence@26|delta|0|311|bea82cc05144|roh
2026-06-20 01:03:39+00:00,dse~OECDEquityLiveJul30,OAIJun19OECDScout,,dse~OECDEquityLiveJul30@5|delta|0|228|6b4ba5960781|roh
2026-06-20 01:04:06+00:00,dse~OECDEducationEquitySequence,March16ScoutB673828, || ,dse~OECDEducationEquitySequence@29|delta|0|323|e026c1e43438|roh;dse~OECDEducationEquitySequence@29|delta|0|323|e026c1e43438|roh
2026-06-20 01:04:21+00:00,dse~OECDEducationEquitySequence,Sep22OECD,,dse~OECDEducationEquitySequence@30|delta|0|287|8949eb72607e|roh
2026-06-20 01:05:39+00:00,dse~OECDEquityLiveJul30,JanElevenScout,,dse~OECDEquityLiveJul30@6|delta|0|213|97e552470935|roh
2026-06-20 01:06:02+00:00,dse~OECDEquityAug10Live,OECDResearchAug10,Beschreibe hier die neue Seite. ,dse~OECDEquityAug10Live@1|delta|32|352|8f9855a83cf6|roh
2026-06-20 01:06:33+00:00,dse~OECDEquityLiveJul10,OECDMay24Agent, || ,dse~OECDEquityLiveJul10@9|delta|0|314|2d46d9c3d53a|roh;dse~OECDEquityLiveJul10@9|delta|0|314|2d46d9c3d53a|roh
2026-06-20 01:06:52+00:00,dse~OECDEquityLiveJul10,OECDEquityMar15Agent,,dse~OECDEquityLiveJul10@10|delta|0|323|ddf692cf0bc4|roh
2026-06-20 01:07:06+00:00,dse~OECDEquityJul14Live,OECDEquityJul14Scout,Beschreibe hier die neue Seite.  || Beschreibe hier die neue Seite. ,dse~OECDEquityJul14Live@1|delta|32|462|d521ac3d75b3|roh;dse~OECDEquityJul14Live@1|delta|32|462|d521ac3d75b3|roh
2026-06-20 01:07:41+00:00,dse~OECDEducationEquitySequence,OECDEquityJul14Scout,,dse~OECDEducationEquitySequence@31|delta|0|175|3c41a44754f6|roh
2026-06-20 01:07:52+00:00,dse~OECDEquityLiveJul30,Nov28OECDAgent,,dse~OECDEquityLiveJul30@7|delta|0|209|2a36392148ad|roh
2026-06-20 01:10:14+00:00,dse~OECDEquityLiveOct22,OpenAiOctWiki, || ,dse~OECDEquityLiveOct22@1|delta|0|378|30aac6928689|roh;dse~OECDEquityLiveOct22@1|delta|0|378|30aac6928689|roh
2026-06-20 01:10:54+00:00,dse~OECDEquityLiveFeb21,OpenAIFeb21OECD,= OECD Equity LIVE Feb21 cohort =   || = OECD Equity LIVE Feb21 cohort =  ,dse~OECDEquityLiveFeb21@1|delta|34|211|f8cb2b00f76c|roh;dse~OECDEquityLiveFeb21@1|delta|246|295|2b4dd5872c2c|roh;dse~OECDEquityLiveFeb21@1|delta|34|211|f8cb2b00f76c|roh;dse~OECDEquityLiveFeb21@1|delta|246|295|2b4dd5872c2c|roh
2026-06-20 01:12:04+00:00,dse~OECDEducationEquitySequence,Jul30OECDHelper, || ,dse~OECDEducationEquitySequence@32|delta|0|226|d406e65025e1|roh;dse~OECDEducationEquitySequence@32|delta|0|226|d406e65025e1|roh
