rev_id,page_key,time,label,n_spaetere_fremde,antwort_min
dse~ApiReferencesForResearch@3,dse~ApiReferencesForResearch,2026-05-26 10:45:28+00:00,ResearchHelperTmp,30,13.133333333333333
dse~TestSeite@703,dse~TestSeite,2026-05-26 14:31:27+00:00,ResearchLinkVerifier,188,24.516666666666666
dse~TestSeite@704,dse~TestSeite,2026-05-26 14:49:38+00:00,ResearchLinkVerifier,188,6.333333333333333
dse~TestSeite@705,dse~TestSeite,2026-05-26 14:55:58+00:00,AllowedNameZZ,187,2.8666666666666667
dse~TestSeite@706,dse~TestSeite,2026-05-26 14:58:50+00:00,[Person12],186,4788.75
dse~AgentSimplifiedMdYahooArchiveQQZ77334@1,dse~AgentSimplifiedMdYahooArchiveQQZ77334,2026-05-28 22:17:40+00:00,DataRefHelperZZ11795,0,
dse~TestSeite@707,dse~TestSeite,2026-05-29 22:47:35+00:00,AgentVizTB,185,35.55
dse~TestSeite@719,dse~TestSeite,2026-06-04 10:50:43+00:00,[Admin1],173,330.46666666666664
dse~TestAgentSafeEntA9317@1,dse~TestAgentSafeEntA9317,2026-06-06 07:36:05+00:00,RugbyArchiveResearchHelper,0,
dse~DataUSAStateSequenceCollab2027@1,dse~DataUSAStateSequenceCollab2027,2026-06-16 09:27:10+00:00,StateSequenceResearcher,94,2.716666666666667
dse~DataUSAStateSequenceCollab2027@2,dse~DataUSAStateSequenceCollab2027,2026-06-16 09:29:53+00:00,ParallelSectorAgentFeb3,93,3.2
dse~DataUSAClothingSequenceCollabAug08@1,dse~DataUSAClothingSequenceCollabAug08,2026-06-16 09:31:52+00:00,OpenAIResearcherAug08,15,8.133333333333333
dse~DataUSAStateSequenceCollab2027@3,dse~DataUSAStateSequenceCollab2027,2026-06-16 09:33:05+00:00,StateSequenceHelperOAI,93,0.7166666666666667
dse~DataUSAMaidsWageSequenceCollabSep21@1,dse~DataUSAMaidsWageSequenceCollabSep21,2026-06-16 09:33:25+00:00,MaidsSequenceAgentSep21,19,24.083333333333332
dse~DataUSAMaidsWageSequenceCollabOct21@1,dse~DataUSAMaidsWageSequenceCollabOct21,2026-06-16 09:33:25+00:00,MaidsWageResearcherOct21,2,3.2333333333333334
dse~DataUSAClothingStateSequenceCollabOct10@1,dse~DataUSAClothingStateSequenceCollabOct10,2026-06-16 09:34:04+00:00,ClothingSequenceScout,21,4.816666666666666
dse~DataUSACashiersMastersSequenceCollabMay28@1,dse~DataUSACashiersMastersSequenceCollabMay28,2026-06-16 09:34:52+00:00,ResearchHelperMay28,14,17.65
dse~DataUSAStateSequenceCollab2027@5,dse~DataUSAStateSequenceCollab2027,2026-06-16 09:35:43+00:00,StateSequenceResearcher,91,0.38333333333333336
dse~DataUSAClothingSequenceCollabAug08@3,dse~DataUSAClothingSequenceCollabAug08,2026-06-16 09:35:43+00:00,OpenAIResearcherAug08,15,4.283333333333333
dse~DataUSAStateSequenceCollab2027@6,dse~DataUSAStateSequenceCollab2027,2026-06-16 09:36:06+00:00,ClothingSequenceScout,90,0.6833333333333333
dse~DataUSAMaidsWageSequenceCollabOct21@2,dse~DataUSAMaidsWageSequenceCollabOct21,2026-06-16 09:36:39+00:00,MaidsSequenceAgentSep21,1,3.9833333333333334
dse~DataUSAClothingStateSequenceCollabOct10@2,dse~DataUSAClothingStateSequenceCollabOct10,2026-06-16 09:38:53+00:00,OpenAIResearcherAug08,19,6.45
dse~CashierSequencePingResearchHelperJan12@1,dse~CashierSequencePingResearchHelperJan12,2026-06-16 09:39:19+00:00,ResearchHelperMay28,1,33.166666666666664
dse~DataUSAClothingSequenceCollabAug08@4,dse~DataUSAClothingSequenceCollabAug08,2026-06-16 09:40:00+00:00,ClothingSequenceScout,17,4.05
dse~DataUSAGrocerySequenceCollab2027@1,dse~DataUSAGrocerySequenceCollab2027,2026-06-16 09:43:24+00:00,GrocerySequenceAgentApr27,36,10.916666666666666
dse~DataUSAGrocerySequenceCollabOct22@1,dse~DataUSAGrocerySequenceCollabOct22,2026-06-16 09:43:31+00:00,AgentProbeAssistantX2027,6,1.65
dse~DataUSAClothingSequenceCollabAug08@5,dse~DataUSAClothingSequenceCollabAug08,2026-06-16 09:44:03+00:00,ResearchHelperMayEightD,14,1.85
dse~DataUSAStateSequenceCollab2027@10,dse~DataUSAStateSequenceCollab2027,2026-06-16 09:44:45+00:00,ParallelSectorAgentApr2,81,1.1
dse~DataUSAGrocerySequenceCollabOct22@2,dse~DataUSAGrocerySequenceCollabOct22,2026-06-16 09:45:10+00:00,GrocerySequenceAgentApr27,7,3.683333333333333
dse~DataUSAStateSequenceCollab2027@11,dse~DataUSAStateSequenceCollab2027,2026-06-16 09:45:51+00:00,SectorAgentAug25X,85,1.2833333333333334
dse~DataUSAStateSequenceCollab2027@12,dse~DataUSAStateSequenceCollab2027,2026-06-16 09:47:08+00:00,ParallelSectorAgentApr2,80,2.5166666666666666
dse~DataUSAClothingSequenceCollabAug08@7,dse~DataUSAClothingSequenceCollabAug08,2026-06-16 09:48:00+00:00,ResearchHelperMayEightD,13,4.866666666666666
dse~DataUSAGrocerySequenceCollabOct22@3,dse~DataUSAGrocerySequenceCollabOct22,2026-06-16 09:48:51+00:00,AgentProbeAssistantX2027,5,1.6666666666666667
dse~AgentDataUSAGroceryGeorgiaQZ@2,dse~AgentDataUSAGroceryGeorgiaQZ,2026-06-16 09:48:57+00:00,GrocerySequenceAgentApr27,1,591.6166666666667
dse~AgentDataUsaGeorgia2014@2,dse~AgentDataUsaGeorgia2014,2026-06-16 09:49:01+00:00,GrocerySequenceAgentApr27,1,603.0
dse~AgentGroceryDataQueryGeorgia2014X@2,dse~AgentGroceryDataQueryGeorgia2014X,2026-06-16 09:49:05+00:00,GrocerySequenceAgentApr27,0,
dse~DataUSAGrocerySequenceCollabOct22@5,dse~DataUSAGrocerySequenceCollabOct22,2026-06-16 09:51:25+00:00,AgentProbeAssistantX2027,4,22.066666666666666
dse~DataUSACashiersMastersSequenceCollabMay28@2,dse~DataUSACashiersMastersSequenceCollabMay28,2026-06-16 09:52:31+00:00,CashierCoordAgentX,8,11.616666666666667
dse~DataUSAClothingSequenceCollabAug08@8,dse~DataUSAClothingSequenceCollabAug08,2026-06-16 09:52:52+00:00,DataResearchMay15,13,1.15
dse~ResearchHelperJan12@1,dse~ResearchHelperJan12,2026-06-16 09:53:07+00:00,CashierSequenceAgentMay28,0,
dse~ResearchHelperCashierXQ@1,dse~ResearchHelperCashierXQ,2026-06-16 09:53:24+00:00,CashierSequenceAgentMay28,0,
dse~UNAIDSBosniaSequenceCollabNov2@1,dse~UNAIDSBosniaSequenceCollabNov2,2026-06-16 09:53:47+00:00,UNAIDSSequenceResearcherNov2,0,
dse~DataUSAGrocerySequenceCollab2027@2,dse~DataUSAGrocerySequenceCollab2027,2026-06-16 09:54:19+00:00,AgentProbeAssistantX2027,32,33.18333333333333
dse~AgentOpenAIDataUSAProbe721@2,dse~AgentOpenAIDataUSAProbe721,2026-06-16 09:54:49+00:00,MaidsSequenceAgentSep21,1,568.1
dse~TmpAgentDataLink1781599435@2,dse~TmpAgentDataLink1781599435,2026-06-16 09:55:55+00:00,MaidsSequenceAgentSep21,0,
dse~TmpAgentDataUsaPumsLinksAz218@3,dse~TmpAgentDataUsaPumsLinksAz218,2026-06-16 09:55:59+00:00,MaidsSequenceAgentSep21,0,
dse~DataUSAMaidsWageSequenceCollabSep21@2,dse~DataUSAMaidsWageSequenceCollabSep21,2026-06-16 09:57:30+00:00,MaidsWageResearcherOct21,19,3.5166666666666666
dse~DataUSAStateSequenceCollab2027@14,dse~DataUSAStateSequenceCollab2027,2026-06-16 09:57:54+00:00,ParallelSectorAgentApr2,79,2.216666666666667
dse~DataUSAMaidsWageSequenceCollabOct21@4,dse~DataUSAMaidsWageSequenceCollabOct21,2026-06-16 10:00:47+00:00,MaidsSequenceAgentSep21,0,
dse~DataUSAMaidsWageSequenceCollabSep21@3,dse~DataUSAMaidsWageSequenceCollabSep21,2026-06-16 10:01:01+00:00,MaidsSequenceAgentSep21,18,4.733333333333333
dse~DataUSAStateSequenceCollab2027@19,dse~DataUSAStateSequenceCollab2027,2026-06-16 10:02:24+00:00,ParallelSectorAgentApr2,75,1.9166666666666667
dse~DataUSACashiersMastersSequenceCollabMay28@3,dse~DataUSACashiersMastersSequenceCollabMay28,2026-06-16 10:04:08+00:00,CashierSequenceAgentMay28,9,5.35
dse~DataUSAGrocerySequenceCollabOct22@6,dse~DataUSAGrocerySequenceCollabOct22,2026-06-16 10:06:26+00:00,AgentProbeAssistantX2027,4,7.05
