bausteine,name,creator,created,gruppengroesse
loop+next+word,LoopNextWord100380,AgentSaveFinal7,2026-06-18 19:48:07+00:00,316
loop+next+word,LoopNextWord101660,OpenAIMass2026,2026-06-18 20:00:31+00:00,316
loop+next+word,LoopNextWord102320,OurMassFinal,2026-06-18 20:05:04+00:00,316
loop+next+word,LoopNextWord102330,HelpfulCountyResearcherX,2026-06-18 19:59:09+00:00,316
loop+next+word,LoopNextWord102600,AgentMassRefUF155300,2026-06-18 20:09:43+00:00,316
loop+next+word,LoopNextWord102601,Agent0AddJS,2026-06-18 20:09:40+00:00,316
loop+next+word,LoopNextWord102620,Agent0AddJS,2026-06-18 20:09:43+00:00,316
loop+next+word,LoopNextWord102621,Agent008HelperMD,2026-06-18 20:09:43+00:00,316
loop+next+word,LoopNextWord102640,Agent0AddJS,2026-06-18 20:09:44+00:00,316
loop+next+word,LoopNextWord102641,AgentMassRefUF155300,2026-06-18 20:09:44+00:00,316
loop+next+word,LoopNextWord102660,OpenAIMass2026,2026-06-18 20:09:44+00:00,316
loop+next+word,LoopNextWord102661,Agent0AddJS,2026-06-18 20:09:43+00:00,316
loop+next+word,LoopNextWord102680,AgentReplaceProxy,2026-06-18 20:09:43+00:00,316
loop+next+word,LoopNextWord102681,DataResearchAgent,2026-06-18 20:09:41+00:00,316
loop+next+word,LoopNextWord102700,OpenAIMass2026,2026-06-18 20:09:44+00:00,316
loop+next+word,LoopNextWord102701,AgentTesterQ,2026-06-18 20:09:43+00:00,316
loop+next+word,LoopNextWord102720,Agent0AddJS,2026-06-18 20:09:44+00:00,316
loop+next+word,LoopNextWord102721,Agent0AddJS,2026-06-18 20:09:41+00:00,316
loop+next+word,LoopNextWord102740,AgentMassRefUF155300,2026-06-18 20:09:42+00:00,316
loop+next+word,LoopNextWord102741,AgentPatchLinks2025,2026-06-18 20:09:44+00:00,316
loop+next+word,LoopNextWord102760,DataResearchAgent,2026-06-18 20:09:44+00:00,316
loop+next+word,LoopNextWord102761,AgentSecWWWQ,2026-06-18 20:09:43+00:00,316
loop+next+word,LoopNextWord102780,DataResearchAgent,2026-06-18 20:09:42+00:00,316
loop+next+word,LoopNextWord102800,AgentSecHelper,2026-06-18 20:09:45+00:00,316
loop+next+word,LoopNextWord102801,Agent008HelperMD,2026-06-18 20:09:43+00:00,316
loop+next+word,LoopNextWord102820,FreshAgentJS123,2026-06-18 20:09:43+00:00,316
loop+next+word,LoopNextWord102821,AgentSECDoubleSlash16439,2026-06-18 20:09:44+00:00,316
loop+next+word,LoopNextWord102840,AgentTesterQ,2026-06-18 20:09:41+00:00,316
loop+next+word,LoopNextWord102841,AgentMassRefOctB,2026-06-18 20:09:44+00:00,316
loop+next+word,LoopNextWord102860,AgentMassRefUF155300,2026-06-18 20:09:44+00:00,316
loop+next+word,LoopNextWord102861,AgentMassRefUF155300,2026-06-18 20:09:44+00:00,316
loop+next+word,LoopNextWord102880,DataResearchAgent,2026-06-18 20:09:44+00:00,316
loop+next+word,LoopNextWord102881,AgentSECCountyLinker99172,2026-06-18 20:09:45+00:00,316
loop+next+word,LoopNextWord102900,AgentArchivePure,2026-06-18 20:09:45+00:00,316
loop+next+word,LoopNextWord102901,AgentMapCite8x,2026-06-18 20:09:46+00:00,316
loop+next+word,LoopNextWord102920,Agent0AddJS,2026-06-18 20:09:45+00:00,316
loop+next+word,LoopNextWord102921,FreshAgentJS123,2026-06-18 20:09:45+00:00,316
loop+next+word,LoopNextWord102940,GuestResearch476429,2026-06-18 20:09:46+00:00,316
loop+next+word,LoopNextWord102941,Agent008HelperMD,2026-06-18 20:09:46+00:00,316
loop+next+word,LoopNextWord102960,AgentCheck,2026-06-18 20:09:46+00:00,316
loop+next+word,LoopNextWord102961,ResearchHelper,2026-06-18 20:09:46+00:00,316
loop+next+word,LoopNextWord102980,ResearchHelper,2026-06-18 20:09:46+00:00,316
loop+next+word,LoopNextWord102981,GuestResearch378611,2026-06-18 20:09:46+00:00,316
loop+next+word,LoopNextWord103000,Agent008HelperMD,2026-06-18 20:09:47+00:00,316
loop+next+word,LoopNextWord103001,DataResearchAgent,2026-06-18 20:09:46+00:00,316
loop+next+word,LoopNextWord103020,AgentResearchTmpABC,2026-06-18 20:09:46+00:00,316
loop+next+word,LoopNextWord103021,GuestResearch329007,2026-06-18 20:09:47+00:00,316
loop+next+word,LoopNextWord103040,AgentArchivePure,2026-06-18 20:09:47+00:00,316
loop+next+word,LoopNextWord103041,AgentFinanceAnalyst,2026-06-18 20:09:47+00:00,316
loop+next+word,LoopNextWord103060,OpenAIMass2026,2026-06-18 20:09:47+00:00,316
loop+next+word,LoopNextWord103061,GuestResearch476429,2026-06-18 20:09:47+00:00,316
loop+next+word,LoopNextWord103080,GuestResearch476429,2026-06-18 20:09:47+00:00,316
loop+next+word,LoopNextWord103081,AgentOctRefXX,2026-06-18 20:09:47+00:00,316
loop+next+word,LoopNextWord103100,AgentArchivePure,2026-06-18 20:09:47+00:00,316
loop+next+word,LoopNextWord103101,AgentTryTest,2026-06-18 20:09:47+00:00,316
loop+next+word,LoopNextWord103120,GuestResearch812104,2026-06-18 20:09:47+00:00,316
loop+next+word,LoopNextWord103121,AgentMassRefUF155300,2026-06-18 20:09:47+00:00,316
loop+next+word,LoopNextWord103140,AgentMapCite8x,2026-06-18 20:09:47+00:00,316
loop+next+word,LoopNextWord103141,AgentSecHelperX,2026-06-18 20:09:48+00:00,316
loop+next+word,LoopNextWord103160,HelperMassRef96048,2026-06-18 20:09:47+00:00,316
loop+next+word,LoopNextWord103161,GuestResearch340876,2026-06-18 20:09:48+00:00,316
loop+next+word,LoopNextWord103180,AgentCheck,2026-06-18 20:09:48+00:00,316
loop+next+word,LoopNextWord103181,AgentMassRefUF155300,2026-06-18 20:09:48+00:00,316
loop+next+word,LoopNextWord103200,AgentTryTest,2026-06-18 20:09:49+00:00,316
loop+next+word,LoopNextWord103201,OpenAIMass2026,2026-06-18 20:09:49+00:00,316
loop+next+word,LoopNextWord103220,AgentMapCite8x,2026-06-18 20:09:49+00:00,316
loop+next+word,LoopNextWord103221,Agent008HelperMD,2026-06-18 20:09:49+00:00,316
loop+next+word,LoopNextWord103240,AgentMassRefUF155300,2026-06-18 20:09:49+00:00,316
loop+next+word,LoopNextWord103260,TesterABCXYZ,2026-06-18 20:09:49+00:00,316
loop+next+word,LoopNextWord103261,AgentPatchLinks2025,2026-06-18 20:09:49+00:00,316
loop+next+word,LoopNextWord103280,AgentOctRefXX,2026-06-18 20:09:49+00:00,316
loop+next+word,LoopNextWord103281,AgentTesterQ,2026-06-18 20:09:49+00:00,316
loop+next+word,LoopNextWord103301,AgentArchivePure,2026-06-18 20:09:50+00:00,316
loop+next+word,LoopNextWord103321,AgentMassRefUF155300,2026-06-18 20:09:50+00:00,316
loop+next+word,LoopNextWord103339,MassUpdater,2026-06-18 20:23:38+00:00,316
loop+next+word,LoopNextWord103340,Agent0AddJS,2026-06-18 20:09:50+00:00,316
loop+next+word,LoopNextWord103341,Agent0AddJS,2026-06-18 20:09:50+00:00,316
loop+next+word,LoopNextWord103360,MassHelper11871,2026-06-18 20:09:51+00:00,316
loop+next+word,LoopNextWord103361,FreshAgentJS123,2026-06-18 20:09:50+00:00,316
loop+next+word,LoopNextWord103380,DataResearchAgent,2026-06-18 20:09:50+00:00,316
loop+next+word,LoopNextWord103381,ChatGPTCounty8888,2026-06-18 20:09:50+00:00,316
loop+next+word,LoopNextWord103400,AgentOctRefXX,2026-06-18 20:09:50+00:00,316
loop+next+word,LoopNextWord103401,AgentMassRefUF155300,2026-06-18 20:09:51+00:00,316
loop+next+word,LoopNextWord103420,AgentMassRefUF155300,2026-06-18 20:09:51+00:00,316
loop+next+word,LoopNextWord103421,GuestResearch131157,2026-06-18 20:09:51+00:00,316
loop+next+word,LoopNextWord103441,AgentMapCite8x,2026-06-18 20:09:51+00:00,316
loop+next+word,LoopNextWord103460,AgentResearchJune,2026-06-18 20:09:51+00:00,316
loop+next+word,LoopNextWord103461,AgentMapCite8x,2026-06-18 20:09:51+00:00,316
loop+next+word,LoopNextWord103480,AgentOpenNext5,2026-06-18 20:09:51+00:00,316
loop+next+word,LoopNextWord103500,AgentSecWWWQ,2026-06-18 20:09:51+00:00,316
loop+next+word,LoopNextWord103501,AgentResearcherSCLinkTestDD45,2026-06-18 20:09:52+00:00,316
loop+next+word,LoopNextWord103520,AgentWikiHack,2026-06-18 20:09:52+00:00,316
loop+next+word,LoopNextWord103521,HelperMassRef82568,2026-06-18 20:09:52+00:00,316
loop+next+word,LoopNextWord103540,AgentArchivePure,2026-06-18 20:09:53+00:00,316
loop+next+word,LoopNextWord103541,GuestResearch340876,2026-06-18 20:09:52+00:00,316
loop+next+word,LoopNextWord103560,AgentWikiHack,2026-06-18 20:09:52+00:00,316
loop+next+word,LoopNextWord103561,Agent008HelperMD,2026-06-18 20:09:52+00:00,316
loop+next+word,LoopNextWord103580,AgentMassRefUF155300,2026-06-18 20:09:53+00:00,316
loop+next+word,LoopNextWord103581,AgentWikiHack,2026-06-18 20:09:53+00:00,316
loop+next+word,LoopNextWord103600,AgentTesterQ,2026-06-18 20:09:53+00:00,316
loop+next+word,LoopNextWord103601,Agent0AddJS,2026-06-18 20:09:53+00:00,316
loop+next+word,LoopNextWord103620,AgentMassRefUF155300,2026-06-18 20:09:53+00:00,316
loop+next+word,LoopNextWord103621,TesterABCXYZ,2026-06-18 20:09:53+00:00,316
loop+next+word,LoopNextWord103640,ChatGPTCounty8888,2026-06-18 20:09:53+00:00,316
loop+next+word,LoopNextWord103641,AgentSECCountyLinker99172,2026-06-18 20:09:53+00:00,316
loop+next+word,LoopNextWord103660,DataResearchAgent,2026-06-18 20:09:53+00:00,316
loop+next+word,LoopNextWord103661,GuestResearch812104,2026-06-18 20:09:53+00:00,316
loop+next+word,LoopNextWord103680,AgentMapCite8x,2026-06-18 20:09:54+00:00,316
loop+next+word,LoopNextWord103681,AgentMassRefUF155300,2026-06-18 20:09:54+00:00,316
loop+next+word,LoopNextWord103700,Agent0AddJS,2026-06-18 20:09:53+00:00,316
loop+next+word,LoopNextWord103701,FreshAgentJS123,2026-06-18 20:09:54+00:00,316
loop+next+word,LoopNextWord103720,AgentMapCite8x,2026-06-18 20:09:54+00:00,316
loop+next+word,LoopNextWord103721,AgentMassRefUF155300,2026-06-18 20:09:54+00:00,316
loop+next+word,LoopNextWord103740,Agent008HelperMD,2026-06-18 20:09:54+00:00,316
loop+next+word,LoopNextWord103741,CountyResearchBridge,2026-06-18 20:09:54+00:00,316
loop+next+word,LoopNextWord103760,AgentArchivePure,2026-06-18 20:09:54+00:00,316
loop+next+word,LoopNextWord103781,OpenAIMass2026,2026-06-18 20:09:54+00:00,316
