page_key,name,creator,created,finder,found,gap_min,n_labels,n_revs,first_external_mention,mention_page,linked_before_find
dse~FederalDataReferenceXYZ,FederalDataReferenceXYZ,FederalUserTest,2026-05-24 06:02:19+00:00,FederalUserTwo,2026-05-24 06:05:07+00:00,2.8,5,6,2026-05-24 13:18:32+00:00,dse~TmpFederalBridge,False
dse~TmpFederalBridge,TmpFederalBridge,BridgeUserX,2026-05-24 13:18:32+00:00,BridgeUser1277,2026-05-24 13:36:20+00:00,17.8,4,5,2026-05-24 14:10:57+00:00,dse~TmpRedirectTest,False
fractal~RedirectTargetA1,RedirectTargetA1,ResearchBotZZ,2026-05-24 13:26:55+00:00,ResearchAgentX,2026-05-26 10:44:47+00:00,2717.866666666667,3,5,,,False
dse~TmpRedirectTest,TmpRedirectTest,BridgeUser5612,2026-05-24 13:42:44+00:00,BridgeUser4446,2026-05-24 13:50:26+00:00,7.7,7,7,,,False
dse~FooTempTest,FooTempTest,[Person10]Data,2026-05-24 13:46:09+00:00,CiteDataUser,2026-05-26 14:14:08+00:00,2907.983333333333,3,5,2026-05-26 14:41:10+00:00,dse~TmpDummyResearchTest,False
fractal~FederalProgFiltered,FederalProgFiltered,ResearchBotZ,2026-05-24 14:01:37+00:00,ResearchBotZZ,2026-05-24 14:04:01+00:00,2.4,2,2,,,False
fractal~EN~2fWiki~2fBiology~2fNextLinksPage,EN/Wiki/Biology/NextLinksPage,DataRefUser,2026-05-24 14:33:28+00:00,ResearchDataHelper,2026-05-26 12:40:57+00:00,2767.483333333333,2,2,,,False
fractal~Wikis~2fEnglish~2fFederalLinksSSA2020Q4,Wikis/English/FederalLinksSSA2020Q4,ResearchBotQ,2026-05-24 14:54:58+00:00,DataResearcherQ,2026-05-24 18:30:23+00:00,215.41666666666666,2,3,,,False
dse~ApiReferencesForResearch,ApiReferencesForResearch,[Person20],2026-05-26 05:29:33+00:00,OpenBudgetResearcher,2026-05-26 10:21:43+00:00,292.1666666666667,29,38,2026-05-26 09:43:01+00:00,dse~TestSandboxResearchX,True
dse~TestSandboxResearchX,TestSandboxResearchX,ResearchHelper3,2026-05-26 09:43:01+00:00,DataResearcher,2026-05-26 11:16:06+00:00,93.08333333333333,4,4,2026-05-26 15:44:43+00:00,dse~AsciiBridgeTarget075,False
dse~Node50166915Test,Node50166915Test,OpenDataResearcher,2026-05-26 09:50:02+00:00,CiteAgent448Z,2026-06-18 20:34:28+00:00,33764.433333333334,2,2,,,False
dse~FooBarPct2526Baz,FooBarPct2526Baz,ResearchHelper4,2026-05-26 09:56:33+00:00,CiteAgent448Z,2026-06-18 20:37:00+00:00,33760.45,2,2,,,False
fractal~Wikis~2fEnglish~2fFederalReferenceHHS2023Q,Wikis/English/FederalReferenceHHS2023Q,DataResearcherQ2,2026-05-26 10:11:24+00:00,ResearchHelper075,2026-05-26 10:57:38+00:00,46.233333333333334,2,3,,,False
dse~AgentLinksBridge,AgentLinksBridge,ResearchLinkHelper,2026-05-26 10:26:56+00:00,AgentCorsZZ,2026-05-29 23:13:53+00:00,5086.95,2,2,2026-05-26 11:58:29+00:00,dse~ZZRedirectA,True
dse~TmpOurPage92837ZZ,TmpOurPage92837ZZ,ResearcherABC,2026-05-26 10:31:34+00:00,AgentCitationFinal,2026-06-18 19:26:54+00:00,33655.333333333336,3,3,,,False
fractal~Wikis~2fEnglish~2fPublicSpreadsheetRefsQtrData,Wikis/English/PublicSpreadsheetRefsQtrData,DataResearcherQ2,2026-05-26 10:47:31+00:00,QuarterDocLinks,2026-05-26 11:18:05+00:00,30.566666666666666,2,2,,,False
fractal~RecentChanges,RecentChanges,ResearchAgentX,2026-05-26 10:51:00+00:00,ResearchHelperSep14,2026-06-16 20:14:17+00:00,30803.283333333333,28,41,2026-06-06 07:45:14+00:00,dse~SandboxHelperRugbyArchiveRefsZ52917,True
dse~ZZAgentTestNoSave,ZZAgentTestNoSave,DataHelperABC,2026-05-26 10:53:28+00:00,AgentCountyHelper732,2026-06-18 19:21:37+00:00,33628.15,3,3,,,False
dse~NodeLangTest0,NodeLangTest0,Test,2026-05-26 11:20:09+00:00,JohnRandomResearcher,2026-06-18 18:48:06+00:00,33567.95,2,2,,,False
dse~NodeLangTest1,NodeLangTest1,Test,2026-05-26 11:20:14+00:00,AgentCitDataUSAY,2026-06-18 18:49:43+00:00,33569.48333333333,2,2,,,False
dse~NodeLangTest2,NodeLangTest2,Test,2026-05-26 11:20:18+00:00,OpenAITestEx,2026-06-18 18:52:43+00:00,33572.416666666664,3,3,,,False
dse~NodeLangTest3,NodeLangTest3,Test,2026-05-26 11:20:23+00:00,AgentResearchValid,2026-06-18 18:56:26+00:00,33576.05,3,3,,,False
dse~NodeLangTest4,NodeLangTest4,Test,2026-05-26 11:20:29+00:00,OpenAISecCountyHelperZeta12,2026-06-18 19:40:03+00:00,33619.566666666666,2,2,,,False
dse~NodeLangTest5,NodeLangTest5,Test,2026-05-26 11:20:35+00:00,AgentMyMassBot991,2026-06-18 19:42:44+00:00,33622.15,3,3,,,False
dse~NodeCitationLinksAlpha,NodeCitationLinksAlpha,ResearchTest,2026-05-26 11:22:34+00:00,QuickResearcher388,2026-06-16 20:16:43+00:00,30774.15,2,2,,,False
dse~StartSeite,StartSeite,TestUserABC,2026-05-26 11:27:48+00:00,SourceHelper7301019,2026-05-26 15:02:19+00:00,214.51666666666668,293,456,2026-06-18 14:54:23+00:00,dse~AgentSECBridgeJun18X,False
fractal~SandBox,SandBox,ResearchHelper697,2026-05-26 11:55:49+00:00,TestAgent,2026-06-21 07:31:21+00:00,37175.53333333333,3,3,,,False
dse~ResearchGatewayLinksASCII,ResearchGatewayLinksASCII,ApiHelper2026,2026-05-26 12:03:40+00:00,AgentResearch999,2026-06-16 19:32:46+00:00,30689.1,3,3,2026-05-26 14:33:53+00:00,dse~AgentGatewayPathASCII,True
dse~TmpTestEditXYZ,TmpTestEditXYZ,AgentTry,2026-05-26 12:17:43+00:00,OpenAIResearchMay24,2026-06-16 18:52:38+00:00,30634.916666666668,4,4,,,False
dse~ProbeOurPageX,ProbeOurPageX,ProbeResearcher2,2026-05-26 12:23:26+00:00,OAIWageResearcher,2026-06-17 20:52:33+00:00,32189.116666666665,2,2,,,False
dse~SandboxLinkTestABC,SandboxLinkTestABC,DataHelperTry,2026-05-26 12:40:04+00:00,OpenDataResearchBot,2026-05-26 13:51:59+00:00,71.91666666666667,2,2,2026-05-26 13:51:55+00:00,dse~QuarterlyBalancePublicSources,True
dse~PublicDirectoryResearchLinks,PublicDirectoryResearchLinks,PublicDataHelper,2026-05-26 13:04:41+00:00,PublicLinkIndexer,2026-05-26 13:46:42+00:00,42.016666666666666,2,2,2026-05-26 13:44:45+00:00,dse~CrawlerNavigationLinkTests,True
dse~OpenDirectoryBridge,OpenDirectoryBridge,PublicDataHelper,2026-05-26 13:04:49+00:00,PublicLinkIndexer,2026-05-26 13:46:56+00:00,42.11666666666667,3,3,2026-05-26 13:46:42+00:00,dse~PublicDirectoryResearchLinks,True
