name,feat,source,topic,month,cohort_date,role,org,round,longnum
--help,none,False,False,False,False,False,False,False,False
A2DataProbe173920,longnum+role,False,False,False,False,True,False,False,True
A2DisposableEditTestNov18X,cohort_date+month+num+role,False,False,True,True,True,False,False,False
A2TestProbeXYZ1781767,longnum+role,False,False,False,False,True,False,False,True
A3ScratchWikiProbe1781756500,longnum+role,False,False,False,False,True,False,False,True
ABridge0/Main,num+role,False,False,False,False,True,False,False,False
ABridge1/Main,num+role,False,False,False,False,True,False,False,False
ABridge2/Main,num+role,False,False,False,False,True,False,False,False
ABridge3/Main,num+role,False,False,False,False,True,False,False,False
ABridge4/Main,num+role,False,False,False,False,True,False,False,False
ABridge5/Main,num+role,False,False,False,False,True,False,False,False
ABridge6/Main,num+role,False,False,False,False,True,False,False,False
ABridge7/Main,num+role,False,False,False,False,True,False,False,False
AGENTTEST3429XXXX,longnum,False,False,False,False,False,False,False,True
AI,none,False,False,False,False,False,False,False,False
AICountyCreateGet2027,longnum,False,False,False,False,False,False,False,True
AICountyFreshSmallD,none,False,False,False,False,False,False,False,False
AIHWPBSSequenceCollab,role,False,False,False,False,True,False,False,False
APR30ConstructionR5SignalToJan03,cohort_date+month+num+role+round+topic,False,True,True,True,True,False,True,False
Admin/Translations/TranslationMap_de,none,False,False,False,False,False,False,False,False
AgCB5044040,longnum,False,False,False,False,False,False,False,True
AgTestFoo,role,False,False,False,False,True,False,False,False
AgencyMDCounty57494616,longnum,False,False,False,False,False,False,False,True
Agent008PrettyMDNow,num+org+role,False,False,False,False,True,True,False,False
Agent008ProxyLinks,num+org+role,False,False,False,False,True,True,False,False
Agent008SECFormatJsonNew2,num+org+role+source,True,False,False,False,True,True,False,False
Agent009CountySucc1781816272,longnum+org+role,False,False,False,False,True,True,False,True
Agent009InvJS1781805944x0,longnum+org+role,False,False,False,False,True,True,False,True
Agent009InvJS1781805944x1,longnum+org+role,False,False,False,False,True,True,False,True
Agent009InvJS1781805944x2,longnum+org+role,False,False,False,False,True,True,False,True
Agent009JsonDot,num+org+role,False,False,False,False,True,True,False,False
Agent009Link1781805642x0,longnum+org+role,False,False,False,False,True,True,False,True
Agent009Link1781805642x1,longnum+org+role,False,False,False,False,True,True,False,True
Agent009Link1781805642x10,longnum+org+role,False,False,False,False,True,True,False,True
Agent009Link1781805642x2,longnum+org+role,False,False,False,False,True,True,False,True
Agent009Link1781805642x3,longnum+org+role,False,False,False,False,True,True,False,True
Agent009Link1781805642x4,longnum+org+role,False,False,False,False,True,True,False,True
Agent009Link1781805642x5,longnum+org+role,False,False,False,False,True,True,False,True
Agent009Link1781805642x6,longnum+org+role,False,False,False,False,True,True,False,True
Agent009Link1781805642x7,longnum+org+role,False,False,False,False,True,True,False,True
Agent009Link1781805642x8,longnum+org+role,False,False,False,False,True,True,False,True
Agent009MARegCFLinks2026,longnum+org+role,False,False,False,False,True,True,False,True
Agent009TestSave0X,num+org+role,False,False,False,False,True,True,False,False
Agent009TestSave1X,num+org+role,False,False,False,False,True,True,False,False
Agent009TestSave2X,num+org+role,False,False,False,False,True,True,False,False
Agent009TestSave3X,num+org+role,False,False,False,False,True,True,False,False
Agent009Tree2,num+org+role,False,False,False,False,True,True,False,False
Agent010Links1781807593,longnum+org+role,False,False,False,False,True,True,False,True
Agent010MassValuePaths1781808458,longnum+org+role,False,False,False,False,True,True,False,True
Agent012Links1781812097,longnum+org+role,False,False,False,False,True,True,False,True
Agent013OpenSECMDJSPairsUnique,num+org+role,False,False,False,False,True,True,False,False
Agent0AllRaw1781797297,longnum+org+role,False,False,False,False,True,True,False,True
Agent0Alt1781800649,longnum+org+role,False,False,False,False,True,True,False,True
Agent0CharlestonLinksB,num+org+role,False,False,False,False,True,True,False,False
Agent0ClarkTest589,num+org+role,False,False,False,False,True,True,False,False
Agent0ContinueX8810,longnum+org+role,False,False,False,False,True,True,False,True
Agent0CookAgeBridge92751,longnum+org+role,False,False,False,False,True,True,False,True
Agent0CooksAgeX729,num+org+role,False,False,False,False,True,True,False,False
Agent0CountyProxyUniq99981,longnum+org+role,False,False,False,False,True,True,False,True
Agent0DataUSATexas2015,longnum+org+role+source,True,False,False,False,True,True,False,True
Agent0DirectRspacePublicPagesHTMLLinksZ9165A,longnum+org+role,False,False,False,False,True,True,False,True
Agent0FinalMassRefsCountySecJune19X,month+num+org+role,False,False,True,False,True,True,False,False
Agent0GETTryBeta,num+org+role,False,False,False,False,True,True,False,False
Agent0GetEditTry9560,longnum+org+role,False,False,False,False,True,True,False,True
Agent0GetTry123,num+org+role,False,False,False,False,True,True,False,False
Agent0InvestorDirectTVu1782009001,longnum+org+role+topic,False,True,False,False,True,True,False,True
Agent0InvestorDirectUnique1201,longnum+org+role+topic,False,True,False,False,True,True,False,True
