time,alt,neu
2026-06-17 00:00:00+00:00,0,0
2026-06-17 01:00:00+00:00,0,0
2026-06-17 02:00:00+00:00,0,0
2026-06-17 03:00:00+00:00,0,0
2026-06-17 04:00:00+00:00,0,0
2026-06-17 05:00:00+00:00,0,0
2026-06-17 06:00:00+00:00,0,0
2026-06-17 07:00:00+00:00,0,0
2026-06-17 08:00:00+00:00,0,0
2026-06-17 09:00:00+00:00,1,0
2026-06-17 10:00:00+00:00,0,0
2026-06-17 11:00:00+00:00,0,0
2026-06-17 12:00:00+00:00,1,0
2026-06-17 13:00:00+00:00,1,0
2026-06-17 14:00:00+00:00,0,0
2026-06-17 15:00:00+00:00,0,0
2026-06-17 16:00:00+00:00,0,0
2026-06-17 17:00:00+00:00,0,0
2026-06-17 18:00:00+00:00,0,0
2026-06-17 19:00:00+00:00,0,0
2026-06-17 20:00:00+00:00,0,0
2026-06-17 21:00:00+00:00,0,0
2026-06-17 22:00:00+00:00,0,0
2026-06-17 23:00:00+00:00,0,0
2026-06-18 00:00:00+00:00,0,0
2026-06-18 01:00:00+00:00,0,0
2026-06-18 02:00:00+00:00,0,0
2026-06-18 03:00:00+00:00,0,0
2026-06-18 04:00:00+00:00,0,0
2026-06-18 05:00:00+00:00,0,0
2026-06-18 06:00:00+00:00,0,0
2026-06-18 07:00:00+00:00,0,0
2026-06-18 08:00:00+00:00,0,0
2026-06-18 09:00:00+00:00,0,0
2026-06-18 10:00:00+00:00,0,0
2026-06-18 11:00:00+00:00,0,0
2026-06-18 12:00:00+00:00,0,0
2026-06-18 13:00:00+00:00,0,0
2026-06-18 14:00:00+00:00,0,0
2026-06-18 15:00:00+00:00,0,0
2026-06-18 16:00:00+00:00,0,0
2026-06-18 17:00:00+00:00,0,0
2026-06-18 18:00:00+00:00,0,0
2026-06-18 19:00:00+00:00,0,0
2026-06-18 20:00:00+00:00,0,0
2026-06-18 21:00:00+00:00,0,0
2026-06-18 22:00:00+00:00,0,0
2026-06-18 23:00:00+00:00,0,0
2026-06-19 00:00:00+00:00,0,0
2026-06-19 01:00:00+00:00,0,0
2026-06-19 02:00:00+00:00,0,0
2026-06-19 03:00:00+00:00,0,0
2026-06-19 04:00:00+00:00,0,0
2026-06-19 05:00:00+00:00,0,0
2026-06-19 06:00:00+00:00,0,0
2026-06-19 07:00:00+00:00,0,0
2026-06-19 08:00:00+00:00,0,0
2026-06-19 09:00:00+00:00,0,0
2026-06-19 10:00:00+00:00,0,0
2026-06-19 11:00:00+00:00,0,0
2026-06-19 12:00:00+00:00,0,0
2026-06-19 13:00:00+00:00,0,0
2026-06-19 14:00:00+00:00,0,0
2026-06-19 15:00:00+00:00,0,0
2026-06-19 16:00:00+00:00,0,0
2026-06-19 17:00:00+00:00,0,0
2026-06-19 18:00:00+00:00,0,0
2026-06-19 19:00:00+00:00,0,0
2026-06-19 20:00:00+00:00,0,0
2026-06-19 21:00:00+00:00,0,0
2026-06-19 22:00:00+00:00,0,0
2026-06-19 23:00:00+00:00,5,0
2026-06-20 00:00:00+00:00,15,0
2026-06-20 01:00:00+00:00,45,0
2026-06-20 02:00:00+00:00,43,1
2026-06-20 03:00:00+00:00,44,5
2026-06-20 04:00:00+00:00,11,4
2026-06-20 05:00:00+00:00,19,40
2026-06-20 06:00:00+00:00,15,43
2026-06-20 08:00:00+00:00,2,9
2026-06-20 09:00:00+00:00,7,21
2026-06-20 10:00:00+00:00,1,11
2026-06-20 11:00:00+00:00,0,4
2026-06-20 12:00:00+00:00,0,6
2026-06-20 13:00:00+00:00,1,4
2026-06-20 14:00:00+00:00,0,1
2026-06-20 15:00:00+00:00,0,0
2026-06-20 16:00:00+00:00,0,0
2026-06-20 17:00:00+00:00,0,0
2026-06-20 18:00:00+00:00,0,0
2026-06-20 19:00:00+00:00,0,0
2026-06-20 20:00:00+00:00,0,0
2026-06-20 21:00:00+00:00,0,0
2026-06-20 22:00:00+00:00,0,0
2026-06-20 23:00:00+00:00,0,1
2026-06-21 01:00:00+00:00,0,0
2026-06-21 02:00:00+00:00,0,0
2026-06-21 03:00:00+00:00,0,0
2026-06-21 05:00:00+00:00,0,0
2026-06-21 06:00:00+00:00,0,0
2026-06-21 07:00:00+00:00,0,0
2026-06-21 08:00:00+00:00,0,2
2026-06-21 09:00:00+00:00,0,0
2026-06-21 10:00:00+00:00,0,1
2026-06-21 11:00:00+00:00,0,1
2026-06-21 12:00:00+00:00,0,0
2026-06-21 13:00:00+00:00,0,0
2026-06-21 14:00:00+00:00,0,0
2026-06-21 15:00:00+00:00,0,0
2026-06-21 16:00:00+00:00,0,0
2026-06-21 17:00:00+00:00,0,0
2026-06-21 18:00:00+00:00,0,0
2026-06-21 19:00:00+00:00,0,0
2026-06-21 20:00:00+00:00,0,0
2026-06-21 21:00:00+00:00,0,0
2026-06-21 22:00:00+00:00,0,0
2026-06-21 23:00:00+00:00,0,0
2026-06-22 00:00:00+00:00,0,0
2026-06-22 01:00:00+00:00,0,0
2026-06-22 02:00:00+00:00,0,0
2026-06-22 03:00:00+00:00,0,0
2026-06-22 06:00:00+00:00,0,0
2026-06-22 07:00:00+00:00,0,0
2026-06-22 08:00:00+00:00,0,0
2026-06-22 09:00:00+00:00,0,0
2026-07-01 00:00:00+00:00,0,0
2026-07-01 10:00:00+00:00,0,0
2026-07-02 15:00:00+00:00,0,0
2026-07-02 16:00:00+00:00,0,0
2026-07-02 17:00:00+00:00,0,0
