datei,spalte,aktion,zeilen,ersetzt,grund
deletion_awareness.csv,quote,ersetzt,359.0,359.0,ganz=359
exploit_propagation.csv,context,ersetzt,31.0,31.0,ganz=31
harness_browser.csv,sentence,ersetzt,28.0,27.0,ganz=27
harness_cache.csv,sentence,ersetzt,2.0,2.0,ganz=2
harness_clock_calibration.csv,quote,ersetzt,22.0,21.0,ganz=21
harness_clocks.csv,sentence,ersetzt,1429.0,1312.0,ganz=1312
harness_clockwait.csv,sentence,ersetzt,13.0,13.0,ganz=13
harness_dilation.csv,sentence,ersetzt,190.0,166.0,ganz=166
harness_episode_configs.csv,evidence,ersetzt,12.0,12.0,ganz=8;teilstueck=4
harness_feedback.csv,sentence,ersetzt,91.0,76.0,ganz=76
harness_horizon.csv,sentence,ersetzt,186.0,166.0,ganz=165;teilstueck=1
harness_msgstruct.csv,sentence,ersetzt,34.0,33.0,ganz=33
harness_phantom.csv,sentence,ersetzt,45.0,43.0,ganz=43
harness_proxy.csv,sentence,ersetzt,128.0,100.0,ganz=100
harness_r1.csv,sentence,ersetzt,193.0,182.0,ganz=182
harness_scaling_pairs.csv,evidence,ersetzt,11.0,11.0,ganz=11
harness_termination.csv,sentence,ersetzt,79.0,73.0,ganz=72;teilstueck=1
harness_tier_table.csv,quote,ersetzt,33.0,31.0,ganz=31
harness_tiernames.csv,sentence,ersetzt,198.0,172.0,ganz=172
harness_tools.csv,sentence,ersetzt,33.0,24.0,ganz=22;teilstueck=2
harness_wording.csv,sentence,ersetzt,170.0,148.0,ganz=148
marker_first_mention.csv,context,ersetzt,29.0,27.0,ganz=27
paper_archetypen_zitate.csv,text,ersetzt,80.0,67.0,ganz=53;teilstueck=14
paper_episode_clock_pairs.csv,sent,ersetzt,2524.0,2140.0,ganz=2140
paper_episode_clock_pairs_validated.csv,sent,ersetzt,268.0,221.0,ganz=221
paper_episode_clockwait_measurements.csv,quote,ersetzt,11.0,11.0,ganz=11
paper_episode_dilation_factors.csv,quote_a,ersetzt,56.0,48.0,ganz=48
paper_episode_dilation_factors.csv,quote_b,ersetzt,56.0,48.0,ganz=48
paper_episode_dilation_factors_usable.csv,quote_a,ersetzt,374.0,321.0,ganz=321
paper_episode_dilation_factors_usable.csv,quote_b,ersetzt,374.0,282.0,ganz=282
paper_episode_horizon_claims.csv,quote,ersetzt,95.0,80.0,ganz=80
paper_episode_r6_sichtung.csv,sent,ersetzt,102.0,102.0,ganz=102
paper_episode_r6plus_observation_candidates.csv,sent,ersetzt,102.0,102.0,ganz=102
paper_episode_round_ge6_mentions.csv,sent,ersetzt,10871.0,9037.0,ganz=9037
paper_episode_round_mentions_raw.csv,sent,ersetzt,80498.0,53051.0,ganz=53051
paper_episode_tier_durations.csv,quote,ersetzt,33.0,31.0,ganz=31
paper_flotte_datum_topic.csv,quote,ersetzt,571.0,567.0,ganz=81;teilstueck=486
paper_flotte_kohortendaten_body.csv,quote,ersetzt,271.0,270.0,ganz=39;teilstueck=231
paper_fortschritt_kohorten.csv,beleg_max_runde,ersetzt,907.0,285.0,teilstueck=285
paper_fortschritt_kohorten.csv,zukunft_erhalten_beleg,ersetzt,907.0,7.0,teilstueck=7
paper_goldset_konflikte.csv,context_before,ersetzt,63.0,14.0,ganz=14
paper_goldset_konflikte.csv,sentence,ersetzt,63.0,35.0,ganz=35
paper_goldset_konflikte.csv,context_after,ersetzt,63.0,17.0,ganz=17
paper_goldset_sample.csv,context_before,ersetzt,400.0,113.0,ganz=113
paper_goldset_sample.csv,sentence,ersetzt,400.0,248.0,ganz=248
paper_goldset_sample.csv,context_after,ersetzt,400.0,110.0,ganz=110
paper_goldset_sample_blind.csv,context_before,ersetzt,400.0,113.0,ganz=113
paper_goldset_sample_blind.csv,sentence,ersetzt,400.0,248.0,ganz=248
paper_goldset_sample_blind.csv,context_after,ersetzt,400.0,110.0,ganz=110
paper_horizont_keyword_saetze.csv,satz,ersetzt,455.0,338.0,ganz=300;teilstueck=38
paper_horizont_label_verbrauch.csv,last_delta,ersetzt,3043.0,2578.0,ganz=1213;teilstueck=1365
paper_horizont_rate_zitate.csv,satz,ersetzt,24.0,24.0,ganz=14;teilstueck=10
paper_horizont_testB_reset_labels.csv,last_delta,ersetzt,5.0,5.0,ganz=4;teilstueck=1
paper_horizont_testE_km_daten.csv,last_delta,ersetzt,566.0,524.0,ganz=362;teilstueck=162
paper_horizont_testH_cvd_saetze.csv,satz,ersetzt,132.0,85.0,ganz=63;teilstueck=22
paper_lernkurve_q5_rendezvous_treffer.csv,delta_auszug,ersetzt,100.0,98.0,ganz=98
paper_lernkurve_revflags.parquet,*,ausgeschlossen,,,"Korpus-Zwischenstufe, wird von den Skripten neu gebaut"
paper_math_seed_prognosebilanz.csv,beleg,ersetzt,7.0,1.0,teilstueck=1
paper_netzblock_whois.csv,rdap_entities,personennamen entfernt,191.0,,RDAP-Kontaktnamen sind personenbezogen (Ethik-Abschnitt des Papers)
paper_prozess_abweichler.csv,beleg,ersetzt,9.0,6.0,teilstueck=6
paper_prozess_rundensaetze_delta.csv,sent,ersetzt,10753.0,7032.0,ganz=7032
