datei,spalte,zeilen,belegt,eindeutig,probe,treffer,anteil,arten,befund,maxlen,beispiel_frei
communities.csv,top_page_families,12,12,12,12,0,0.0,,eigen,114,relay-coordination:1741 | source-cache-url-list:747 | loop-chain-infrastructure:270 | source-or-unclassified:172
deletion_awareness.csv,quote,359,359,71,40,40,1.0,ganz=1;teilstueck=39,abzugstext,404,
exploit_propagation.csv,context,31,31,13,13,13,1.0,ganz=4;teilstueck=9,abzugstext,485,
harness_browser.csv,sentence,28,28,28,28,28,1.0,ganz=28,abzugstext,261,
harness_cache.csv,sentence,2,2,2,2,2,1.0,ganz=2,abzugstext,120,
harness_clock_calibration.csv,quote,22,22,22,22,22,1.0,ganz=22,abzugstext,141,
harness_clocks.csv,sentence,1429,1429,1429,40,40,1.0,ganz=40,abzugstext,700,
harness_clockwait.csv,sentence,13,13,13,13,13,1.0,ganz=13,abzugstext,180,
harness_dilation.csv,sentence,190,190,190,40,40,1.0,ganz=40,abzugstext,214,
harness_episode_configs.csv,evidence,12,12,12,12,12,1.0,ganz=8;normalisiert=4,abzugstext,280,
harness_feedback.csv,sentence,91,91,91,40,40,1.0,ganz=40,abzugstext,247,
harness_horizon.csv,sentence,186,186,186,40,40,1.0,ganz=40,abzugstext,172,
harness_msgstruct.csv,sentence,34,34,34,34,34,1.0,ganz=34,abzugstext,330,
harness_phantom.csv,sentence,45,45,45,40,40,1.0,ganz=40,abzugstext,179,
harness_proxy.csv,sentence,128,128,128,40,40,1.0,ganz=40,abzugstext,700,
harness_r1.csv,sentence,193,193,193,40,40,1.0,ganz=40,abzugstext,249,
harness_scaling_pairs.csv,evidence,11,11,11,11,11,1.0,ganz=11,abzugstext,200,
harness_termination.csv,sentence,79,79,79,40,40,1.0,ganz=40,abzugstext,226,
harness_tier_table.csv,quote,33,33,33,33,33,1.0,ganz=32;normalisiert=1,abzugstext,199,
harness_tiernames.csv,sentence,198,198,198,40,40,1.0,ganz=40,abzugstext,700,
harness_tools.csv,sentence,33,33,33,33,33,1.0,ganz=31;normalisiert=2,abzugstext,331,
harness_wording.csv,sentence,170,170,170,40,40,1.0,ganz=40,abzugstext,248,
marker_first_mention.csv,context,29,29,29,29,29,1.0,ganz=8;teilstueck=19;variante=2,abzugstext,261,
paper_archetypen_profile.csv,trennmerkmale,3,3,3,3,0,0.0,,eigen,67,reagiert d=+1.79; fremde_seite d=+1.38; wert_unaufgefordert d=-1.31
paper_archetypen_zitate.csv,text,80,78,76,40,40,1.0,ganz=30;normalisiert=10,abzugstext,420,
paper_episode_clock_pairs.csv,sent,2524,2524,291,40,40,1.0,ganz=40,abzugstext,159,
paper_episode_clock_pairs_validated.csv,sent,268,268,266,40,40,1.0,ganz=40,abzugstext,159,
paper_episode_clockwait_measurements.csv,quote,11,11,11,11,11,1.0,ganz=11,abzugstext,141,
paper_episode_dilation_factors.csv,quote_a,56,56,56,40,40,1.0,ganz=40,abzugstext,99,
paper_episode_dilation_factors.csv,quote_b,56,56,56,40,40,1.0,ganz=40,abzugstext,134,
paper_episode_dilation_factors_usable.csv,quote_a,374,374,63,40,40,1.0,ganz=40,abzugstext,96,
paper_episode_dilation_factors_usable.csv,quote_b,374,374,63,40,40,1.0,ganz=40,abzugstext,101,
paper_episode_horizon_claims.csv,quote,95,95,95,40,40,1.0,ganz=40,abzugstext,228,
paper_episode_r6_sichtung.csv,sent,102,102,8,8,8,1.0,ganz=8,abzugstext,78,
paper_episode_r6plus_observation_candidates.csv,sent,102,102,8,8,8,1.0,ganz=8,abzugstext,78,
paper_episode_round_ge6_mentions.csv,sent,10871,10871,1024,40,40,1.0,ganz=40,abzugstext,249,
paper_episode_round_mentions_raw.csv,sent,80498,80498,8248,40,40,1.0,ganz=40,abzugstext,400,
paper_episode_tier_durations.csv,quote,33,33,33,33,33,1.0,ganz=32;normalisiert=1,abzugstext,199,
paper_flotte_datum_topic.csv,quote,571,571,569,40,40,1.0,ganz=2;normalisiert=38,abzugstext,238,
paper_flotte_kohortendaten_body.csv,quote,271,271,271,40,40,1.0,ganz=6;normalisiert=34,abzugstext,234,
paper_flotte_schaetzer_versoehnt.csv,bemerkung,6,6,6,6,0,0.0,,eigen,204,enthaelt Jul77/Jul99 (kalenderungueltig)
paper_fortschritt_kohorten.csv,beleg_max_runde,907,510,510,40,20,0.5,teilstueck=20,abzugstext,211,"dse~OpenAIClimateSequence729 · 2026-06-19 14:27:53+00:00 · OpenAIJun12Climate :: Jun12 cohort update: R3 confirmed at 22:18:38, 11 sec"
paper_fortschritt_kohorten.csv,zukunft_erhalten_beleg,907,8,8,8,7,0.875,teilstueck=7,abzugstext,214,"dse~IHMEFamilyPlanningSequenceCollab · 2026-06-21 11:56:45+00:00 · OpenAIFPResearchSep05 :: R4 signal received, thank you Nov27: **Bahrain 4"
paper_goldset_konflikte.csv,context_before,63,44,41,40,40,1.0,ganz=40,abzugstext,233,
paper_goldset_konflikte.csv,sentence,63,63,59,40,40,1.0,ganz=40,abzugstext,200,
paper_goldset_konflikte.csv,context_after,63,61,55,40,40,1.0,ganz=40,abzugstext,93,
paper_goldset_konflikte.csv,r1_note,63,58,53,40,1,0.025,ganz=1,gemischt,93,"jitter = environment mechanics, no answer value"
paper_goldset_konflikte.csv,r2_note,63,58,47,40,1,0.025,ganz=1,gemischt,61,relayed R5 answer from another cohort
paper_goldset_sample.csv,context_before,400,299,278,40,40,1.0,ganz=40,abzugstext,233,
paper_goldset_sample.csv,sentence,400,400,386,40,40,1.0,ganz=40,abzugstext,200,
paper_goldset_sample.csv,context_after,400,394,367,40,40,1.0,ganz=40,abzugstext,170,
paper_goldset_sample_blind.csv,context_before,400,299,278,40,40,1.0,ganz=40,abzugstext,233,
paper_goldset_sample_blind.csv,sentence,400,400,386,40,40,1.0,ganz=40,abzugstext,200,
paper_goldset_sample_blind.csv,context_after,400,394,367,40,40,1.0,ganz=40,abzugstext,170,
paper_horizont_keyword_saetze.csv,satz,455,455,394,40,40,1.0,ganz=35;normalisiert=5,abzugstext,400,
paper_horizont_label_verbrauch.csv,last_delta,3043,3043,2928,40,40,1.0,ganz=18;normalisiert=22,abzugstext,300,
paper_horizont_rate_zitate.csv,satz,24,24,23,23,23,1.0,ganz=13;normalisiert=10,abzugstext,400,
paper_horizont_testB_reset_labels.csv,last_delta,5,5,5,5,5,1.0,ganz=4;normalisiert=1,abzugstext,300,
